,,,,-INDRE-ET-LOIRE,,,
14132,37,37083,37320,Cormery,cormery,47.262157560976,0.83848280487805
14133,37,37084,37330,Couesmes,couesmes,47.558188461538,0.36070138461538
14134,37,37085,37310,Courçay,courcay,47.254008133333,0.88393313333333
14135,37,37086,37330,Courcelles-de-Touraine,courcelles de touraine,47.490889411765,0.32146008403361
14136,37,37087,37120,Courcoué,courcoue,47.02876231405,0.39735371900826
14137,37,37088,37500,Couziers,couziers,47.169008387097,0.08031161290323
14138,37,37089,37500,Cravant-les-Côteaux,cravant les coteaux,47.169571451613,0.33856959677419
14139,37,37090,37220,Crissay-sur-Manse,crissay sur manse,47.1610225,0.49502108333333
14140,37,37091,37150,La Croix-en-Touraine,la croix en touraine,47.349298571429,0.9926312987013
14141,37,37092,37380,Crotelles,crotelles,47.538130754717,0.82444094339623
14142,37,37093,37220,Crouzilles,crouzilles,47.136366927711,0.46424126506024
14143,37,37094,37240,Cussay,cussay,47.025199210526,0.77112
14144,37,37095,37110,Dame-Marie-les-Bois,dame marie les bois,47.551167674419,1.0531344186047
14145,37,37096,37150,Dierre,dierre,47.357560422535,0.95966563380282
14146,37,37097,37310,Dolus-le-Sec,dolus le sec,47.161557364341,0.8851888372093
14147,37,37098,37800,Draché,drache,47.070252056075,0.63465551401869
14148,37,37099,37190,Druye,druye,47.299491284404,0.5337247706422
14149,37,37100,37150,Épeigné-les-Bois,epeigne les bois,47.276001382979,1.1208879787234
14150,37,37101,37370,Épeigné-sur-Dême,epeigne sur deme,47.67787,0.62060135338346
14151,37,37103,37240,Esves-le-Moutier,esves le moutier,47.037472405063,0.90395253164557
14152,37,37104,37320,Esvres,esvres,47.286840833333,0.79261755952381
14153,37,37105,37120,Faye-la-Vineuse,faye la vineuse,46.953978241758,0.3468710989011
14154,37,37106,37110,La Ferrière,la ferriere,47.620772647059,0.75190196078431
14155,37,37107,37350,Ferrière-Larçon,ferriere larcon,46.991653222222,0.86963144444444
14156,37,37108,37600,Ferrière-sur-Beaulieu,ferriere sur beaulieu,47.139544150943,1.0409982075472
14157,37,37109,37230,Fondettes,fondettes,47.416101520737,0.60919460829493
14158,37,37110,37150,Francueil,francueil,47.304565591398,1.0779466666667
14159,37,37111,37460,Genillé,genille,47.196018888889,1.1107897076023
14160,37,37112,37340,Gizeux,gizeux,47.383477705882,0.18837941176471
14161,37,37113,37350,Le Grand-Pressigny,le grand pressigny,46.920429390244,0.8114831097561
14162,37,37114,37350,La Guerche,la guerche,46.89613875,0.7222065625
14163,37,37115,37160,Descartes,descartes,46.994100382166,0.68734828025478
14164,37,37116,37110,Les Hermites,les hermites,47.669035952381,0.76137303571429
14165,37,37117,37340,Hommes,hommes,47.4241280625,0.2777728125
14166,37,37118,37420,Huismes,huismes,47.230746518987,0.25599082278481
14167,37,37119,37220,L'Île-Bouchard,l ile bouchard,47.124937307692,0.42555038461538
14168,37,37121,37120,Jaulnay,jaulnay,46.957338,0.43021821052632
14169,37,37122,37300,Joué-lès-Tours,joue les tours,47.335040333333,0.65918266666667
14170,37,37123,37130,Langeais,langeais,47.353931940298,0.35065981343284
14171,37,37124,37270,Larçay,larcay,47.356152586207,0.77362103448276
14172,37,37125,37120,Lémeré,lemere,47.094386666667,0.33522814814815
14173,37,37126,37500,Lerné,lerne,47.139373581081,0.11123648648649
14174,37,37127,37460,Le Liège,le liege,47.229044657534,1.1112278082192
14175,37,37128,37130,Lignières-de-Touraine,lignieres de touraine,47.294347755102,0.41419081632653
14176,37,37129,37500,Ligré,ligre,47.108188380952,0.28092428571429
14177,37,37130,37240,Ligueil,ligueil,47.044358421053,0.80511485380117
14178,37,37131,37530,Limeray,limeray,47.4594176,1.0260549333333
14179,37,37132,37600,Loches,loches,47.126010722222,0.9879585
14180,37,37133,37460,Loché-sur-Indrois,loche sur indrois,47.083684540816,1.2224444897959
14181,37,37134,37320,Louans,louans,47.177416132075,0.73699358490566
14182,37,37136,37240,Le Louroux,le louroux,47.158746644295,0.77024805369128
14183,37,37137,37330,Lublé,luble,47.5263364,0.2561572
14184,37,37138,37400,Lussault-sur-Loire,lussault sur loire,47.391343636364,0.91514848484848
14185,37,37139,37230,Luynes,luynes,47.411938991228,0.54078688596491
14186,37,37140,37120,Luzé,luze,47.015410079365,0.47132031746032
14187,37,37141,37150,Luzillé,luzille,47.276843859649,1.0669571929825
14188,37,37142,37800,Maillé,maille,47.050269111111,0.58863788888889
14189,37,37143,37240,Manthelan,manthelan,47.141789050279,0.82102888268156
14190,37,37144,37500,Marçay,marcay,47.082953643411,0.20273286821705
14191,37,37145,37160,Marcé-sur-Esves,marce sur esves,47.030735147059,0.66190117647059
14192,37,37146,37330,Marcilly-sur-Maulne,marcilly sur maulne,47.552055460526,0.23007901315789
14193,37,37147,37800,Marcilly-sur-Vienne,marcilly sur vienne,47.046464835165,0.52398274725275
14194,37,37148,37120,Marigny-Marmande,marigny marmande,46.980764748201,0.48256755395683
14195,37,37149,37370,Marray,marray,47.620077888199,0.70671354037267
14196,37,37150,37130,Mazières-de-Touraine,mazieres de touraine,47.384932795699,0.43106268817204
14197,37,37151,37390,La Membrolle-sur-Choisille,la membrolle sur choisille,47.443356806723,0.62293596638655
14198,37,37152,37390,Mettray,mettray,47.457347894737,0.66145015037594
14199,37,37153,37380,Monnaie,monnaie,47.499042153846,0.78672687179487
14200,37,37154,37250,Montbazon,montbazon,47.283709468085,0.70431425531915
14201,37,37155,37110,Monthodon,monthodon,47.642023888889,0.82931474747475
14202,37,37156,37270,Montlouis-sur-Loire,montlouis sur loire,47.381657741935,0.83158056451613
14203,37,37157,37460,Montrésor,montresor,47.152967804878,1.2001063414634
14204,37,37158,37530,Montreuil-en-Touraine,montreuil en touraine,47.489186333333,0.95526666666667
14205,37,37159,37260,Monts,monts,47.275006954315,0.64361253807107
14206,37,37160,37110,Morand,morand,47.561780133333,1.0086166666667
14207,37,37161,37530,Mosnes,mosnes,47.445947285714,1.100414
14208,37,37162,37600,Mouzay,mouzay,47.102065929204,0.89960654867257
14209,37,37163,37530,Nazelles-Négron,nazelles negron,47.43691375,0.948566
14210,37,37165,37190,Neuil,neuil,47.185173478261,0.52215086956522
14211,37,37166,37380,Neuillé-le-Lierre,neuille le lierre,47.50735,0.9097251875
14212,37,37167,37360,Neuillé-Pont-Pierre,neuille pont pierre,47.553234385027,0.54329139037433
14213,37,37168,37160,Neuilly-le-Brignon,neuilly le brignon,46.965428863636,0.7858946969697
14214,37,37169,37110,Neuville-sur-Brenne,neuville sur brenne,47.615153781513,0.91053731092437
14215,37,37170,37370,Neuvy-le-Roi,neuvy le roi,47.610742360515,0.58374927038627
14216,37,37171,37210,Noizay,noizay,47.420148194444,0.89623055555556
14217,37,37172,37390,Notre-Dame-d'Oé,notre dame d oe,47.453555223881,0.70423492537313
14218,37,37173,37460,Nouans-les-Fontaines,nouans les fontaines,47.126314031414,1.3087757591623
14219,37,37174,37800,Nouâtre,nouatre,47.032355061728,0.56456555555556
14220,37,37175,37380,Nouzilly,nouzilly,47.53762125,0.73925763888889
14221,37,37176,37800,Noyant-de-Touraine,noyant de touraine,47.107655555556,0.57345303030303
14222,37,37177,37460,Orbigny,orbigny,47.216684933333,1.2456970666667
14223,37,37178,37220,Panzoult,panzoult,47.159879469697,0.41098181818182
14224,37,37179,37210,Parçay-Meslay,parcay meslay,47.453231649485,0.74979556701031
14225,37,37180,37220,Parçay-sur-Vienne,parcay sur vienne,47.088345833333,0.47580477272727
14226,37,37181,37350,Paulmy,paulmy,46.978980633803,0.82279852112676
14227,37,37182,37230,Pernay,pernay,47.452420933333,0.5101044
14228,37,37183,37600,Perrusson,perrusson,47.098008493976,1.0173327108434
14229,37,37184,37350,Le Petit-Pressigny,le petit pressigny,46.908193606557,0.91131666666667
14230,37,37185,37530,Pocé-sur-Cisse,poce sur cisse,47.444466363636,0.98779936363636
14231,37,37186,37260,Pont-de-Ruan,pont de ruan,47.261577865169,0.56979449438202
14232,37,37187,37800,Ports,ports,47.01092483871,0.53646365591398
14233,37,37188,37800,Pouzay,pouzay,47.080428817204,0.54928193548387
14234,37,37189,37290,Preuilly-sur-Claise,preuilly sur claise,46.852302342342,0.92981612612613
14235,37,37190,37800,Pussigny,pussigny,46.99316025641,0.54611564102564
14236,37,37191,37120,Razines,razines,46.978187431193,0.39605779816514
14237,37,37192,37310,Reignac-sur-Indre,reignac sur indre,47.226354285714,0.91863914285714
14238,37,37193,37140,Restigné,restigne,47.288502035928,0.23627532934132
14239,37,37194,37380,Reugny,reugny,47.487150638298,0.87919111702128
14240,37,37195,37520,La Riche,la riche,47.379738125,0.638940875
14241,37,37196,37120,Richelieu,richelieu,47.019031621622,0.31492297297297
14242,37,37197,37420,Rigny-Ussé,rigny usse,47.250396810345,0.30311129310345
14243,37,37198,37340,Rillé,rille,47.441978297872,0.22528393617021
14244,37,37199,37220,Rilly-sur-Vienne,rilly sur vienne,47.057191081081,0.49934540540541
14245,37,37200,37190,Rivarennes,rivarennes,47.254754207317,0.36534774390244
14246,37,37201,37500,Rivière,riviere,47.142537435897,0.26388564102564
14247,37,37202,37500,La Roche-Clermault,la roche clermault,47.136408347107,0.20780280991736
14248,37,37203,37210,Rochecorbon,rochecorbon,47.436021937985,0.76228906976744
14249,37,37204,37360,Rouziers-de-Touraine,rouziers de touraine,47.52979431694,0.65202606557377
14250,37,37205,37190,Saché,sache,47.240374104478,0.53164820895522
14251,37,37206,37360,Saint-Antoine-du-Rocher,saint antoine du rocher,47.499088939394,0.63776083333333
14252,37,37207,37370,Saint-Aubin-le-Dépeint,saint aubin le depeint,47.621667956989,0.39752021505376
14253,37,37208,37550,Saint-Avertin,saint avertin,47.35379527027,0.74154391891892
14254,37,37210,37500,Saint-Benoît-la-Forêt,saint benoit la foret,47.210881875,0.3136825
14255,37,37211,37320,Saint-Branchs,saint branchs,47.231679310345,0.75822793103448
14256,37,37212,37800,Sainte-Catherine-de-Fierbois,sainte catherine de fierbois,47.153518125,0.67769770833333
14257,37,37213,37370,Saint-Christophe-sur-le-Nais,saint christophe sur le nais,47.622379217391,0.46834626086957
14258,37,37214,37540,Saint-Cyr-sur-Loire,saint cyr sur loire,47.418368552632,0.65147611842105
14259,37,37216,37800,Saint-Épain,saint epain,47.141326243386,0.56408783068783
14260,37,37217,37230,Saint-Étienne-de-Chigny,saint etienne de chigny,47.39032924812,0.50880360902256
14261,37,37218,37600,Saint-Flovier,saint flovier,46.973725354839,1.0173145806452
14262,37,37219,37510,Saint-Genouph,saint genouph,47.37186787234,0.59168404255319
14263,37,37220,37500,Saint-Germain-sur-Vienne,saint germain sur vienne,47.177211376147,0.1154976146789
14264,37,37221,37600,Saint-Hippolyte,saint hippolyte,47.055750159574,1.1073115425532
14265,37,37222,37600,Saint-Jean-Saint-Germain,saint jean saint germain,47.081034038462,1.0583104326923
14266,37,37223,37330,Saint-Laurent-de-Lin,saint laurent de lin,47.511825530303,0.26761765151515
