,,,,-HAUTES-PYRENEES,,,
26053,65,65085,65220,Bernadets-Debat,bernadets debat,43.353007721519,0.31452639240506
26054,65,65086,65190,Bernadets-Dessus,bernadets dessus,43.214864424779,0.29590203539823
26055,65,65087,65370,Bertren,bertren,42.998673902439,0.62005219512195
26056,65,65088,65230,Betbèze,betbeze,43.289856804124,0.57164608247423
26057,65,65089,65120,Betpouey,betpouey,42.861098076923,0.06423451923077
26058,65,65090,65230,Betpouy,betpouy,43.272616636364,0.45492072727273
26059,65,65091,65130,Bettes,bettes,43.082135252525,0.22092636363636
26060,65,65092,65410,Beyrède-Jumet,beyrede jumet,42.954563181818,0.34752836363636
26061,65,65093,65150,Bize,bize,43.037350568182,0.47202806818182
26062,65,65094,65150,Bizous,bizous,43.064139846154,0.44188846153846
26063,65,65095,65220,Bonnefont,bonnefont,43.241658293651,0.34021476190476
26064,65,65096,65130,Bonnemazon,bonnemazon,43.106607361111,0.24903125
26065,65,65097,65330,Bonrepos,bonrepos,43.193418558559,0.37974315315315
26066,65,65098,65400,Boô-Silhen,boo silhen,43.018813333333,-0.07229
26067,65,65099,65590,Bordères-Louron,borderes louron,42.867992716049,0.42402296296296
26068,65,65100,65320,Bordères-sur-l'Échez,borderes sur l echez,43.269833069307,0.04607445544554
26069,65,65101,65190,Bordes,bordes,43.198649337017,0.22028546961326
26070,65,65102,65140,Bouilh-Devant,bouilh devant,43.336920606061,0.26111878787879
26071,65,65103,65350,Bouilh-Péreuilh,bouilh pereuilh,43.308620561225,0.18801571428571
26072,65,65104,65350,Boulin,boulin,43.253848461538,0.13219923076923
26073,65,65105,65130,Bourg-de-Bigorre,bourg de bigorre,43.088241836735,0.25402394557823
26074,65,65106,65170,Bourisp,bourisp,42.831343921569,0.33878235294118
26075,65,65107,65100,Bourréac,bourreac,43.1056188,0.00418333333333
26076,65,65108,65460,Bours,bours,43.2805862,0.0927338
26077,65,65109,65370,Bramevaque,bramevaque,42.977810625,0.56300645833333
26078,65,65110,65220,Bugard,bugard,43.25442787234,0.3129885106383
26079,65,65111,65130,Bulan,bulan,43.042452089552,0.28263044776119
26080,65,65112,65400,Bun,bun,42.970782121212,-0.16025484848485
26081,65,65113,65190,Burg,burg,43.186732483221,0.32312617449664
26082,65,65114,65140,Buzon,buzon,43.44935725,0.147529375
26083,65,65115,65350,Cabanac,cabanac,43.272305384615,0.22593448717949
26084,65,65116,65240,Cadéac,cadeac,42.894124285714,0.33633023809524
26085,65,65117,65170,Cadeilhan-Trachère,cadeilhan trachere,42.811854464286,0.29703446428571
26086,65,65118,65190,Caharet,caharet,43.145078974359,0.30895897435897
26087,65,65119,65500,Caixon,caixon,43.407769191919,0.01833808080808
26088,65,65120,65190,Calavanté,calavante,43.204907096774,0.1649364516129
26089,65,65121,65500,Camalès,camales,43.359834552239,0.0821078358209
26090,65,65122,65410,Camous,camous,42.940939230769,0.38498961538462
26091,65,65123,65710,Campan,campan,42.942470073171,0.22250426829268
26092,65,65124,65170,Camparan,camparan,42.830575833333,0.35709958333333
26093,65,65125,65300,Campistrous,campistrous,43.145843317757,0.37682014018692
26094,65,65126,65230,Campuzan,campuzan,43.278436634615,0.43075288461538
26095,65,65127,65130,Capvern,capvern,43.113973114035,0.32289561403509
26096,65,65128,65330,Castelbajac,castelbajac,43.18155,0.35368734848485
26097,65,65129,65230,Castelnau-Magnoac,castelnau magnoac,43.305203709677,0.52154634408602
