,,,,-LANDES,,,
15453,40,40085,40210,Commensacq,commensacq,44.214211340782,-0.7862048603352
15454,40,40086,40500,Coudures,coudures,43.689822358974,-0.50487902564103
15455,40,40087,40240,Créon-d'Armagnac,creon d armagnac,43.984136190476,-0.08642371428571
15456,40,40088,40100,Dax,dax,43.699874477612,-1.0541630597015
15457,40,40089,40700,Doazit,doazit,43.691752245989,-0.65321652406417
15458,40,40090,40360,Donzacq,donzacq,43.656218087432,-0.80549382513661
15459,40,40091,40800,Duhort-Bachen,duhort bachen,43.717833240741,-0.31936546296296
15460,40,40092,40500,Dumes,dumes,43.703066818182,-0.58180090909091
15461,40,40093,40310,Escalans,escalans,44.000240695971,0.04475142857143
15462,40,40094,40210,Escource,escource,44.187517956989,-1.0946541935484
15463,40,40095,40290,Estibeaux,estibeaux,43.6065215625,-0.912554765625
15464,40,40096,40240,Estigarde,estigarde,44.06176655914,-0.11390397849462
15465,40,40097,40320,Eugénie-les-Bains,eugenie les bains,43.695830510949,-0.38318737226277
15466,40,40098,40500,Eyres-Moncube,eyres moncube,43.714554161074,-0.55039852348993
15467,40,40099,40500,Fargues,fargues,43.724850266667,-0.45513133333333
15468,40,40100,40190,Le Frêche,le freche,43.921392687075,-0.24339231292517
15469,40,40101,40350,Gaas,gaas,43.612155061728,-1.0438011111111
15470,40,40102,40310,Gabarret,gabarret,43.982569545455,0.01020602272727
15471,40,40103,40090,Gaillères,gailleres,43.936760163934,-0.36977639344262
15472,40,40104,40380,Gamarde-les-Bains,gamarde les bains,43.730217137546,-0.87404156133829
15473,40,40105,40420,Garein,garein,44.046635833333,-0.64573333333333
15474,40,40106,40180,Garrey,garrey,43.668420743802,-0.89947785123967
15475,40,40107,40110,Garrosse,garrosse,44.012072068966,-0.91974862068966
15476,40,40108,40160,Gastes,gastes,44.313339444444,-1.1858947222222
15477,40,40109,40330,Gaujacq,gaujacq,43.637749041096,-0.74202744292237
15478,40,40110,40320,Geaune,geaune,43.632844897959,-0.36821884353742
15479,40,40111,40090,Geloux,geloux,43.960771325301,-0.6438356626506
15480,40,40112,40380,Gibret,gibret,43.682221445783,-0.82257590361446
15481,40,40113,40180,Goos,goos,43.73068556213,-0.91702189349112
15482,40,40114,40990,Gourbera,gourbera,43.804285,-1.04833
15483,40,40115,40465,Gousse,gousse,43.773588205128,-0.90716243589744
15484,40,40116,40400,Gouts,gouts,43.778893934426,-0.78128983606557
15485,40,40117,40270,Grenade-sur-l'Adour,grenade sur l adour,43.794835696203,-0.42174341772152
15486,40,40118,40290,Habas,habas,43.559462556054,-0.93350210762332
15487,40,40119,40700,Hagetmau,hagetmau,43.64719541806,-0.58516073578595
15488,40,40120,40300,Hastingues,hastingues,43.513882767857,-1.1378950892857
15489,40,40121,40250,Hauriet,hauriet,43.735932909091,-0.69221272727273
15490,40,40122,40280,Haut-Mauco,haut mauco,43.819910729927,-0.57055562043796
15491,40,40123,40990,Herm,herm,43.817515964912,-1.1490405263158
15492,40,40124,40310,Herré,herre,44.031547884615,-0.03796519230769
15493,40,40125,40180,Heugas,heugas,43.63934177686,-1.0872351652893
15494,40,40126,40180,Hinx,hinx,43.709210721154,-0.93088346153846
15495,40,40127,40190,Hontanx,hontanx,43.81754576779,-0.27017951310861
15496,40,40128,40700,Horsarrieu,horsarrieu,43.691649519231,-0.60349663461538
15497,40,40129,40230,Josse,josse,43.638236842105,-1.2320426315789
15498,40,40130,40700,Labastide-Chalosse,labastide chalosse,43.614211098901,-0.60756186813187
15499,40,40131,40240,Labastide-d'Armagnac,labastide d armagnac,43.946401781116,-0.16403572961373
15500,40,40132,40300,Labatut,labatut,43.555276966667,-0.99426003333333
15501,40,40133,40530,Labenne,labenne,43.600666769231,-1.4232067692308
15502,40,40134,40210,Labouheyre,labouheyre,44.216409333333,-0.92327
15503,40,40135,40420,Labrit,labrit,44.093439577465,-0.54514992957746
15504,40,40136,40320,Lacajunte,lacajunte,43.588846078431,-0.4211762745098
15505,40,40137,40120,Lacquy,lacquy,43.952608190476,-0.2791600952381
15506,40,40138,40700,Lacrabe,lacrabe,43.606036259542,-0.59584908396947
15507,40,40139,40090,Laglorieuse,laglorieuse,43.865439378531,-0.38848689265537
15508,40,40140,40240,Lagrange,lagrange,43.963063809524,-0.09211194805195
15509,40,40141,40250,Lahosse,lahosse,43.715821315789,-0.78570013157895
15510,40,40142,40465,Laluque,laluque,43.86651030303,-0.98792424242424
15511,40,40143,40250,Lamothe,lamothe,43.794161985816,-0.65696460992908
15512,40,40144,40250,Larbey,larbey,43.703818,-0.73520413333333
15513,40,40145,40270,Larrivière-Saint-Savin,larriviere saint savin,43.753740253807,-0.42235431472081
15514,40,40146,40800,Latrille,latrille,43.632361029412,-0.28592161764706
15515,40,40147,40250,Laurède,laurede,43.755286304348,-0.79037347826087
15516,40,40148,40320,Lauret,lauret,43.565276571429,-0.32598521428571
15517,40,40149,40120,Lencouacq,lencouacq,44.114775840708,-0.40063601769912
15518,40,40150,40550,Léon,leon,43.848760720721,-1.2825400900901
15519,40,40151,40400,Lesgor,lesgor,43.84861375,-0.88684875
15520,40,40152,40260,Lesperon,lesperon,43.983225925926,-1.098972345679
15521,40,40153,40250,Le Leuy,le leuy,43.818291604938,-0.6472575308642
