id,department_code,insee_code,zip_code,-BAS-RHIN,slug,gps_lat,gps_lng
27012,67,67368,67530,Ottrott,ottrott,48.445777395349,7.3744657209302
27013,67,67369,67320,Ottwiller,ottwiller,48.863286363636,7.231194025974
27014,67,67370,67290,Petersbach,petersbach,48.879209375,7.2648273214286
27015,67,67371,67290,La Petite-Pierre,la petite pierre,48.863911452514,7.3281374860335
27016,67,67372,67350,Val de Moder,val de moder,48.845996484375,7.6151190625
27017,67,67373,67320,Pfalzweyer,pfalzweyer,48.808331568627,7.2587092156863
27018,67,67375,67370,Pfulgriesheim,pfulgriesheim,48.644847352941,7.6656079411765
27019,67,67377,67420,Plaine,plaine,48.420144973822,7.143065026178
27020,67,67378,67115,Plobsheim,plobsheim,48.465397352941,7.7314139215686
27021,67,67379,67250,Preuschdorf,preuschdorf,48.948659490446,7.8027370700637
27022,67,67380,67490,Printzheim,printzheim,48.792195294118,7.4760335294118
27023,67,67381,67290,Puberg,puberg,48.91379974359,7.305923974359
27024,67,67382,67117,Quatzenheim,quatzenheim,48.627928333333,7.5773216666667
27025,67,67383,67310,Rangen,rangen,48.670536571429,7.4769034285714
27026,67,67384,67420,Ranrupt,ranrupt,48.371981666667,7.1911933333333
27027,67,67385,67430,Ratzwiller,ratzwiller,48.95266875,7.2569465441176
27028,67,67386,67320,Rauwiller,rauwiller,48.809991764706,7.1137520588235
27029,67,67387,67140,Reichsfeld,reichsfeld,48.359533333333,7.3827676470588
27030,67,67388,67110,Reichshoffen,reichshoffen,48.936883072917,7.6677514583333
27031,67,67389,67116,Reichstett,reichstett,48.647355444444,7.751774
27032,67,67391,67440,Reinhardsmunster,reinhardsmunster,48.683066711409,7.3019148993289
27033,67,67392,67340,Reipertswiller,reipertswiller,48.9411794,7.4518910666667
27034,67,67394,67250,Retschwiller,retschwiller,48.95110525641,7.8848634615385
27035,67,67395,67440,Reutenbourg,reutenbourg,48.683166612903,7.4090830645161
27036,67,67396,67320,Rexingen,rexingen,48.905935402299,7.1802388505747
27037,67,67397,67860,Rhinau,rhinau,48.314064647887,7.6964311267606
27038,67,67398,67390,Richtolsheim,richtolsheim,48.222945333333,7.6097235555556
27039,67,67400,67160,Riedseltz,riedseltz,48.987153063063,7.9470154054054
27040,67,67401,67260,Rimsdorf,rimsdorf,48.929149041096,7.1169146575342
27041,67,67402,67350,Ringeldorf,ringeldorf,48.830305348837,7.6072151162791
27042,67,67403,67350,Ringendorf,ringendorf,48.811079770115,7.5537205747127
27043,67,67404,67690,Rittershoffen,rittershoffen,48.897974851485,7.9620982178218
27044,67,67405,67480,Rœschwoog,roeschwoog,48.824389247312,8.0400967741936
27045,67,67406,67270,Rohr,rohr,48.694719146341,7.5373308536585
27046,67,67407,67410,Rohrwiller,rohrwiller,48.749087789474,7.900150631579
27047,67,67408,67310,Romanswiller,romanswiller,48.643813736264,7.3890412087912
27048,67,67409,67480,Roppenheim,roppenheim,48.837703170732,8.0661131707317
27049,67,67410,67560,Rosenwiller,rosenwiller,48.5089384,7.4295927
27050,67,67411,67560,Rosheim,rosheim,48.490483466135,7.4039709561753
27051,67,67412,67230,Rossfeld,rossfeld,48.334265211268,7.6168835211268
27052,67,67413,67290,Rosteig,rosteig,48.932456326531,7.3388596938776
27053,67,67414,67570,Rothau,rothau,48.451845471698,7.2075567924528
27054,67,67415,67340,Rothbach,rothbach,48.906022155172,7.5107120689655
27055,67,67416,67160,Rott,rott,49.01886247191,7.9050369662921
27056,67,67417,67170,Rottelsheim,rottelsheim,48.757659268293,7.7105329268293
27057,67,67418,67480,Rountzenheim,rountzenheim,48.822987826087,7.9972142608696
27058,67,67420,67130,Russ,russ,48.488175533981,7.2660902912621
27059,67,67421,67420,Saales,saales,48.349875480769,7.1155309615385
27060,67,67422,67390,Saasenheim,saasenheim,48.23926625,7.6298645454546
27061,67,67423,67270,Saessolsheim,saessolsheim,48.706955862069,7.5123142528736
27062,67,67424,67420,Saint-Blaise-la-Roche,saint blaise la roche,48.40763469697,7.1678340909091
27063,67,67425,67700,Saint-Jean-Saverne,saint jean saverne,48.780887213115,7.3542352459016
27064,67,67426,67220,Saint-Martin,saint martin,48.348983461538,7.2837488461539
27065,67,67427,67220,Saint-Maurice,saint maurice,48.331138070175,7.3355894736842
27066,67,67428,67530,Saint-Nabor,saint nabor,48.441308,7.4169553333333
27067,67,67429,67140,Saint-Pierre,saint pierre,48.384023114754,7.4643504918033
27068,67,67430,67220,Saint-Pierre-Bois,saint pierre bois,48.334753169014,7.3631621126761
27069,67,67432,67160,Salmbach,salmbach,48.981458672566,8.0769278761062
27070,67,67433,67230,Sand,sand,48.375315204082,7.6258469387755
27071,67,67434,67260,Sarre-Union,sarre union,48.94106,7.0875028735632
27072,67,67435,67260,Sarrewerden,sarrewerden,48.906663046875,7.0683809375
27073,67,67436,67420,Saulxures,saulxures,48.395010684211,7.1295895263158
27074,67,67437,67700,Saverne,saverne,48.739383641304,7.3558379347826
27075,67,67438,67150,Schaeffersheim,schaeffersheim,48.435915217391,7.6158547826087
27076,67,67440,67470,Schaffhouse-près-Seltz,schaffhouse pres seltz,48.908508640777,8.0897984466019
27077,67,67441,67350,Schalkendorf,schalkendorf,48.836721809524,7.5676918095238
