,,,,-LOZERE,,,
17822,48,48094,48500,Massegros Causses Gorges,massegros causses gorges,44.309882,3.173637
17823,48,48095,48000,Mende,mende,44.532083877005,3.4846506951872
17824,48,48096,48150,Meyrueis,meyrueis,44.172805288462,3.4571197435897
17825,48,48097,48110,Moissac-Vallée-Française,moissac vallee francaise,44.15655368932,3.7885550485437
17826,48,48098,48110,Molezon,molezon,44.2144052,3.6925079428571
17827,48,48099,48100,Bourgs sur Colagne,bourgs sur colagne,44.535195586735,3.2284285204082
17828,48,48100,48170,Montbel,montbel,44.598008828125,3.703037421875
17829,48,48103,48100,Montrodat,montrodat,44.557230133929,3.3265828571429
17830,48,48104,48260,Nasbinals,nasbinals,44.647640023256,3.0624804651163
17831,48,48105,48300,Naussac-Fontanes,naussac fontanes,44.762268643411,3.7979776744186
17832,48,48106,48310,Noalhac,noalhac,44.798701791531,3.1136140716612
17833,48,48107,48100,Palhers,palhers,44.519361037736,3.3077338679245
17834,48,48108,48600,La Panouse,la panouse,44.744725301724,3.5975246551724
17835,48,48110,48140,Paulhac-en-Margeride,paulhac en margeride,44.943851862745,3.3842060784314
17836,48,48111,48000,Pelouse,pelouse,44.570075168539,3.603138988764
17837,48,48112,48300,Pierrefiche,pierrefiche,44.687224450867,3.7307810404624
17838,48,48115,48110,Le Pompidou,le pompidou,44.205731585903,3.6628833920705
17839,48,48116,48220,Pont de Montvert - Sud Mont Lozère,pont de montvert sud mont lozere,44.3593274,3.777048825
17840,48,48117,48800,Pourcharesses,pourcharesses,44.449116926229,3.9066050409836
17841,48,48119,48800,Prévenchères,prevencheres,44.512315067568,3.9271900675676
17842,48,48121,48200,Prunières,prunieres,44.814597285714,3.3330684285714
17843,48,48123,48260,Recoules-d'Aubrac,recoules d aubrac,44.691289519231,3.0341583333333
17844,48,48124,48100,Recoules-de-Fumas,recoules de fumas,44.634696448598,3.3401342056075
17845,48,48126,48700,Ribennes,ribennes,44.64925684466,3.3894252912621
17846,48,48127,48700,Rieutort-de-Randon,rieutort de randon,44.622008551237,3.4846301413428
17847,48,48128,48200,Rimeize,rimeize,44.766973704735,3.3195574651811
17848,48,48129,48300,Rocles,rocles,44.703530264901,3.7888528145695
17849,48,48130,48400,Rousses,rousses,44.192950392157,3.5744467973856
17850,48,48131,48150,Le Rozier,le rozier,44.195027777778,3.2170958333333
17851,48,48132,48120,Saint-Alban-sur-Limagnole,saint alban sur limagnole,44.800472761394,3.4084624396783
17852,48,48133,48700,Saint-Amans,saint amans,44.664944929577,3.4526637323944
17853,48,48135,48800,Saint-André-Capcèze,saint andre capceze,44.416373017241,3.9444388793103
17854,48,48136,48240,Saint-André-de-Lancize,saint andre de lancize,44.263961330645,3.80153
17855,48,48137,48000,Saint-Bauzile,saint bauzile,44.470433842105,3.4892831578947
17856,48,48138,48100,Saint-Bonnet-de-Chirac,saint bonnet de chirac,44.502410357143,3.2722898571429
17857,48,48139,48600,Saint Bonnet-Laval,saint bonnet laval,44.810780644068,3.7099030169492
17858,48,48140,48200,Saint-Chély-d'Apcher,saint chely d apcher,44.809121570248,3.2773416253443
17859,48,48141,48210,Mas-Saint-Chély,mas saint chely,44.312991458333,3.4112951785714
17860,48,48144,48110,Sainte-Croix-Vallée-Française,sainte croix vallee francaise,44.184428425926,3.7416410648148
17861,48,48145,48700,Saint-Denis-en-Margeride,saint denis en margeride,44.741080140845,3.4653024882629
17862,48,48146,48210,Gorges du Tarn Causses,gorges du tarn causses,44.2302419,3.2342
17863,48,48146,48320,Gorges du Tarn Causses,gorges du tarn causses,44.2302419,3.2342
17864,48,48147,48000,Saint-Étienne-du-Valdonnez,saint etienne du valdonnez,44.444447421053,3.5673758947368
17865,48,48148,48330,Saint-Étienne-Vallée-Française,saint etienne vallee francaise,44.173305968992,3.8532146124031
17866,48,48149,48120,Sainte-Eulalie,sainte eulalie,44.779134294872,3.4722700641026
17867,48,48150,48300,Saint-Flour-de-Mercoire,saint flour de mercoire,44.685708243243,3.8220079054054
17868,48,48151,48170,Saint-Frézal-d'Albuges,saint frezal d albuges,44.572172307692,3.7657266153846
17869,48,48152,48160,Ventalon en Cévennes,ventalon en cevennes,44.2913586,3.8706208
17870,48,48152,48240,Ventalon en Cévennes,ventalon en cevennes,44.2913586,3.8706208
17871,48,48153,48700,Saint-Gal,saint gal,44.671435670732,3.4174957926829
17872,48,48155,48370,Saint-Germain-de-Calberte,saint germain de calberte,44.223901853147,3.8130882167832
17873,48,48156,48340,Saint-Germain-du-Teil,saint germain du teil,44.483895947712,3.1755767320261
17874,48,48157,48190,Sainte-Hélène,sainte helene,44.520639090909,3.6025795454545
17875,48,48158,48160,Saint-Hilaire-de-Lavit,saint hilaire de lavit,44.255774956522,3.8561239130435
17876,48,48160,48170,Saint-Jean-la-Fouillouse,saint jean la fouillouse,44.705827283951,3.6992661728395
17877,48,48161,48310,Saint-Juéry,saint juery,44.8287985,3.0841768333333
17878,48,48163,48160,Saint-Julien-des-Points,saint julien des points,44.257999859155,3.9589622535211
17879,48,48165,48100,Saint-Laurent-de-Muret,saint laurent de muret,44.598456621253,3.1667726158038
