,,,,-CREUSE,,,
7870,23,23082,23320,Fleurat,fleurat,46.232560065789,1.6849373684211
7871,23,23083,23110,Fontanières,fontanieres,46.106509874214,2.5232490566038
7872,23,23084,23360,La Forêt-du-Temple,la foret du temple,46.428086298701,1.9008438311688
7873,23,23086,23480,Fransèches,franseches,46.030465739437,2.0454304225352
7874,23,23087,23450,Fresselines,fresselines,46.375589485294,1.7028611764706
7875,23,23088,23320,Gartempe,gartempe,46.150792426471,1.7279528676471
7876,23,23089,23350,Genouillac,genouillac,46.34483618123,1.990489579288
7877,23,23090,23340,Gentioux-Pigerolles,gentioux pigerolles,45.7818952,2.0287622666667
7878,23,23091,23500,Gioux,gioux,45.806335069767,2.1122137209302
7879,23,23092,23380,Glénic,glenic,46.234797457213,1.9409230562347
7880,23,23093,23230,Gouzon,gouzon,46.183227546174,2.2161907651715
7881,23,23095,23240,Le Grand-Bourg,le grand bourg,46.162618360215,1.6504674731183
7882,23,23096,23000,Guéret,gueret,46.166517988827,1.8723536312849
7883,23,23097,23130,Issoudun-Létrieix,issoudun letrieix,46.065288421053,2.1634595723684
7884,23,23098,23270,Jalesches,jalesches,46.292868743455,2.08327486911
7885,23,23099,23250,Janaillat,janaillat,46.048245362998,1.7750238173302
7886,23,23100,23140,Jarnages,jarnages,46.187505306122,2.0813701530612
7887,23,23101,23220,Jouillat,jouillat,46.264733477218,1.9362411990408
7888,23,23102,23270,Ladapeyre,ladapeyre,46.244329104116,2.0525159564165
7889,23,23103,23800,Lafat,lafat,46.339828814229,1.6055017786561
7890,23,23104,23600,Lavaufranche,lavaufranche,46.306368819188,2.2732190405904
7891,23,23105,23150,Lavaveix-les-Mines,lavaveix les mines,46.076544651163,2.0924190697674
7892,23,23106,23170,Lépaud,lepaud,46.229984739336,2.3884423222749
7893,23,23107,23150,Lépinas,lepinas,46.056991222222,1.9361326666667
7894,23,23108,23600,Leyrat,leyrat,46.355721975309,2.2953551028807
7895,23,23109,23220,Linard,linard,46.36696,1.8768808
7896,23,23110,23700,Lioux-les-Monges,lioux les monges,45.939097637795,2.4431894488189
7897,23,23111,23240,Lizières,lizieres,46.208188123324,1.5738002680965
7898,23,23112,23360,Lourdoueix-Saint-Pierre,lourdoueix saint pierre,46.390286939314,1.8205101055409
