,,,,-SARTHE,,,
29035,72,72083,72350,Chevillé,cheville,47.943103137255,-0.22634052287582
29036,72,72084,72200,Clermont-Créans,clermont creans,47.732207621951,-0.02182957317073
29037,72,72085,72310,Cogners,cogners,47.860620942408,0.65661272251309
29038,72,72086,72600,Commerveil,commerveil,48.31033725,0.35399466666667
29039,72,72087,72120,Conflans-sur-Anille,conflans sur anille,47.967581234568,0.72074654320988
29040,72,72088,72290,Congé-sur-Orne,conge sur orne,48.206046190476,0.25738071428571
29041,72,72089,72240,Conlie,conlie,48.122400081967,-0.00559737704918
29042,72,72090,72160,Connerré,connerre,48.0545530625,0.47411875
29043,72,72091,72600,Contilly,contilly,48.415008424242,0.35812812121212
29044,72,72093,72400,Cormes,cormes,48.162258312236,0.70710907172996
29045,72,72094,72440,Coudrecieux,coudrecieux,47.988107477477,0.62514545045045
29046,72,72095,72190,Coulaines,coulaines,48.032060377358,0.21197169811321
29047,72,72096,72550,Coulans-sur-Gée,coulans sur gee,48.02506202765,0.01574534562212
29048,72,72097,72130,Coulombiers,coulombiers,48.294193202614,0.1248631372549
29049,72,72098,72800,Coulongé,coulonge,47.693721775701,0.19787457943925
29050,72,72099,72290,Courcebœufs,courceboeufs,48.125658539326,0.28351370786517
29051,72,72100,72270,Courcelles-la-Forêt,courcelles la foret,47.793966515152,-0.02920553030303
29052,72,72101,72110,Courcemont,courcemont,48.178167794118,0.34435333333333
29053,72,72102,72110,Courcival,courcival,48.237603493976,0.39033253012048
29054,72,72103,72150,Courdemanche,courdemanche,47.814998,0.55694627272727
29055,72,72104,72260,Courgains,courgains,48.288947517241,0.27512668965517
29056,72,72105,72320,Courgenard,courgenard,48.157132638889,0.74078451388889
29057,72,72106,72300,Courtillers,courtillers,47.802731354167,-0.3101934375
29058,72,72107,72540,Crannes-en-Champagne,crannes en champagne,47.979848783784,-0.03826790540541
29059,72,72109,72140,Crissé,crisse,48.179596777778,-0.06764937037037
29060,72,72110,72200,Crosmières,crosmieres,47.734296011561,-0.16031543352601
29061,72,72111,72240,Cures,cures,48.082313243243,0.02403234234234
29062,72,72112,72260,Dangeul,dangeul,48.248884512195,0.26266158536585
29063,72,72113,72550,Degré,degre,48.052315510204,0.07475612244898
29064,72,72114,72400,Dehault,dehault,48.206021129032,0.58162709677419
29065,72,72115,72500,Dissay-sous-Courcillon,dissay sous courcillon,47.663910673077,0.48671418269231
29066,72,72116,72260,Dissé-sous-Ballon,disse sous ballon,48.232289014085,0.30119521126761
29067,72,72118,72390,Dollon,dollon,48.040776637427,0.58590307017544
29068,72,72119,72240,Domfront-en-Champagne,domfront en champagne,48.105950179641,0.05164431137725
29069,72,72120,72170,Doucelles,doucelles,48.255436153846,0.18170969230769
29070,72,72121,72130,Douillet,douillet,48.275577719298,-0.05687078947368
29071,72,72122,72160,Duneau,duneau,48.066575207547,0.52884196226415
29072,72,72123,72270,Dureil,dureil,47.829188378378,-0.13662256756757
29073,72,72124,72220,Écommoy,ecommoy,47.821241690821,0.28243077294686
29074,72,72125,72120,Écorpain,ecorpain,47.932567733333,0.64056573333333
29075,72,72126,72540,Épineu-le-Chevreuil,epineu le chevreuil,48.042849789474,-0.13274652631579
29076,72,72127,72700,Étival-lès-le-Mans,etival les le mans,47.963531348315,0.07488539325843
29077,72,72128,72120,Évaillé,evaille,47.902324295082,0.62517104918033
29078,72,72129,72470,Fatines,fatines,48.048182076923,0.33114453846154
29079,72,72130,72550,Fay,fay,47.995251655172,0.06974151724138
29080,72,72131,72430,Fercé-sur-Sarthe,ferce sur sarthe,47.900816516129,-0.03722083870968
29081,72,72132,72400,La Ferté-Bernard,la ferte bernard,48.18354331058,0.63454563139932
29082,72,72133,72210,Fillé,fille,47.901880582011,0.10685947089947
29083,72,72134,72500,Flée,flee,47.73618087156,0.45656050458716
29084,72,72135,72330,La Fontaine-Saint-Martin,la fontaine saint martin,47.797150254237,0.04314330508475
29085,72,72136,72350,Fontenay-sur-Vègre,fontenay sur vegre,47.907643529412,-0.21985789915966
29086,72,72137,72600,Villeneuve-en-Perseigne,villeneuve en perseigne,48.3784272,0.3160222
29087,72,72137,72610,Villeneuve-en-Perseigne,villeneuve en perseigne,48.3588397,0.1260448
29088,72,72138,72130,Fresnay-sur-Sarthe,fresnay sur sarthe,48.282506206897,0.02142327586207
29089,72,72139,72610,Fyé,fye,48.323006588235,0.08477958823529
29090,72,72141,72130,Gesnes-le-Gandelin,gesnes le gandelin,48.358941416667,0.0294425
29091,72,72142,72610,Grandchamp,grandchamp,48.305563965517,0.18183448275862
