id,department_code,insee_code,zip_code,-MOSELLE,slug,gps_lat,gps_lng
21745,57,57497,57670,Nelling,nelling,48.969957604167,6.8588433333333
21746,57,57498,57700,Neufchef,neufchef,49.318667413793,6.0152515517241
21747,57,57499,57910,Neufgrange,neufgrange,49.076120857143,7.0647464761905
21748,57,57500,57830,Neufmoulins,neufmoulins,48.678109516129,6.9711970967742
21749,57,57501,57670,Neufvillage,neufvillage,48.934545714286,6.7791290476191
21750,57,57502,57320,Neunkirchen-lès-Bouzonville,neunkirchen les bouzonville,49.347331304348,6.5625033333333
21751,57,57504,57560,Niderhoff,niderhoff,48.628684615385,7.0075375961538
21752,57,57505,57565,Niderviller,niderviller,48.710966792453,7.1011409433962
21753,57,57506,57930,Niederstinzel,niederstinzel,48.870599787234,7.0218236170213
21754,57,57507,57220,Niedervisse,niedervisse,49.161293157895,6.5637782894737
21755,57,57508,57240,Nilvange,nilvange,49.34284091954,6.0492044827586
21756,57,57509,57790,Nitting,nitting,48.657692560976,7.0493367682927
21757,57,57510,57645,Noisseville,noisseville,49.133705081967,6.2682442622951
21758,57,57511,57140,Norroy-le-Veneur,norroy le veneur,49.1786776,6.1094219
21759,57,57512,57645,Nouilly,nouilly,49.134067647059,6.2565252941177
21760,57,57513,57720,Nousseviller-lès-Bitche,nousseviller les bitche,49.101841458333,7.3731085416667
21761,57,57514,57990,Nousseviller-Saint-Nabor,nousseviller saint nabor,49.128711898734,6.9719332911392
21762,57,57515,57680,Novéant-sur-Moselle,noveant sur moselle,49.03791826087,6.0344936521739
21763,57,57516,57320,Oberdorff,oberdorff,49.276561481481,6.5807107407407
21764,57,57517,57720,Obergailbach,obergailbach,49.112773164557,7.2204273417722
21765,57,57518,57930,Oberstinzel,oberstinzel,48.79008625,7.0269714583333
21766,57,57519,57220,Obervisse,obervisse,49.152631551724,6.5825920689655
21767,57,57520,57170,Obreck,obreck,48.850586190476,6.6005684126984
21768,57,57521,57600,Œting,oeting,49.173151315789,6.9103178947368
21769,57,57524,57810,Ommeray,ommeray,48.718382831858,6.6923386725664
21770,57,57525,57590,Oriocourt,oriocourt,48.858423294118,6.4116634117647
21771,57,57526,57720,Ormersviller,ormersviller,49.131009888889,7.3378378888889
21772,57,57527,57420,Orny,orny,49.029681428571,6.247655
21773,57,57528,57590,Oron,oron,48.90218075,6.4836225
21774,57,57529,57840,Ottange,ottange,49.434792608696,6.0082068478261
21775,57,57530,57220,Ottonville,ottonville,49.218838059702,6.5169565671642
21776,57,57531,57970,Oudrenne,oudrenne,49.368879728507,6.3438322624434
21777,57,57532,57420,Pagny-lès-Goin,pagny les goin,48.966073043478,6.2236195652174
21778,57,57533,57530,Pange,pange,49.083165496183,6.3565941984733
21779,57,57534,57245,Peltre,peltre,49.071825816327,6.2280470408163
21780,57,57535,57410,Petit-Réderching,petit rederching,49.055677151515,7.3144376363636
21781,57,57536,57660,Petit-Tenquin,petit tenquin,48.989263294118,6.8752487058823
21782,57,57537,57540,Petite-Rosselle,petite rosselle,49.210280694444,6.8547961111111
21783,57,57538,57170,Pettoncourt,pettoncourt,48.787775530303,6.4110324242424
21784,57,57539,57340,Pévange,pevange,48.908624347826,6.6227789855073
21785,57,57540,57370,Phalsbourg,phalsbourg,48.770174562212,7.264452718894
21786,57,57541,57230,Philippsbourg,philippsbourg,48.990806666667,7.5688869736842
21787,57,57542,57220,Piblange,piblange,49.245470927835,6.4172682474227
21788,57,57543,57120,Pierrevillers,pierrevillers,49.225350246914,6.0932296296296
21789,57,57544,57870,Plaine-de-Walsch,plaine de walsch,48.689130675676,7.1519144594595
21790,57,57545,57050,Plappeville,plappeville,49.1324774,6.126341
21791,57,57546,57140,Plesnois,plesnois,49.171383661972,6.114428028169
21792,57,57547,57420,Pommérieux,pommerieux,48.996174942529,6.1819089655172
21793,57,57548,57420,Pontoy,pontoy,49.017351714286,6.2926898095238
21794,57,57549,57380,Pontpierre,pontpierre,49.048542857143,6.6377217346939
21795,57,57550,57890,Porcelette,porcelette,49.165683033708,6.664366741573
21796,57,57551,57930,Postroff,postroff,48.85305625,7.07655375
21797,57,57552,57420,Pouilly,pouilly,49.05486137931,6.1924094252873
21798,57,57553,57420,Pournoy-la-Chétive,pournoy la chetive,49.02064974359,6.1569335897436
21799,57,57554,57420,Pournoy-la-Grasse,pournoy la grasse,49.012996043165,6.2017897841727
21800,57,57555,57590,Prévocourt,prevocourt,48.923692823529,6.4328948235294
21801,57,57556,57510,Puttelange-aux-Lacs,puttelange aux lacs,49.052618870056,6.9224133898305
21802,57,57557,57570,Puttelange-lès-Thionville,puttelange les thionville,49.486735637584,6.2676395973154
21803,57,57558,57170,Puttigny,puttigny,48.845968224299,6.5499512149533
21804,57,57559,57590,Puzieux,puzieux,48.889414507042,6.3623245070423
21805,57,57560,57340,Racrange,racrange,48.925464069767,6.6760269767442
21806,57,57561,57410,Rahling,rahling,48.99553940678,7.2518859322034
21807,57,57562,57700,Ranguevaux,ranguevaux,49.294656016949,6.0544652542373
21808,57,57563,57530,Raville,raville,49.0892390625,6.476169765625
21809,57,57564,57810,Réchicourt-le-Château,rechicourt le chateau,48.680720397727,6.8388521590909
21810,57,57565,57390,Rédange,redange,49.491015,5.9148440909091
21811,57,57566,57445,Réding,reding,48.748898395062,7.0956153703704
21812,57,57567,57320,Rémelfang,remelfang,49.267595666667,6.5117215
21813,57,57568,57200,Rémelfing,remelfing,49.087914363636,7.0815341818182
21814,57,57569,57480,Rémeling,remeling,49.408959908257,6.4882269724771
21815,57,57570,57550,Rémering,remering,49.259439672131,6.6302068852459
21816,57,57571,57510,Rémering-lès-Puttelange,remering les puttelange,49.03460117284,6.9340640740741
21817,57,57572,57580,Rémilly,remilly,49.008097312775,6.3908793832599
21818,57,57573,57670,Réning,rening,48.948787164179,6.8446107462687
21819,57,57574,57570,Basse-Rentgen,basse rentgen,49.491967373737,6.1991393939394
21820,57,57575,57645,Retonfey,retonfey,49.131977706422,6.3179213761468
21821,57,57576,57480,Rettel,rettel,49.432884936709,6.3404036708861
21822,57,57577,57230,Reyersviller,reyersviller,49.038709837398,7.3934945528455
21823,57,57578,57130,Rezonville,rezonville,49.083640761905,5.99125
21824,57,57579,57810,Rhodes,rhodes,48.756761547619,6.9049279761905
21825,57,57580,57340,Riche,riche,48.890710816327,6.6314719387755
21826,57,57581,57510,Richeling,richeling,49.033390434783,6.9702253913043
21827,57,57582,57270,Richemont,richemont,49.281742469136,6.1630372839506
21828,57,57583,57830,Richeval,richeval,48.634554166667,6.9178867708333
21829,57,57584,57720,Rimling,rimling,49.09283974026,7.2639055194805
21830,57,57585,57480,Ritzing,ritzing,49.435699285714,6.462677
21831,57,57586,57840,Rochonvillers,rochonvillers,49.409621190476,6.0250597619048
21832,57,57587,57340,Rodalbe,rodalbe,48.908701009174,6.7126598165138
21833,57,57588,57570,Rodemack,rodemack,49.45898952381,6.251352244898
21834,57,57589,57410,Rohrbach-lès-Bitche,rohrbach les bitche,49.043133227848,7.2783661392405
21835,57,57590,57720,Rolbing,rolbing,49.168486283784,7.4329176351351
21836,57,57591,57120,Rombas,rombas,49.243347904762,6.0925559047619
21837,57,57592,57930,Romelfing,romelfing,48.83371,7.00161640625
21838,57,57593,57860,Roncourt,roncourt,49.199298709677,6.0549684677419
21839,57,57594,57230,Roppeviller,roppeviller,49.093906103896,7.5104631818182
21840,57,57595,57260,Rorbach-lès-Dieuze,rorbach les dieuze,48.831719090909,6.8403276363636
21841,57,57596,57800,Rosbruck,rosbruck,49.158672321429,6.8548771428571
21842,57,57597,57780,Rosselange,rosselange,49.265903442623,6.0639549180328
21843,57,57598,57520,Rouhling,rouhling,49.133298676471,7.0060638235294
21844,57,57599,57220,Roupeldange,roupeldange,49.207702096774,6.4690038709677
21845,57,57600,57330,Roussy-le-Village,roussy le village,49.459610491803,6.1748586065574
21846,57,57601,57160,Rozérieulles,rozerieulles,49.118765894737,6.0568223157895
21847,57,57602,57310,Rurange-lès-Thionville,rurange les thionville,49.268875189873,6.2316986708861
21848,57,57603,57390,Russange,russange,49.486521180556,5.9447340277778
21849,57,57604,57480,Rustroff,rustroff,49.442170816327,6.3737010204082
21850,57,57605,57420,Sailly-Achâtel,sailly achatel,48.939394939759,6.2994328915663
21851,57,57606,57500,Saint-Avold,saint avold,49.131645223881,6.7172383283582
21852,57,57607,57640,Sainte-Barbe,sainte barbe,49.163019206349,6.323025
21853,57,57609,57580,Saint-Epvre,saint epvre,48.968693411765,6.4288045882353
21854,57,57610,57320,Saint-François-Lacroix,saint francois lacroix,49.34977,6.4487610843373
21855,57,57611,57830,Saint-Georges,saint georges,48.657041259259,6.9280746666667
