id,department_code,insee_code,zip_code,-AIN,slug,gps_lat,gps_lng
1,1,1001,1400,L'Abergement-Clémenciat,l abergement clemenciat,46.156781992032,4.9246992031872
2,1,1002,1640,L'Abergement-de-Varey,l abergement de varey,46.010085625,5.4287591666667
3,1,1004,1500,Ambérieu-en-Bugey,amberieu en bugey,45.958409392265,5.3759920441989
4,1,1005,1330,Ambérieux-en-Dombes,amberieux en dombes,46.000120392157,4.9106016993464
5,1,1006,1300,Ambléon,ambleon,45.746426904762,5.6024917857143
6,1,1007,1500,Ambronay,ambronay,46.001447160494,5.3665422839506
7,1,1008,1500,Ambutrix,ambutrix,45.935983243243,5.3318304054054
8,1,1009,1300,Andert-et-Condon,andert et condon,45.786471006711,5.6574418120805
9,1,1010,1350,Anglefort,anglefort,45.919375342466,5.7890420547945
10,1,1011,1100,Apremont,apremont,46.20755872093,5.6599165116279
11,1,1012,1110,Aranc,aranc,46.004818529412,5.5040175490196
12,1,1013,1230,Arandas,arandas,45.891865,5.493098030303
13,1,1014,1100,Arbent,arbent,46.28619369863,5.6875171232877
14,1,1015,1300,Arboys en Bugey,arboys en bugey,45.717191583012,5.6445241698842
15,1,1016,1190,Arbigny,arbigny,46.475566101695,4.9695481355932
16,1,1017,1230,Argis,argis,45.935171958763,5.4816940206186
17,1,1019,1510,Armix,armix,45.856628636364,5.5744975
18,1,1021,1480,Ars-sur-Formans,ars sur formans,45.99437625,4.8191379166667
19,1,1022,1510,Artemare,artemare,45.869468571429,5.692361978022
20,1,1023,1570,Asnières-sur-Saône,asnieres sur saone,46.386086545455,4.8860641818182
21,1,1024,1340,Attignat,attignat,46.285858903509,5.1816493421053
22,1,1025,1380,Bâgé-Dommartin,bage dommartin,46.3223375,4.957910975
23,1,1026,1380,Bâgé-le-Châtel,bage le chatel,46.307906444444,4.9295675555556
24,1,1027,1360,Balan,balan,45.82999739726,5.1021565753425
25,1,1028,1990,Baneins,baneins,46.119529107143,4.9065755357143
26,1,1029,1270,Beaupont,beaupont,46.42501007874,5.2629440419947
27,1,1030,1480,Beauregard,beauregard,46.000953478261,4.7569539130435
28,1,1031,1100,Bellignat,bellignat,46.241422380952,5.639985
29,1,1032,1360,Béligneux,beligneux,45.86536266055,5.1327606422018
30,1,1033,1200,Bellegarde-sur-Valserine,bellegarde sur valserine,46.104923591837,5.8248288163265
31,1,1034,1300,Belley,belley,45.747806201923,5.6815619230769
32,1,1035,1130,Belleydoux,belleydoux,46.255558275862,5.7790405747126
33,1,1036,1260,Belmont-Luthézieu,belmont luthezieu,45.892246890244,5.6570448170732
34,1,1037,1470,Bénonces,benonces,45.835735223881,5.4786748507463
35,1,1038,1370,Bény,beny,46.321481714286,5.2847496190476
36,1,1039,1350,Béon,beon,45.858390206186,5.7458564948454
37,1,1040,1340,Béréziat,bereziat,46.368759272727,5.0407462424242
38,1,1041,1500,Bettant,bettant,45.93878122449,5.365597755102
39,1,1042,1290,Bey,bey,46.217906547619,4.8453710714286
40,1,1043,1700,Beynost,beynost,45.84200389313,4.9964673282443
41,1,1044,1200,Billiat,billiat,46.077800909091,5.772225974026
42,1,1045,1330,Birieux,birieux,45.95549015873,5.039526984127
43,1,1046,1290,Biziat,biziat,46.22892,4.9445275572519
44,1,1047,1150,Blyes,blyes,45.843565263158,5.2492607894737
45,1,1049,1120,La Boisse,la boisse,45.84861648,5.02185976
46,1,1050,1190,Boissey,boissey,46.3812,4.996962
47,1,1050,1380,Boissey,boissey,46.3812,4.996962
48,1,1051,1450,Bolozon,bolozon,46.196338089888,5.4674457303371
49,1,1052,1330,Bouligneux,bouligneux,46.021790328638,4.9993523474178
50,1,1053,1000,Bourg-en-Bresse,bourg en bresse,46.20744972067,5.2461237430168
51,1,1054,1800,Bourg-Saint-Christophe,bourg saint christophe,45.88773872093,5.1411945348837
52,1,1056,1640,Boyeux-Saint-Jérôme,boyeux saint jerome,46.034943149171,5.4565408287293
53,1,1057,1190,Boz,boz,46.406688461538,4.9145222115385
54,1,1058,1300,Brégnier-Cordon,bregnier cordon,45.642557962963,5.6218911111111
55,1,1059,1260,Brénaz,brenaz,45.9507006,5.7319224
56,1,1060,1110,Brénod,brenod,46.079860253165,5.6245641139241
57,1,1061,1300,Brens,brens,45.716478,5.6952011428571
58,1,1062,1360,Bressolles,bressolles,45.871669416058,5.1005599270073
59,1,1063,1460,Brion,brion,46.164567419355,5.5459588709677
