id,department_code,insee_code,zip_code,-ALPES-DE-HAUTE-PROVENCE,slug,gps_lat,gps_lng
1690,4,4186,4500,Saint-Laurent-du-Verdon,saint laurent du verdon,43.72299835443,6.0720075949367
1691,4,4187,4330,Saint-Lions,saint lions,43.977629433962,6.4032782075472
1692,4,4188,4300,Saint-Maime,saint maime,43.899024215686,5.8020271568627
1693,4,4189,4800,Saint-Martin-de-Brômes,saint martin de bromes,43.777868275862,5.9669547701149
1694,4,4190,4300,Saint-Martin-les-Eaux,saint martin les eaux,43.871869921875,5.7413275
1695,4,4191,4140,Saint-Martin-lès-Seyne,saint martin les seyne,44.382418192771,6.2477014457831
1696,4,4192,4870,Saint-Michel-l'Observatoire,saint michel l observatoire,43.90994447619,5.7210532380952
1697,4,4193,4530,Saint-Paul-sur-Ubaye,saint paul sur ubaye,44.550662153392,6.810685899705
1698,4,4194,6260,Saint-Pierre,saint pierre,43.912965882353,6.9250766666667
1699,4,4195,4400,Saint-Pons,saint pons,44.419858389831,6.612561440678
1700,4,4197,4220,Sainte-Tulle,sainte tulle,43.784517701149,5.7582124137931
1701,4,4199,4200,Saint-Vincent-sur-Jabron,saint vincent sur jabron,44.169062961538,5.7465864230769
1702,4,4200,4290,Salignac,salignac,44.153786956522,5.9897589130435
1703,4,4201,4150,Saumane,saumane,44.081361927711,5.6810486746988
1704,4,4202,4320,Sausses,sausses,44.00569,6.7964048979592
1705,4,4203,4140,Selonnet,selonnet,44.368354255319,6.287185106383
1706,4,4204,4270,Senez,senez,43.9484962,6.1739116
1707,4,4204,4330,Senez,senez,43.914274,6.406926
1708,4,4205,4140,Seyne,seyne,44.331853352601,6.3859452023121
1709,4,4206,4300,Sigonce,sigonce,44.001516268657,5.8548992537313
1710,4,4207,4200,Sigoyer,sigoyer,44.32247865,5.9627795
1711,4,4208,4150,Simiane-la-Rotonde,simiane la rotonde,43.990794022988,5.5610355747126
1712,4,4209,4200,Sisteron,sisteron,44.199834488189,5.9336588188976
1713,4,4210,4120,Soleilhas,soleilhas,43.866798476821,6.6830174834437
1714,4,4211,4290,Sourribes,sourribes,44.156931308411,6.0446460747664
1715,4,4214,4330,Tartonne,tartonne,44.079519622642,6.3853579245283
1716,4,4216,4200,Thèze,theze,44.328748714286,5.9286042857143
1717,4,4217,4380,Thoard,thoard,44.146550867347,6.1228288265306
1718,4,4218,4170,Thorame-Basse,thorame basse,44.11762969697,6.4719915151515
1719,4,4219,4170,Thorame-Haute,thorame haute,44.082521290323,6.6157196774194
1720,4,4220,4400,Les Thuiles,les thuiles,44.3874804,6.567873
1721,4,4222,4250,Turriers,turriers,44.390685661376,6.1625317460317
1722,4,4224,4240,Ubraye,ubraye,43.910335647059,6.6900084705882
1723,4,4226,4400,Uvernet-Fours,uvernet fours,44.31568377261,6.6757135917313
1724,4,4227,4110,Vachères,vacheres,43.948271258741,5.6425622377622
1725,4,4228,4250,Valavoire,valavoire,44.279945766423,6.0741825547445
1726,4,4229,4200,Valbelle,valbelle,44.138091785714,5.8814085714286
1727,4,4230,4210,Valensole,valensole,43.827784112554,5.9418462770563
1728,4,4231,4200,Valernes,valernes,44.253232857143,5.975060591133
1729,4,4233,4200,Vaumeilh,vaumeilh,44.293395747664,5.9625164485981
1730,4,4234,5130,Venterol,venterol,44.443843152174,6.0845019565217
1731,4,4235,4140,Verdaches,verdaches,44.274174552239,6.3437790298507
1732,4,4236,4170,Vergons,vergons,43.92709609375,6.601265
1733,4,4237,4140,Le Vernet,le vernet,44.276159130435,6.4036579710145
1734,4,4240,4370,Villars-Colmars,villars colmars,44.213482197802,6.5591761538461
1735,4,4241,4110,Villemus,villemus,43.8626548,5.70966056
1736,4,4242,4180,Villeneuve,villeneuve,43.897076428571,5.8476504166667
1737,4,4244,4290,Volonne,volonne,44.124815714286,6.0337443697479
1738,4,4245,4130,Volx,volx,43.876556689189,5.8296924324324
