id,department_code,insee_code,zip_code,-ARIEGE,slug,gps_lat,gps_lng
3107,9,9242,9300,Raissac,raissac,42.943835357143,1.8116303571429
3108,9,9243,9600,Régat,regat,42.987225,1.8875960869565
3109,9,9244,9500,Rieucros,rieucros,43.078534137931,1.7641298275862
3110,9,9245,9120,Rieux-de-Pelleport,rieux de pelleport,43.05927255102,1.5994744897959
3111,9,9246,9420,Rimont,rimont,42.99015108,1.287505
3112,9,9247,9200,Rivèrenert,riverenert,42.955747027027,1.2567844594595
3113,9,9249,9300,Roquefixade,roquefixade,42.931876573427,1.7625760839161
3114,9,9250,9300,Roquefort-les-Cascades,roquefort les cascades,42.960198305085,1.7371715254237
3115,9,9251,9500,Roumengoux,roumengoux,43.077899431818,1.9241154545454
3116,9,9252,9460,Rouze,rouze,42.74050175,2.072734
3117,9,9253,9350,Sabarat,sabarat,43.09667,1.4014122727273
3118,9,9254,9100,Saint-Amadou,saint amadou,43.110575473684,1.713116
3119,9,9255,9100,Saint-Amans,saint amans,43.158484615385,1.5477755384615
3120,9,9256,9120,Saint-Bauzeil,saint bauzeil,43.082313484848,1.5781977272727
3121,9,9257,9230,Sainte-Croix-Volvestre,sainte croix volvestre,43.129552742857,1.1593117142857
3122,9,9258,9120,Saint-Félix-de-Rieutord,saint felix de rieutord,43.042361714286,1.6684524285714
3123,9,9259,9500,Saint-Félix-de-Tournegat,saint felix de tournegat,43.121864385965,1.7614355263158
3124,9,9260,9500,Sainte-Foi,sainte foi,43.125268695652,1.9172830434783
3125,9,9261,9200,Saint-Girons,saint girons,42.980205628743,1.1643597005988
3126,9,9262,9300,Saint-Jean-d'Aigues-Vives,saint jean d aigues vives,42.919808305085,1.8701893220339
3127,9,9263,9800,Saint-Jean-du-Castillonnais,saint jean du castillonnais,42.94583835443,0.92766911392405
3128,9,9264,9000,Saint-Jean-de-Verges,saint jean de verges,43.012161465517,1.6342411206897
3129,9,9265,9100,Saint-Jean-du-Falga,saint jean du falga,43.087068823529,1.6244464705882
3130,9,9266,9500,Saint-Julien-de-Gras-Capou,saint julien de gras capou,43.035241772152,1.8601050632911
3131,9,9267,9800,Saint-Lary,saint lary,42.903476514286,0.86826057142857
3132,9,9268,9190,Saint-Lizier,saint lizier,42.99819437037,1.1269278518518
3133,9,9269,9000,Saint-Martin-de-Caralp,saint martin de caralp,42.992145393258,1.5360504494382
3134,9,9270,9100,Saint-Martin-d'Oydes,saint martin d oydes,43.16385968,1.48635856
3135,9,9271,9100,Saint-Michel,saint michel,43.134548522727,1.4990948863636
