id,department_code,insee_code,zip_code,-ALLIER,slug,gps_lat,gps_lng
1507,3,3292,3240,Tronget,tronget,46.422550902256,3.0871468796993
1508,3,3293,3360,Urçay,urcay,46.63953815534,2.6121285436893
1509,3,3294,3140,Ussel-d'Allier,ussel d allier,46.209958915663,3.1897769879518
1510,3,3295,3330,Valignat,valignat,46.176163902439,3.0813448780488
1511,3,3296,3360,Valigny,valigny,46.716195555556,2.821594040404
1512,3,3297,3190,Vallon-en-Sully,vallon en sully,46.540669375,2.6105149479167
1513,3,3298,3150,Varennes-sur-Allier,varennes sur allier,46.313641962025,3.410254113924
1514,3,3299,3220,Varennes-sur-Tèche,varennes sur teche,46.313992389937,3.6348603144654
1515,3,3300,3220,Vaumas,vaumas,46.449350304569,3.6316885532995
1516,3,3301,3190,Vaux,vaux,46.421819680851,2.5839306382979
1517,3,3302,3450,Veauce,veauce,46.167995517241,3.0518262068965
1518,3,3303,3190,Venas,venas,46.476814313726,2.767953627451
1519,3,3304,3110,Vendat,vendat,46.159406141732,3.3433201574803
1520,3,3305,3190,Verneix,verneix,46.406757610063,2.6677660377358
1521,3,3306,3200,Le Vernet,le vernet,46.10732446281,3.4762620661157
1522,3,3307,3500,Verneuil-en-Bourbonnais,verneuil en bourbonnais,46.35059392,3.24743944
1523,3,3308,3390,Vernusse,vernusse,46.262274978541,2.9765234763949
1524,3,3309,3320,Le Veurdre,le veurdre,46.745004473684,3.0377642105263
1525,3,3310,3200,Vichy,vichy,46.129892432432,3.4284197297297
1526,3,3311,3450,Vicq,vicq,46.14336023622,3.0915296062992
1527,3,3312,3430,Vieure,vieure,46.505940178571,2.8897712946429
1528,3,3313,3350,Le Vilhain,le vilhain,46.560810285714,2.7899208
1529,3,3314,3310,Villebret,villebret,46.273305874439,2.6390049327354
1530,3,3315,3430,Villefranche-d'Allier,villefranche d allier,46.394305155039,2.8423853875969
1531,3,3316,3460,Villeneuve-sur-Allier,villeneuve sur allier,46.674499655172,3.2499432413793
1532,3,3317,3370,Viplaix,viplaix,46.473055522388,2.3495579104478
1533,3,3319,3140,Voussac,voussac,46.329627788462,3.0695670833333
1534,3,3320,3160,Ygrande,ygrande,46.544047383863,2.9415688508557
1535,3,3321,3400,Yzeure,yzeure,46.572122416107,3.3794469798658
