,,,,-PYRENEES-ORIENTALES,,,
26525,66,66084,66300,Fourques,fourques,42.584450431655,2.7790692805755
26526,66,66085,66820,Fuilla,fuilla,42.571033709677,2.3585477419355
26527,66,66086,66320,Glorianes,glorianes,42.597542453988,2.5491632515337
26528,66,66088,66130,Ille-sur-Têt,ille sur tet,42.671481481481,2.6276469312169
26529,66,66089,66320,Joch,joch,42.615742429907,2.5269508411215
26530,66,66090,66360,Jujols,jujols,42.585271363636,2.2845181818182
26531,66,66091,66230,Lamanère,lamanere,42.361892972973,2.5172535810811
26532,66,66092,66720,Lansac,lansac,42.763640882353,2.5662273529412
26533,66,66093,66740,Laroque-des-Albères,laroque des alberes,42.524283434343,2.9342507070707
26534,66,66094,66200,Latour-Bas-Elne,latour bas elne,42.601983055556,3.0053791666667
26535,66,66095,66760,Latour-de-Carol,latour de carol,42.471063140496,1.8795724793388
26536,66,66096,66720,Latour-de-France,latour de france,42.770247261905,2.6546344047619
26537,66,66097,66220,Lesquerde,lesquerde,42.793714942529,2.5408091954023
26538,66,66098,66210,La Llagonne,la llagonne,42.536428708134,2.0800644497608
26539,66,66099,66300,Llauro,llauro,42.546078914729,2.748412248062
26540,66,66100,66800,Llo,llo,42.435478525641,2.0883962179487
26541,66,66101,66300,Llupia,llupia,42.624624927536,2.7857849275362
26542,66,66102,66360,Mantet,mantet,42.46007647541,2.2882559016394
26543,66,66103,66320,Marquixanes,marquixanes,42.637180973451,2.4829137168142
26544,66,66104,66500,Los Masos,los masos,42.614532605042,2.4560382352941
26545,66,66105,66210,Matemale,matemale,42.589478289474,2.1226334210526
26546,66,66106,66480,Maureillas-las-Illas,maureillas las illas,42.466298181818,2.8085819421488
26547,66,66107,66460,Maury,maury,42.809976666667,2.6317179279279
26548,66,66108,66170,Millas,millas,42.696904864865,2.6850025675676
26549,66,66109,66500,Molitg-les-Bains,molitg les bains,42.655984878049,2.3937128455284
26550,66,66111,66130,Montalba-le-Château,montalba le chateau,42.698512121212,2.5526764646465
26551,66,66112,66300,Montauriol,montauriol,42.579290555556,2.724415952381
26552,66,66113,66110,Montbolo,montbolo,42.490534506173,2.6300693209877
26553,66,66114,66200,Montescot,montescot,42.614968292683,2.9207719512195
26554,66,66115,66740,Montesquieu-des-Albères,montesquieu des alberes,42.518505170068,2.871482585034
26555,66,66116,66150,Montferrer,montferrer,42.441700106383,2.5777254255319
26556,66,66117,66210,Mont-Louis,mont louis,42.509965428571,2.1204817142857
26557,66,66118,66720,Montner,montner,42.742686184211,2.6830402631579
26558,66,66119,66500,Mosset,mosset,42.66507635514,2.3047945794393
26559,66,66120,66340,Nahuja,nahuja,42.426043589744,1.9951738461538
26560,66,66121,66170,Néfiach,nefiach,42.69378202381,2.6572872619048
26561,66,66122,66500,Nohèdes,nohedes,42.625269787234,2.2637696808511
26562,66,66123,66360,Nyer,nyer,42.501655231481,2.2700546296296
26563,66,66124,66120,Font-Romeu-Odeillo-Via,font romeu odeillo via,42.510828095238,2.0266734126984
26564,66,66125,66360,Olette,olette,42.580227664234,2.2526937956204
26565,66,66126,66400,Oms,oms,42.52833025,2.7147264375
26566,66,66127,66600,Opoul-Périllos,opoul perillos,42.88531490566,2.8345004716981
26567,66,66128,66360,Oreilla,oreilla,42.56864975,2.224761
26568,66,66129,66560,Ortaffa,ortaffa,42.587006886792,2.9162326415094
26569,66,66130,66340,Osséja,osseja,42.403083370787,1.9941207303371
26570,66,66132,66340,Palau-de-Cerdagne,palau de cerdagne,42.389870070423,1.9801812676056
26571,66,66133,66690,Palau-del-Vidre,palau del vidre,42.566961780822,2.9581568493151
26572,66,66134,66300,Passa,passa,42.561711914894,2.8037404255319
26573,66,66136,66000,Perpignan,perpignan,42.7201813,2.8876436
26574,66,66136,66100,Perpignan,perpignan,42.666065,2.9026172
26575,66,66137,66480,Le Perthus,le perthus,42.467435145631,2.861072815534
26576,66,66138,66600,Peyrestortes,peyrestortes,42.747112884615,2.8511596153846
26577,66,66139,66730,Pézilla-de-Conflent,pezilla de conflent,42.734856,2.4926588
26578,66,66140,66370,Pézilla-la-Rivière,pezilla la riviere,42.707317777778,2.7554961481482
26579,66,66141,66380,Pia,pia,42.747489450549,2.9129831868132
26580,66,66142,66210,Planès,planes,42.472460689655,2.1459773275862
26581,66,66143,66720,Planèzes,planezes,42.7720575,2.6145832954546
26582,66,66144,66450,Pollestres,pollestres,42.638148043478,2.8722870652174
26583,66,66145,66300,Ponteilla,ponteilla,42.63065015873,2.8325676190476
26584,66,66146,66760,Porta,porta,42.52595279476,1.7810991266375
26585,66,66147,66760,Porté-Puymorens,porte puymorens,42.552597172775,1.8293107329843
26586,66,66148,66660,Port-Vendres,port vendres,42.510551687657,3.1169720654912
26587,66,66149,66500,Prades,prades,42.617853823529,2.4342938235294
26588,66,66150,66230,Prats-de-Mollo-la-Preste,prats de mollo la preste,42.410957037037,2.4516540740741
26589,66,66151,66730,Prats-de-Sournia,prats de sournia,42.73609,2.4630311320755
26590,66,66152,66220,Prugnanes,prugnanes,42.820641774194,2.4302917741936
26591,66,66153,66130,Prunet-et-Belpuig,prunet et belpuig,42.569264427861,2.6323576119403
