,,,,-COTE-D'OR,,,
6807,21,21080,21540,Blaisy-Bas,blaisy bas,47.370342910448,4.7358482835821
6808,21,21081,21540,Blaisy-Haut,blaisy haut,47.360034954128,4.7703508256881
6809,21,21082,21320,Blancey,blancey,47.302576222222,4.4598955555556
6810,21,21083,21430,Blanot,blanot,47.177187372881,4.235890720339
6811,21,21084,21690,Source-Seine,source seine,47.488420392157,4.6957884313726
6812,21,21085,21440,Bligny-le-Sec,bligny le sec,47.450677386364,4.74136875
6813,21,21086,21200,Bligny-lès-Beaune,bligny les beaune,46.9824225,4.8351036363636
6814,21,21087,21360,Bligny-sur-Ouche,bligny sur ouche,47.117353948718,4.6781320512821
6815,21,21088,21700,Boncourt-le-Bois,boncourt le bois,47.140639204545,4.9945101136364
6816,21,21089,21250,Bonnencontre,bonnencontre,47.082011521739,5.1444558695652
6817,21,21090,21520,Boudreville,boudreville,47.932772,4.8335235384615
6818,21,21091,21360,Bouhey,bouhey,47.199021272727,4.6793617272727
6819,21,21092,21420,Bouilland,bouilland,47.1349925,4.7709274324324
6820,21,21093,21330,Bouix,bouix,47.907460212766,4.4583368085106
6821,21,21094,21610,Bourberain,bourberain,47.515802481752,5.2908762773723
6822,21,21095,21250,Bousselange,bousselange,46.994488222222,5.2572947777778
6823,21,21096,21260,Boussenois,boussenois,47.622042948718,5.2094132051282
6824,21,21097,21350,Boussey,boussey,47.36312023622,4.5467794488189
6825,21,21098,21690,Boux-sous-Salmaise,boux sous salmaise,47.472842631579,4.6499444360902
6826,21,21099,21200,Bouze-lès-Beaune,bouze les beaune,47.0550264,4.7656481333333
6827,21,21100,21350,Brain,brain,47.462922978723,4.5071491489362
6828,21,21101,21390,Braux,braux,47.408518098592,4.4112473943662
6829,21,21102,21430,Brazey-en-Morvan,brazey en morvan,47.169886028037,4.2713372897196
6830,21,21103,21470,Brazey-en-Plaine,brazey en plaine,47.140578947368,5.213581622807
6831,21,21104,21400,Brémur-et-Vaurois,bremur et vaurois,47.731499806452,4.6104276774194
6832,21,21105,21560,Bressey-sur-Tille,bressey sur tille,47.307630740741,5.1832783333333
6833,21,21106,21110,Bretenière,breteniere,47.239725897436,5.1045569230769
6834,21,21107,21490,Bretigny,bretigny,47.39357,5.1057797058823
6835,21,21108,21390,Brianny,brianny,47.411396793893,4.3745390839695
6836,21,21109,21570,Brion-sur-Ource,brion sur ource,47.907428455285,4.671166097561
6837,21,21110,21220,Brochon,brochon,47.237211260504,4.9538341176471
6838,21,21111,21490,Brognon,brognon,47.413132075472,5.1689969811321
6839,21,21112,21250,Broin,broin,47.083507142857,5.110215625
6840,21,21113,21220,Broindon,broindon,47.1943068,5.0412868
6841,21,21114,21500,Buffon,buffon,47.6542468,4.2743225
6842,21,21115,21400,Buncey,buncey,47.815175934959,4.5697285365854
6843,21,21116,21290,Bure-les-Templiers,bure les templiers,47.735547975207,4.9136807024793
6844,21,21117,21510,Busseaut,busseaut,47.741230404624,4.6480869364162
6845,21,21118,21580,Busserotte-et-Montenaille,busserotte et montenaille,47.659669238095,4.9818147619048
6846,21,21119,21580,Bussières,bussieres,47.65772637931,4.9646049137931
6847,21,21120,21360,La Bussière-sur-Ouche,la bussiere sur ouche,47.225486143791,4.6983503267974
6848,21,21121,21540,Bussy-la-Pesle,bussy la pesle,47.35694776,4.71414096
6849,21,21122,21150,Bussy-le-Grand,bussy le grand,47.567738823529,4.5169773529412
6850,21,21123,21290,Buxerolles,buxerolles,47.80802222973,4.9475137162162
6851,21,21124,21430,Censerey,censerey,47.195259933775,4.3360446357616
6852,21,21125,21330,Cérilly,cerilly,47.85139109375,4.48618484375
6853,21,21126,21110,Cessey-sur-Tille,cessey sur tille,47.281361363636,5.23146875
6854,21,21127,21120,Chaignay,chaignay,47.476972552083,5.0626913541667
6855,21,21128,21320,Chailly-sur-Armançon,chailly sur armancon,47.273421257485,4.4820675449102
6856,21,21129,21290,Chambain,chambain,47.797273222222,4.9219242222222
6857,21,21130,21110,Chambeire,chambeire,47.282844842105,5.2855027368421
6858,21,21131,21250,Chamblanc,chamblanc,47.02497872549,5.1701292156863
6859,21,21132,21220,Chambœuf,chamboeuf,47.22896754902,4.9001244117647
6860,21,21133,21220,Chambolle-Musigny,chambolle musigny,47.187031752577,4.9478369072165
6861,21,21134,21400,Chamesson,chamesson,47.780171632653,4.5478104081633
6862,21,21135,21310,Champagne-sur-Vingeanne,champagne sur vingeanne,47.439230466667,5.4048822
6863,21,21136,21440,Champagny,champagny,47.463971276596,4.7703736170213
6864,21,21137,21500,Champ-d'Oiseau,champ d oiseau,47.553562345679,4.3472938271605
6865,21,21138,21130,Champdôtre,champdotre,47.184787933884,5.3046252066116
6866,21,21139,21210,Champeau-en-Morvan,champeau en morvan,47.273895762712,4.1500998870057
6867,21,21140,21230,Champignolles,champignolles,47.04553847619,4.5648772380952
6868,21,21141,21690,Champrenault,champrenault,47.400695921053,4.6797207894737
6869,21,21142,21440,Chanceaux,chanceaux,47.52405125,4.73343675
6870,21,21143,21330,Channay,channay,47.892698829787,4.3236860638298
6871,21,21144,21690,Charencey,charencey,47.418310547945,4.6775023287671
6872,21,21145,21140,Charigny,charigny,47.434289454545,4.4193552727273
6873,21,21146,21310,Charmes,charmes,47.372618170732,5.351683902439
6874,21,21147,21350,Charny,charny,47.33214487395,4.4276327731092
6875,21,21148,21170,Charrey-sur-Saône,charrey sur saone,47.096053703704,5.1556569135803
6876,21,21149,21400,Charrey-sur-Seine,charrey sur seine,47.949346875,4.5341896875
6877,21,21150,21190,Chassagne-Montrachet,chassagne montrachet,46.934170675676,4.7268151351351
6878,21,21151,21150,Chassey,chassey,47.47169888,4.4389884
6879,21,21152,21320,Châteauneuf,chateauneuf,47.218244228571,4.6439413714286
6880,21,21153,21320,Châtellenot,chatellenot,47.239207333333,4.4898672666667
6881,21,21154,21400,Châtillon-sur-Seine,chatillon sur seine,47.860875931034,4.589944
6882,21,21155,21360,Chaudenay-la-Ville,chaudenay la ville,47.164275981308,4.6450253271028
6883,21,21156,21360,Chaudenay-le-Château,chaudenay le chateau,47.178879375,4.6412836607143
