id,department_code,insee_code,zip_code,-AVEYRON,slug,gps_lat,gps_lng
4346,12,12294,12780,Vézins-de-Lévézou,vezins de levezou,44.256652467249,2.9252291703057
4347,12,12295,12250,Viala-du-Pas-de-Jaux,viala du pas de jaux,43.952962293578,3.058626880734
4348,12,12296,12490,Viala-du-Tarn,viala du tarn,44.088641433823,2.8411606985294
4349,12,12297,12290,Le Vibal,le vibal,44.319176837945,2.7290818577075
4350,12,12298,12580,Villecomtal,villecomtal,44.543848966667,2.5755610333333
4351,12,12299,12430,Villefranche-de-Panat,villefranche de panat,44.090564015151,2.713044520202
4352,12,12300,12200,Villefranche-de-Rouergue,villefranche de rouergue,44.346991506849,2.0390308675799
4353,12,12301,12260,Villeneuve,villeneuve,44.445309299517,2.0304714251208
4354,12,12303,12310,Vimenet,vimenet,44.399792764977,2.9199907373272
4355,12,12305,12110,Viviez,viviez,44.555227652174,2.2184626086957
4356,12,12307,12410,Curan,curan,44.19967584127,2.8560030793651
