,,,,-PYRENEES-ATLANTIQUES,,,
25775,64,64362,64120,Luxe-Sumberraute,luxe sumberraute,43.353239821429,-1.0732689732143
25776,64,64363,64260,Lys,lys,43.133709904762,-0.34779076190476
25777,64,64364,64240,Macaye,macaye,43.319285610687,-1.3262984732824
25778,64,64365,64410,Malaussanne,malaussanne,43.568495463259,-0.46760447284345
25779,64,64366,64330,Mascaraàs-Haron,mascaraas haron,43.538563451327,-0.22000088495575
25780,64,64367,64300,Maslacq,maslacq,43.420151840491,-0.7040227607362
25781,64,64368,64120,Masparraute,masparraute,43.394812,-1.0877027906977
25782,64,64369,64350,Maspie-Lalonquère-Juillacq,maspie lalonquere juillacq,43.425094059406,-0.14501544554455
25783,64,64370,64160,Maucor,maucor,43.357192384615,-0.28717969230769
25784,64,64371,64130,Mauléon-Licharre,mauleon licharre,43.216026993007,-0.88123384615385
25785,64,64372,64460,Maure,maure,43.377127926829,-0.07646036585366
25786,64,64373,64110,Mazères-Lezons,mazeres lezons,43.269400483871,-0.35576225806452
25787,64,64374,64230,Mazerolles,mazerolles,43.441828431373,-0.47409161764706
25788,64,64375,64120,Méharin,meharin,43.326999550562,-1.1432685393258
25789,64,64376,64510,Meillon,meillon,43.272694487179,-0.3044108974359
25790,64,64377,64240,Mendionde,mendionde,43.336602032086,-1.2906595721925
25791,64,64378,64130,Menditte,menditte,43.164588955224,-0.89368014925373
25792,64,64379,64220,Mendive,mendive,43.094068432602,-1.1027026018809
25793,64,64380,64410,Méracq,meracq,43.509810879121,-0.38432851648352
25794,64,64381,64190,Méritein,meritein,43.335951486486,-0.75276202702703
25795,64,64382,64370,Mesplède,mesplede,43.49260254902,-0.65037568627451
25796,64,64383,64410,Mialos,mialos,43.499832177419,-0.41128790322581
25797,64,64385,64450,Miossens-Lanusse,miossens lanusse,43.469753937008,-0.29819496062992
25798,64,64386,64800,Mirepeix,mirepeix,43.195956065574,-0.24885557377049
25799,64,64387,64230,Momas,momas,43.440929414414,-0.4474477027027
25800,64,64388,64350,Momy,momy,43.390538857143,-0.10621285714286
25801,64,64389,64160,Monassut-Audiracq,monassut audiracq,43.41138272,-0.19796352
25802,64,64390,64350,Moncaup,moncaup,43.481471133333,-0.05542953333333
25803,64,64391,64130,Moncayolle-Larrory-Mendibieu,moncayolle larrory mendibieu,43.26379943662,-0.82577267605634
25804,64,64392,64330,Moncla,moncla,43.581349037037,-0.22560451851852
25805,64,64393,64360,Monein,monein,43.293304664107,-0.55831099808061
25806,64,64394,64350,Monpezat,monpezat,43.500085,-0.06264119565217
25807,64,64395,64460,Monségur,monsegur,43.43562125,-0.01333083333333
25808,64,64396,64300,Mont,mont,43.428153080569,-0.65300890995261
25809,64,64397,64410,Montagut,montagut,43.551203254438,-0.50008532544379
25810,64,64398,64460,Montaner,montaner,43.346698504673,-0.02197411214953
25811,64,64399,64121,Montardon,montardon,43.368188611111,-0.34369518518519
25812,64,64400,64800,Montaut,montaut,43.13528224359,-0.17667564102564
25813,64,64401,64330,Mont-Disse,mont disse,43.555054491525,-0.14611347457627
25814,64,64403,64190,Montfort,montfort,43.368110307692,-0.86398607692308
25815,64,64404,64470,Montory,montory,43.092669515152,-0.81655739393939
25816,64,64405,64160,Morlaàs,morlaas,43.33990637931,-0.26328643678161
25817,64,64406,64370,Morlanne,morlanne,43.507743362069,-0.54289521551724
25818,64,64407,64990,Mouguerre,mouguerre,43.461782982456,-1.3972788596491
25819,64,64408,64330,Mouhous,mouhous,43.491038026316,-0.25194118421053
25820,64,64409,64400,Moumour,moumour,43.208348588235,-0.66100152941176
25821,64,64410,64150,Mourenx,mourenx,43.376217222222,-0.61433490740741
25822,64,64411,64130,Musculdy,musculdy,43.186646304348,-0.99526516304348
25823,64,64412,64190,Nabas,nabas,43.332846666667,-0.89253133333333
25824,64,64413,64510,Narcastet,narcastet,43.243041403509,-0.3245450877193
25825,64,64414,64190,Narp,narp,43.3843634375,-0.8271425
25826,64,64415,64450,Navailles-Angos,navailles angos,43.414342833333,-0.34011683333333
25827,64,64416,64190,Navarrenx,navarrenx,43.328534589041,-0.73664123287671
25828,64,64417,64800,Nay,nay,43.173377922078,-0.25954194805195
25829,64,64418,64150,Noguères,nogueres,43.369731132075,-0.60551603773585
25830,64,64419,64420,Nousty,nousty,43.264394259259,-0.21684518518519
25831,64,64420,64190,Ogenne-Camptort,ogenne camptort,43.317397301587,-0.69727978835979
25832,64,64421,64680,Ogeu-les-Bains,ogeu les bains,43.151277473118,-0.50968580645161
25833,64,64422,64400,Oloron-Sainte-Marie,oloron sainte marie,43.17393066087,-0.5891716
25834,64,64423,64390,Oraàs,oraas,43.431566826347,-0.96180688622754
25835,64,64424,64130,Ordiarp,ordiarp,43.19910883959,-0.95827979522184
25836,64,64425,64120,Orègue,oregue,43.416605358491,-1.1670547924528
25837,64,64426,64400,Orin,orin,43.225110412371,-0.68226175257732
25838,64,64427,64390,Orion,orion,43.420848483412,-0.86505090047393
25839,64,64428,64390,Orriule,orriule,43.408571490683,-0.84326652173913
25840,64,64429,64120,Orsanco,orsanco,43.290644580153,-1.0694478625954
25841,64,64430,64300,Orthez,orthez,43.494186058632,-0.78055811074919
25842,64,64431,64150,Os-Marsillon,os marsillon,43.385607191011,-0.61793179775281
25843,64,64432,64470,Ossas-Suhare,ossas suhare,43.138137515924,-0.90215515923567
25844,64,64433,64490,Osse-en-Aspe,osse en aspe,43.011756883117,-0.65570662337662
25845,64,64434,64190,Ossenx,ossenx,43.376779444444,-0.807185
25846,64,64435,64390,Osserain-Rivareyte,osserain rivareyte,43.370694897959,-0.94810591836735
25847,64,64436,64780,Ossès,osses,43.245717914894,-1.2743945957447
25848,64,64437,64120,Ostabat-Asme,ostabat asme,43.262067560976,-1.0674694308943
25849,64,64438,64160,Ouillon,ouillon,43.327911308411,-0.22792
25850,64,64439,64320,Ousse,ousse,43.27549125,-0.266689125
25851,64,64440,64300,Ozenx-Montestrucq,ozenx montestrucq,43.434507391304,-0.80811956521739
25852,64,64441,64120,Pagolle,pagolle,43.227370128205,-0.99861788461538
25853,64,64442,64360,Parbayse,parbayse,43.33530986014,-0.54502244755245
25854,64,64443,64150,Pardies,pardies,43.358408115942,-0.58830826086956
25855,64,64444,64800,Pardies-Piétat,pardies pietat,43.213280631579,-0.30990410526316
25856,64,64445,64000,Pau,pau,43.317266319018,-0.34593429447853
25857,64,64446,64350,Peyrelongue-Abos,peyrelongue abos,43.418763980583,-0.09908553398058
25858,64,64447,64410,Piets-Plasence-Moustrou,piets plasence moustrou,43.53049648855,-0.50370580152672
25859,64,64448,64230,Poey-de-Lescar,poey de lescar,43.352181463415,-0.46311723577236
25860,64,64449,64400,Poey-d'Oloron,poey d oloron,43.249108918919,-0.66336040540541
25861,64,64450,64370,Pomps,pomps,43.488810985915,-0.55153169014085
25862,64,64451,64460,Ponson-Debat-Pouts,ponson debat pouts,43.330644255319,-0.05652478723404
25863,64,64452,64460,Ponson-Dessus,ponson dessus,43.30377608,-0.05662208
25864,64,64453,64530,Pontacq,pontacq,43.196872135417,-0.10451640625
25865,64,64454,64460,Pontiacq-Viellepinte,pontiacq viellepinte,43.366258247423,-0.06256824742268
25866,64,64455,64330,Portet,portet,43.578565454545,-0.18651422077922
25867,64,64456,64410,Pouliacq,pouliacq,43.526127708333,-0.354769375
25868,64,64457,64410,Poursiugues-Boucoue,poursiugues boucoue,43.553185151515,-0.37606808080808
25869,64,64458,64190,Préchacq-Josbaig,prechacq josbaig,43.261251338028,-0.7333188028169
25870,64,64459,64190,Préchacq-Navarrenx,prechacq navarrenx,43.280253362069,-0.70602163793103
25871,64,64460,64400,Précilhon,precilhon,43.195249047619,-0.57404904761905
25872,64,64461,64270,Puyoô,puyoo,43.537166,-0.90799412903226
25873,64,64462,64270,Ramous,ramous,43.52433112069,-0.88027525862069
25874,64,64463,64260,Rébénacq,rebenacq,43.15853496732,-0.39160241830065
25875,64,64464,64330,Ribarrouy,ribarrouy,43.522799066667,-0.27298333333333
25876,64,64465,64160,Riupeyrous,riupeyrous,43.403428607595,-0.23149392405063
25877,64,64466,64190,Rivehaute,rivehaute,43.344115689655,-0.85961577586207
25878,64,64467,64110,Rontignon,rontignon,43.242955876289,-0.34221556701031
25879,64,64468,64130,Roquiague,roquiague,43.196199102564,-0.8374208974359
25880,64,64469,64800,Saint-Abit,saint abit,43.206971527778,-0.29465430555556
25881,64,64470,64160,Saint-Armou,saint armou,43.40536848249,-0.30259167315175
25882,64,64471,64300,Saint-Boès,saint boes,43.526856315789,-0.80853947368421
25883,64,64472,64160,Saint-Castin,saint castin,43.372981180556,-0.31466729166667
25884,64,64473,64260,Sainte-Colome,sainte colome,43.108891532258,-0.37855532258065
25885,64,64474,64270,Saint-Dos,saint dos,43.473585576923,-1.0232913461538
25886,64,64475,64560,Sainte-Engrâce,sainte engrace,43.000990578947,-0.82002257894737
25887,64,64476,64640,Saint-Esteben,saint esteben,43.325622809917,-1.2128612396694
25888,64,64477,64430,Saint-Étienne-de-Baïgorry,saint etienne de baigorry,43.177745772059,-1.3538025
25889,64,64478,64110,Saint-Faust,saint faust,43.274739085366,-0.44695804878049
25890,64,64479,64300,Saint-Girons-en-Béarn,saint girons en bearn,43.54924296875,-0.82672515625
25891,64,64480,64390,Saint-Gladie-Arrive-Munein,saint gladie arrive munein,43.369665434783,-0.92006782608696
25892,64,64481,64400,Saint-Goin,saint goin,43.237985739645,-0.71301372781065
25893,64,64482,64160,Saint-Jammes,saint jammes,43.364216477273,-0.25626977272727
25894,64,64483,64500,Saint-Jean-de-Luz,saint jean de luz,43.3969609375,-1.6405357291667
25895,64,64484,64220,Saint-Jean-le-Vieux,saint jean le vieux,43.174451935484,-1.205984874552
25896,64,64485,64220,Saint-Jean-Pied-de-Port,saint jean pied de port,43.157253084112,-1.2347160747664
25897,64,64486,64330,Saint-Jean-Poudge,saint jean poudge,43.529515876289,-0.18341896907216
25898,64,64487,64120,Saint-Just-Ibarre,saint just ibarre,43.179203986014,-1.0434106293706
25899,64,64488,64160,Saint-Laurent-Bretagne,saint laurent bretagne,43.381975602094,-0.19694089005236
25900,64,64489,64640,Saint-Martin-d'Arberoue,saint martin d arberoue,43.338043797468,-1.194534556962
25901,64,64490,64780,Saint-Martin-d'Arrossa,saint martin d arrossa,43.232307354497,-1.3173622751323
25902,64,64491,64370,Saint-Médard,saint medard,43.534484244186,-0.5947423255814
25903,64,64492,64220,Saint-Michel,saint michel,43.110974580153,-1.2333554198473
25904,64,64493,64120,Saint-Palais,saint palais,43.316208062016,-1.0383941085271
25905,64,64494,64270,Saint-Pé-de-Léren,saint pe de leren,43.489033452381,-1.0396507142857
25906,64,64495,64310,Saint-Pée-sur-Nivelle,saint pee sur nivelle,43.353932682927,-1.5379429268293
25907,64,64496,64990,Saint-Pierre-d'Irube,saint pierre d irube,43.469732020202,-1.4471919191919
25908,64,64498,64800,Saint-Vincent,saint vincent,43.163505229885,-0.16525729885057
25909,64,64499,64270,Salies-de-Béarn,salies de bearn,43.465909845679,-0.91726293209876
25910,64,64500,64300,Salles-Mongiscard,salles mongiscard,43.483734851485,-0.84087118811881
25911,64,64501,64300,Sallespisse,sallespisse,43.520944537037,-0.72337212962963
25912,64,64502,64520,Sames,sames,43.52077351145,-1.1570630534351
25913,64,64503,64350,Samsons-Lion,samsons lion,43.433202857143,-0.11799767857143
25914,64,64504,64310,Sare,sare,43.28987380531,-1.5785972566372
25915,64,64505,64300,Sarpourenx,sarpourenx,43.45425,-0.71862213114754
25916,64,64506,64490,Sarrance,sarrance,43.041851005025,-0.57525075376884
25917,64,64507,64420,Saubole,saubole,43.311390982143,-0.1167425
25918,64,64508,64400,Saucède,saucede,43.265293636364,-0.66838300699301
25919,64,64509,64470,Sauguis-Saint-Étienne,sauguis saint etienne,43.155375643564,-0.87678178217822
25920,64,64510,64300,Sault-de-Navailles,sault de navailles,43.543152342007,-0.67406791821561
25921,64,64511,64230,Sauvagnon,sauvagnon,43.394613827751,-0.38526497607656
25922,64,64512,64150,Sauvelade,sauvelade,43.391615233161,-0.71213549222798
25923,64,64513,64390,Sauveterre-de-Béarn,sauveterre de bearn,43.414417772727,-0.92925009090909
25924,64,64514,64410,Séby,seby,43.48063568,-0.39802304
25925,64,64515,64160,Sedze-Maubecq,sedze maubecq,43.356125691057,-0.12237845528455
25926,64,64516,64160,Sedzère,sedzere,43.341276788991,-0.18222587155963
25927,64,64517,64350,Séméacq-Blachon,semeacq blachon,43.503259007092,-0.10174482269504
25928,64,64518,64320,Sendets,sendets,43.305146,-0.27017018181818
25929,64,64519,64121,Serres-Castet,serres castet,43.382511682692,-0.36810322115385
25930,64,64520,64160,Serres-Morlaàs,serres morlaas,43.323824615385,-0.26492769230769
25931,64,64521,64170,Serres-Sainte-Marie,serres sainte marie,43.421971052632,-0.55898578947368
25932,64,64522,64260,Sévignacq-Meyracq,sevignacq meyracq,43.141761322751,-0.38645068783069
25933,64,64523,64160,Sévignacq,sevignacq,43.451706162362,-0.25955143911439
25934,64,64524,64350,Simacourbe,simacourbe,43.449317313433,-0.17188890547264
25935,64,64525,64230,Siros,siros,43.345564833333,-0.48789016666667
25936,64,64526,64420,Soumoulou,soumoulou,43.260247105263,-0.19327513157895
25937,64,64527,64250,Souraïde,souraide,43.354622459016,-1.4865236612022
25938,64,64528,64780,Suhescun,suhescun,43.227297555556,-1.19801
25939,64,64529,64190,Sus,sus,43.295394754098,-0.7769156557377
25940,64,64530,64190,Susmiou,susmiou,43.310347830189,-0.78398745283019
25941,64,64531,64190,Tabaille-Usquain,tabaille usquain,43.361006833333,-0.89333408333333
25942,64,64532,64330,Tadousse-Ussau,tadousse ussau,43.54563875,-0.18946430555556
25943,64,64533,64470,Tardets-Sorholus,tardets sorholus,43.120280662651,-0.84634560240964
25944,64,64534,64330,Taron-Sadirac-Viellenave,taron sadirac viellenave,43.516510206186,-0.24477484536082
25945,64,64535,64360,Tarsacq,tarsacq,43.3519692,-0.53277906666667
25946,64,64536,64450,Thèze,theze,43.471989333333,-0.34905211111111
25947,64,64537,64470,Trois-Villes,trois villes,43.139383394495,-0.86724816513761
25948,64,64538,64220,Uhart-Cize,uhart cize,43.132600404858,-1.2498086234818
25949,64,64539,64120,Uhart-Mixe,uhart mixe,43.268075376344,-1.0088370967742
25950,64,64540,64990,Urcuit,urcuit,43.479505497382,-1.3486733507853
25951,64,64541,64370,Urdès,urdes,43.437704621212,-0.58471022727273
25952,64,64542,64490,Urdos,urdos,42.834911060606,-0.54278767676768
25953,64,64543,64430,Urepel,urepel,43.06940146789,-1.3966210091743
25954,64,64544,64160,Urost,urost,43.339414864865,-0.14954
25955,64,64545,64122,Urrugne,urrugne,43.3457598,-1.7052325
25956,64,64545,64700,Urrugne,urrugne,43.340423,-1.7392812
25957,64,64546,64240,Urt,urt,43.474598441065,-1.2769001520913
25958,64,64547,64480,Ustaritz,ustaritz,43.3985292,-1.4774414933333
25959,64,64548,64370,Uzan,uzan,43.47332147541,-0.50307221311475
25960,64,64549,64230,Uzein,uzein,43.397534675325,-0.4404558008658
25961,64,64550,64110,Uzos,uzos,43.259910185185,-0.35240092592593
25962,64,64551,64400,Verdets,verdets,43.235625368421,-0.64013842105263
25963,64,64552,64330,Vialer,vialer,43.509016754386,-0.17452929824561
25964,64,64554,64170,Viellenave-d'Arthez,viellenave d arthez,43.412717105263,-0.47549421052632
25965,64,64555,64190,Viellenave-de-Navarrenx,viellenave de navarrenx,43.334384754902,-0.80809857843137
25966,64,64556,64150,Vielleségure,viellesegure,43.356828719008,-0.7020617768595
25967,64,64557,64410,Vignes,vignes,43.519424214286,-0.41495107142857
25968,64,64558,64990,Villefranque,villefranque,43.440339275362,-1.4502603623188
25969,64,64559,64130,Viodos-Abense-de-Bas,viodos abense de bas,43.250111680672,-0.89489983193277
25970,64,64560,64450,Viven,viven,43.460899305556,-0.37397083333333
