,,,,-DEUX-SEVRES,,,
31488,79,79095,79190,Clussais-la-Pommeraie,clussais la pommeraie,46.187891130435,0.03090686956522
31489,79,79096,79140,Combrand,combrand,46.867693831776,-0.69600984423676
31490,79,79098,79800,La Couarde,la couarde,46.311770974026,-0.14465402597403
31491,79,79100,79510,Coulon,coulon,46.3324435,-0.59076
31492,79,79101,79160,Coulonges-sur-l'Autize,coulonges sur l autize,46.477679509202,-0.60264245398773
31493,79,79102,79330,Coulonges-Thouarsais,coulonges thouarsais,46.921896917293,-0.33705135338346
31494,79,79103,79440,Courlay,courlay,46.782699385113,-0.58771514563107
31495,79,79104,79220,Cours,cours,46.502997569721,-0.41757725099602
31496,79,79105,79340,Coutières,coutieres,46.496434693878,-0.10646095238095
31497,79,79106,79110,Couture-d'Argenson,couture d argenson,45.998886842105,-0.08037828947368
31498,79,79107,79110,Crézières,crezieres,46.08266328125,-0.1331603125
31499,79,79108,79390,Doux,doux,46.739282428571,0.00262042857143
31500,79,79109,79410,Échiré,echire,46.390917241379,-0.43642896551724
31501,79,79111,79170,Ensigné,ensigne,46.078920337079,-0.25401494382022
31502,79,79112,79270,Épannes,epannes,46.223833272727,-0.59416145454545
31503,79,79114,79400,Exireuil,exireuil,46.454615,-0.17687623809524
31504,79,79115,79800,Exoudun,exoudun,46.337122179487,-0.06736301282051
31505,79,79116,79350,Faye-l'Abbesse,faye l abbesse,46.83327022508,-0.33258231511254
31506,79,79117,79160,Faye-sur-Ardin,faye sur ardin,46.44392072,-0.50728376
31507,79,79118,79450,Fénery,fenery,46.683000702703,-0.36055918918919
31508,79,79119,79160,Fenioux,fenioux,46.538727311321,-0.50251879716981
31509,79,79120,79390,La Ferrière-en-Parthenay,la ferriere en parthenay,46.644547826087,-0.07921922705314
31510,79,79121,79340,Fomperron,fomperron,46.472446210046,-0.11935853881279
31511,79,79122,79110,Fontenille-Saint-Martin-d'Entraigues,fontenille saint martin d entraigues,46.113925090909,-0.12813296969697
31512,79,79123,79380,La Forêt-sur-Sèvre,la foret sur sevre,46.756563435754,-0.6492849301676
31513,79,79124,79340,Les Forges,les forges,46.5429603125,-0.0226040625
31514,79,79125,79230,Fors,fors,46.240413492063,-0.41242587301587
31515,79,79126,79360,Les Fosses,les fosses,46.166067093023,-0.36781139534884
31516,79,79127,79360,La Foye-Monjault,la foye monjault,46.186818757062,-0.52822242937853
31517,79,79128,79260,François,francois,46.38207983871,-0.34324322580645
31518,79,79129,79370,Fressines,fressines,46.320944519231,-0.30104826923077
31519,79,79130,79270,Frontenay-Rohan-Rohan,frontenay rohan rohan,46.254446774194,-0.53006580645161
31520,79,79131,79330,Geay,geay,46.872204658385,-0.34189049689441
31521,79,79132,79150,Genneton,genneton,47.049308807947,-0.43428245033113
31522,79,79133,79220,Germond-Rouvre,germond rouvre,46.455429952153,-0.42376267942584
31523,79,79134,79330,Glénay,glenay,46.852555064103,-0.24617455128205
31524,79,79135,79200,Gourgé,gourge,46.733478691275,-0.19175456375839
31525,79,79136,79110,Alloinay,alloinay,46.0753581,-0.096941
31526,79,79136,79190,Alloinay,alloinay,46.1517446,0.0972
31527,79,79137,79360,Granzay-Gript,granzay gript,46.223722484472,-0.48361950310559
31528,79,79139,79220,Les Groseillers,les groseillers,46.52736372549,-0.40686598039216
31529,79,79140,79110,Hanc,hanc,46.084005706522,-0.00250923913043
31530,79,79141,79600,Irais,irais,46.874921125,-0.09728175
31531,79,79142,79170,Juillé,juille,46.114372164948,-0.22361804123711
31532,79,79144,79230,Juscorps,juscorps,46.212246451613,-0.37692177419355
31533,79,79145,79200,Lageon,lageon,46.730246712329,-0.25034328767123
31534,79,79147,79240,Largeasse,largeasse,46.682229391534,-0.51937968253968
31535,79,79148,79120,Lezay,lezay,46.268497692308,-0.02026871794872
31536,79,79149,79390,Lhoumois,lhoumois,46.705987889908,-0.12932752293578
31537,79,79150,79190,Limalonges,limalonges,46.137916833333,0.18260166666667
31538,79,79152,79190,Lorigné,lorigne,46.1066575,0.0687475
31539,79,79153,79110,Loubigné,loubigne,46.076008415842,-0.07849485148515
31540,79,79154,79110,Loubillé,loubille,46.045250068966,-0.06091103448276
31541,79,79156,79600,Louin,louin,46.77853125,-0.20893032608696
31542,79,79157,79100,Louzy,louzy,47.021383181818,-0.17855781818182
31543,79,79158,79170,Luché-sur-Brioux,luche sur brioux,46.132918518519,-0.1514262962963
31544,79,79159,79330,Luché-Thouarsais,luche thouarsais,46.90797921875,-0.311153359375
31545,79,79160,79170,Lusseray,lusseray,46.139837884615,-0.17425125
31546,79,79161,79100,Luzay,luzay,46.931254647887,-0.21138056338028
31547,79,79162,79460,Magné,magne,46.310047545455,-0.55664618181818
31548,79,79163,79190,Mairé-Levescault,maire levescault,46.157711938776,0.07637255102041
31549,79,79164,79500,Maisonnay,maisonnay,46.18317125,-0.04833583333333
31550,79,79165,79600,Maisontiers,maisontiers,46.772158972603,-0.26329890410959
31551,79,79166,79360,Marigny,marigny,46.196182216749,-0.42247650246305
31552,79,79167,79600,Marnes,marnes,46.851975641026,-0.01341752136752
31553,79,79170,79210,Mauzé-sur-le-Mignon,mauze sur le mignon,46.192594564103,-0.65316276923077
31554,79,79171,79100,Mauzé-Thouarsais,mauze thouarsais,46.975217535545,-0.28560672985782
31555,79,79172,79310,Mazières-en-Gâtine,mazieres en gatine,46.527848736059,-0.32174301115242
31556,79,79173,79500,Mazières-sur-Béronne,mazieres sur beronne,46.183875,-0.1951105
31557,79,79174,79500,Melle,melle,46.235047619048,-0.14695079365079
31558,79,79175,79190,Melleran,melleran,46.128624144144,0.00221513513514
31559,79,79176,79340,Ménigoute,menigoute,46.493871829268,-0.06345670731707
31560,79,79177,79120,Messé,messe,46.254937413793,0.10659
31561,79,79178,79100,Missé,misse,46.955222903226,-0.17539177419355
31562,79,79179,79320,Moncoutant,moncoutant,46.738251993569,-0.58294967845659
31563,79,79180,79190,Montalembert,montalembert,46.102299277108,0.17158469879518
31564,79,79183,79140,Montravers,montravers,46.837328375635,-0.73619913705584
31565,79,79184,79800,La Mothe-Saint-Héray,la mothe saint heray,46.353728357143,-0.12236942857143
31566,79,79185,79370,Mougon-Thorigné,mougon thorigne,46.292933320312,-0.269792734375
31567,79,79188,79320,Moutiers-sous-Chantemerle,moutiers sous chantemerle,46.696766732673,-0.61760706270627
31568,79,79189,79400,Nanteuil,nanteuil,46.42319915493,-0.15954291079812
