,,,,-LOIR-ET-CHER,,,
15782,41,41090,41360,Fortan,fortan,47.8451903125,0.914819375
15783,41,41091,41330,Fossé,fosse,47.633302,1.2724537333333
15784,41,41092,41120,Fougères-sur-Bièvre,fougeres sur bievre,47.448393913043,1.3366140869565
15785,41,41093,41190,Françay,francay,47.621333664122,1.1080866412214
15786,41,41094,41700,Fresnes,fresnes,47.438284466019,1.4082182524272
15787,41,41095,41160,Fréteval,freteval,47.886600813008,1.2088072357724
15788,41,41096,41270,Le Gault-du-Perche,le gault du perche,48.098491728395,0.99105880658436
15789,41,41097,41130,Gièvres,gievres,47.288464723618,1.6548224623116
15790,41,41098,41310,Gombergean,gombergean,47.653438993289,1.071812818792
15791,41,41099,41230,Gy-en-Sologne,gy en sologne,47.341759709302,1.599073372093
15792,41,41100,41800,Les Hayes,les hayes,47.698112095238,0.77600761904762
15793,41,41101,41190,Herbault,herbault,47.613352916667,1.1500075
15794,41,41102,41800,Houssay,houssay,47.742134758621,0.94509531034483
15795,41,41103,41310,Huisseau-en-Beauce,huisseau en beauce,47.724734625,1.01375025
15796,41,41104,41350,Huisseau-sur-Cosson,huisseau sur cosson,47.596290615385,1.443936
15797,41,41105,41370,Josnes,josnes,47.795358311688,1.5403637662338
15798,41,41106,41600,Lamotte-Beuvron,lamotte beuvron,47.603106381579,2.0224139473684
15799,41,41107,41310,Lancé,lance,47.683824628099,1.0734295041322
15800,41,41108,41190,Lancôme,lancome,47.651808857143,1.1249440952381
15801,41,41109,41190,Landes-le-Gaulois,landes le gaulois,47.658036923077,1.167057972028
15802,41,41110,41320,Langon-sur-Cher,langon sur cher,47.304869414634,1.8436952195122
15803,41,41112,41230,Lassay-sur-Croisne,lassay sur croisne,47.372771370968,1.6322183064516
15804,41,41113,41800,Lavardin,lavardin,47.737097,0.886518875
15805,41,41114,41500,Lestiou,lestiou,47.747492884615,1.5629282692308
15806,41,41115,41160,Lignières,lignieres,47.864462342342,1.1916156756757
15807,41,41116,41100,Lisle,lisle,47.86714091954,1.1066737931035
15808,41,41118,41200,Loreux,loreux,47.406527236842,1.8525144736842
15809,41,41119,41370,Lorges,lorges,47.818748382353,1.502815
15810,41,41120,41360,Lunay,lunay,47.801940419162,0.91154173652695
15811,41,41121,41370,La Madeleine-Villefrouin,la madeleine villefrouin,47.77730015873,1.3945049206349
15812,41,41122,41320,Maray,maray,47.242520547945,1.8734064383562
15813,41,41123,41370,Marchenoir,marchenoir,47.825977608696,1.4023517391304
15814,41,41124,41100,Marcilly-en-Beauce,marcilly en beauce,47.758774326923,1.0011928846154
15815,41,41125,41210,Marcilly-en-Gault,marcilly en gault,47.461128727273,1.8627286363636
15816,41,41126,41110,Mareuil-sur-Cher,mareuil sur cher,47.280222575758,1.3019990151515
15817,41,41127,41210,La Marolle-en-Sologne,la marolle en sologne,47.578977111111,1.7879243703704
15818,41,41128,41330,Marolles,marolles,47.656045487805,1.306431097561
15819,41,41129,41250,Maslives,maslives,47.638910508475,1.4845883050847
15820,41,41130,41500,Maves,maves,47.735299333333,1.3453928484849
15821,41,41131,41100,Mazangé,mazange,47.848778315217,0.94584891304348
15822,41,41132,41140,Méhers,mehers,47.328350821918,1.4527728767123
15823,41,41134,41500,Menars,menars,47.6436775,1.3953045833333
15824,41,41135,41320,Mennetou-sur-Cher,mennetou sur cher,47.295932,1.8686689090909
15825,41,41136,41500,Mer,mer,47.710539642857,1.5084264285714
15826,41,41137,41150,Mesland,mesland,47.518301857923,1.0957624590164
15827,41,41138,41100,Meslay,meslay,47.820248252427,1.1090575728155
15828,41,41139,41130,Meusnes,meusnes,47.242413728814,1.5093055932203
15829,41,41140,41200,Millançay,millancay,47.456177586207,1.7850165948276
15830,41,41141,41160,Moisy,moisy,47.910146818182,1.3188080681818
15831,41,41142,41190,Valencisse,valencisse,47.5723025,1.1928921875
15832,41,41143,41170,Mondoubleau,mondoubleau,47.984934201681,0.89706899159664
15833,41,41144,41150,Monteaux,monteaux,47.487413368421,1.1100886315789
15834,41,41145,41120,Monthou-sur-Bièvre,monthou sur bievre,47.4650658,1.2711922666667
15835,41,41146,41400,Monthou-sur-Cher,monthou sur cher,47.353951679389,1.2985934351145
15836,41,41147,41120,Les Montils,les montils,47.503169666667,1.3047734444444
15837,41,41148,41350,Montlivault,montlivault,47.635394358974,1.4438505128205
15838,41,41149,41800,Montoire-sur-le-Loir,montoire sur le loir,47.768135892857,0.84786047619048
15839,41,41150,41250,Mont-près-Chambord,mont pres chambord,47.548354533333,1.4520086666667
15840,41,41151,41400,Montrichard Val de Cher,montrichard val de cher,47.3583513,1.2008034
15841,41,41152,41210,Montrieux-en-Sologne,montrieux en sologne,47.55311150289,1.7175408092486
15842,41,41153,41800,Montrouveau,montrouveau,47.702867849462,0.71418204301075
15843,41,41154,41160,Morée,moree,47.914265483871,1.2515938064516
15844,41,41155,41500,Muides-sur-Loire,muides sur loire,47.665236176471,1.5265064705882
15845,41,41156,41500,Mulsans,mulsans,47.69684978022,1.3730435164835
15846,41,41157,41230,Mur-de-Sologne,mur de sologne,47.408691234568,1.6035591769547
15847,41,41158,41100,Naveil,naveil,47.786757795276,1.0211005511811
15848,41,41159,41210,Neung-sur-Beuvron,neung sur beuvron,47.539083745455,1.8157608
15849,41,41160,41250,Neuvy,neuvy,47.562535575221,1.5947339823009
15850,41,41161,41600,Nouan-le-Fuzelier,nouan le fuzelier,47.543469103774,2.0399460849057
15851,41,41163,41310,Nourray,nourray,47.720788358209,1.0483547761194
15852,41,41164,41140,Noyers-sur-Cher,noyers sur cher,47.278903488372,1.41096
15853,41,41166,41700,Oisly,oisly,47.3990025,1.3783252272727
15854,41,41167,41150,Veuzain-sur-Loire,veuzain sur loire,47.514902162162,1.1491448262548
15855,41,41168,41300,Orçay,orcay,47.307571057692,2.1291773076923
