,,,,-PUY-DE-DOME,,,
25037,63,63084,63450,Chanonat,chanonat,45.700118730964,3.0804569035533
25038,63,63085,63230,Chapdes-Beaufort,chapdes beaufort,45.8905005,2.8423991875
25039,63,63086,63590,La Chapelle-Agnon,la chapelle agnon,45.629918976744,3.6326317209302
25040,63,63087,63420,La Chapelle-Marcousse,la chapelle marcousse,45.440359159664,3.0866284453782
25041,63,63088,63580,La Chapelle-sur-Usson,la chapelle sur usson,45.464601652174,3.3898269565217
25042,63,63089,63720,Chappes,chappes,45.868468548387,3.2285053225806
25043,63,63090,63260,Chaptuzat,chaptuzat,46.031037878788,3.1678009090909
25044,63,63091,63340,Charbonnier-les-Mines,charbonnier les mines,45.417599365079,3.2842985714286
25045,63,63092,63410,Charbonnières-les-Varennes,charbonnieres les varennes,45.900324292683,2.9847109268293
25046,63,63093,63410,Charbonnières-les-Vieilles,charbonnieres les vieilles,45.992014758364,3.0076998513011
25047,63,63094,63640,Charensat,charensat,45.976794101877,2.6460505898123
25048,63,63095,63290,Charnat,charnat,45.943938686869,3.4354612121212
25049,63,63096,63160,Chas,chas,45.747098928571,3.3077626785714
25050,63,63097,63320,Chassagne,chassagne,45.493481284404,3.0565972018349
25051,63,63098,63680,Chastreix,chastreix,45.509753451613,2.745195
25052,63,63099,63119,Châteaugay,chateaugay,45.853931596639,3.0925388235294
25053,63,63100,63390,Châteauneuf-les-Bains,chateauneuf les bains,46.025012020202,2.8871393434343
25054,63,63101,63330,Château-sur-Cher,chateau sur cher,46.118412459893,2.5698788770054
25055,63,63102,63290,Châteldon,chateldon,45.972105211268,3.5536901877934
25056,63,63103,63140,Châtel-Guyon,chatel guyon,45.921011818182,3.05923784689
25057,63,63104,63660,La Chaulme,la chaulme,45.470863827161,3.9574681481482
25058,63,63105,63220,Chaumont-le-Bourg,chaumont le bourg,45.459199642857,3.7656565714286
25059,63,63106,63117,Chauriat,chauriat,45.746005294118,3.2742755294118
25060,63,63107,63720,Chavaroux,chavaroux,45.85196,3.2591691428571
25061,63,63108,63200,Le Cheix,le cheix,45.956747580645,3.1767159677419
25062,63,63109,63320,Chidrac,chidrac,45.557524166667,3.1520913888889
25063,63,63110,63740,Cisternes-la-Forêt,cisternes la foret,45.808525286195,2.7166351515151
25064,63,63111,63320,Clémensat,clemensat,45.564016290323,3.101745
25065,63,63112,63720,Clerlande,clerlande,45.915706538462,3.1884067307692
25066,63,63113,63000,Clermont-Ferrand,clermont ferrand,45.771264,3.1198023
25067,63,63113,63100,Clermont-Ferrand,clermont ferrand,45.7950636,3.1172305
25068,63,63114,63340,Collanges,collanges,45.436609879518,3.2149372289157
25069,63,63115,63380,Combrailles,combrailles,45.843204011299,2.6428029943503
25070,63,63116,63460,Combronde,combronde,45.988858255814,3.0831240116279
25071,63,63117,63610,Compains,compains,45.435567603834,2.9338784664537
25072,63,63118,63380,Condat-en-Combraille,condat en combraille,45.865735636364,2.5620104415584
25073,63,63119,63490,Condat-lès-Montboissier,condat les montboissier,45.55741118421,3.4790447368421
25074,63,63120,63730,Corent,corent,45.662203235294,3.1928961764706
25075,63,63121,63114,Coudes,coudes,45.612290595238,3.2069765476191
25076,63,63122,63320,Courgoul,courgoul,45.510047283951,3.0411166049383
25077,63,63123,63450,Cournols,cournols,45.640575352113,3.0391671830986
25078,63,63124,63800,Cournon-d'Auvergne,cournon d auvergne,45.742723381295,3.1974370503597
25079,63,63125,63120,Courpière,courpiere,45.756828846154,3.5417629059829
25080,63,63126,63450,Le Crest,le crest,45.690719319728,3.1313555782313
25081,63,63127,63320,Creste,creste,45.555743174603,3.0514834126984
25082,63,63128,63350,Crevant-Laveine,crevant laveine,45.901830769231,3.3978228365385
25083,63,63129,63810,Cros,cros,45.466271346154,2.6080904807692
25084,63,63130,63700,La Crouzille,la crouzille,46.170506666667,2.7514670588235
25085,63,63131,63350,Culhat,culhat,45.861366582278,3.3417381012658
25086,63,63132,63590,Cunlhat,cunlhat,45.634310674157,3.5663504494382
25087,63,63133,63111,Dallet,dallet,45.771608684211,3.2428257894737
25088,63,63134,63340,Dauzat-sur-Vodable,dauzat sur vodable,45.470267662338,3.0826276623377
25089,63,63135,63200,Davayat,davayat,45.947790294118,3.113835
25090,63,63136,63520,Domaize,domaize,45.684442760181,3.5318976923077
25091,63,63137,63220,Doranges,doranges,45.402819328859,3.6093755704698
25092,63,63138,63300,Dorat,dorat,45.896909883041,3.4760357894737
