id,department_code,insee_code,zip_code,-SEINE-ET-MARNE,slug,gps_lat,gps_lng
31000,77,77379,77160,Provins,provins,48.563611386861,3.2935673722628
31001,77,77380,77139,Puisieux,puisieux,49.062647067669,2.91456
31002,77,77381,77720,Quiers,quiers,48.613427894737,2.9587562280702
31003,77,77382,77860,Quincy-Voisins,quincy voisins,48.896901111111,2.8790021212121
31004,77,77383,77370,Rampillon,rampillon,48.538570555556,3.071637037037
31005,77,77384,77550,Réau,reau,48.611663139535,2.6254040697674
31006,77,77385,77510,Rebais,rebais,48.853696141732,3.2341178740157
31007,77,77386,77760,Recloses,recloses,48.339940714286,2.6469324285714
31008,77,77387,77710,Remauville,remauville,48.22171921875,2.82900390625
31009,77,77388,77260,Reuil-en-Brie,reuil en brie,48.953826363636,3.1645842045455
31010,77,77389,77000,La Rochette,la rochette,48.504418955224,2.6626579104478
31011,77,77390,77680,Roissy-en-Brie,roissy en brie,48.789608494624,2.6504535483871
31012,77,77391,77160,Rouilly,rouilly,48.58850425,3.291478625
31013,77,77392,77230,Rouvres,rouvres,49.065913015873,2.7201087301587
31014,77,77393,77540,Rozay-en-Brie,rozay en brie,48.6832825,2.9611386111111
31015,77,77394,77950,Rubelles,rubelles,48.566627818182,2.6806154545455
31016,77,77395,77760,Rumont,rumont,48.27024,2.4938208823529
31017,77,77396,77560,Rupéreux,rupereux,48.642185438596,3.3272612280702
31018,77,77397,77730,Saâcy-sur-Marne,saacy sur marne,48.954135555556,3.2115098765432
31019,77,77398,77510,Sablonnières,sablonnieres,48.880370979021,3.2934253846154
31020,77,77399,77710,Saint-Ange-le-Viel,saint ange le viel,48.273314821429,2.9032803571429
31021,77,77400,77515,Saint-Augustin,saint augustin,48.79090260274,3.0282446575343
31022,77,77401,77260,Sainte-Aulde,sainte aulde,49.00213875,3.1759178571429
31023,77,77402,77320,Saint-Barthélemy,saint barthelemy,48.820044950495,3.3627307920792
31024,77,77403,77160,Saint-Brice,saint brice,48.564218348624,3.3313660550459
31025,77,77404,77650,Sainte-Colombe,sainte colombe,48.534721978022,3.2579875824176
31026,77,77405,77750,Saint-Cyr-sur-Morin,saint cyr sur morin,48.911919520958,3.1709453293413
31027,77,77406,77510,Saint-Denis-lès-Rebais,saint denis les rebais,48.842722741935,3.2000352419355
31028,77,77407,77310,Saint-Fargeau-Ponthierry,saint fargeau ponthierry,48.536141838235,2.52215125
31029,77,77408,77470,Saint-Fiacre,saint fiacre,48.92463,2.9510683870968
31030,77,77409,77130,Saint-Germain-Laval,saint germain laval,48.409908271605,3.0027060493827
31031,77,77410,77950,Saint-Germain-Laxis,saint germain laxis,48.5888608,2.7057665333333
31032,77,77411,77169,Saint-Germain-sous-Doue,saint germain sous doue,48.853055851852,3.1303272592593
31033,77,77412,77930,Saint-Germain-sur-École,saint germain sur ecole,48.472339166667,2.5117114583333
31034,77,77413,77860,Saint-Germain-sur-Morin,saint germain sur morin,48.876787979798,2.8378
31035,77,77414,77160,Saint-Hilliers,saint hilliers,48.634797096774,3.2609850537634
31036,77,77415,77660,Saint-Jean-les-Deux-Jumeaux,saint jean les deux jumeaux,48.94269,3.0233068181818
31037,77,77416,77370,Saint-Just-en-Brie,saint just en brie,48.602843095238,3.1268804761905
31038,77,77417,77510,Saint-Léger,saint leger,48.842499759036,3.2675979518072
31039,77,77418,77650,Saint-Loup-de-Naud,saint loup de naud,48.536074897959,3.2213112244898
31040,77,77419,77670,Saint-Mammès,saint mammes,48.3855778125,2.8232590625
31041,77,77420,77230,Saint-Mard,saint mard,49.041445166667,2.6997323333333
31042,77,77421,77320,Saint-Mars-Vieux-Maisons,saint mars vieux maisons,48.739073796296,3.3185713888889
31043,77,77423,77320,Saint-Martin-des-Champs,saint martin des champs,48.783686092715,3.3268848344371
31044,77,77424,77320,Saint-Martin-du-Boschet,saint martin du boschet,48.737452783505,3.4261577319588
31045,77,77425,77630,Saint-Martin-en-Bière,saint martin en biere,48.437160322581,2.5702425806452
