,,,,-ILE-ET-VILAINE,,,
13791,35,35342,35270,Trémeheuc,tremeheuc,48.441874574468,-1.6972074468085
13792,35,35343,35320,Tresbœuf,tresboeuf,47.873237018634,-1.5538863043478
13793,35,35344,35720,Tressé,tresse,48.481844076923,-1.8824945384615
13794,35,35345,35190,Trévérien,treverien,48.372597272727,-1.9154936818182
13795,35,35346,35190,Trimer,trimer,48.348493723404,-1.8994906382979
13796,35,35347,35450,Val-d'Izé,val d ize,48.190455527344,-1.3023673242187
13797,35,35348,35140,Vendel,vendel,48.294428058824,-1.3081274117647
13798,35,35350,35680,Vergéal,vergeal,48.035711007752,-1.2572034108527
13799,35,35351,35160,Le Verger,le verger,48.066571788618,-1.920293699187
13800,35,35352,35770,Vern-sur-Seiche,vern sur seiche,48.050473130435,-1.612429826087
13801,35,35353,35132,Vezin-le-Coquet,vezin le coquet,48.115350133333,-1.7540759333333
13802,35,35354,35610,Vieux-Viel,vieux viel,48.499108113208,-1.5546922012579
13803,35,35355,35490,Vieux-Vy-sur-Couesnon,vieux vy sur couesnon,48.339087175141,-1.4956093785311
13804,35,35356,35630,Vignoc,vignoc,48.255214361702,-1.7642668085106
13805,35,35357,35420,Villamée,villamee,48.4577341875,-1.2173185
13806,35,35358,35430,La Ville-ès-Nonais,la ville es nonais,48.548266753247,-1.9549016883117
13807,35,35359,35130,Visseiche,visseiche,47.959116983471,-1.3006985950413
13808,35,35360,35500,Vitré,vitre,48.106410813008,-1.1896452845528
13809,35,35361,35960,Le Vivier-sur-Mer,le vivier sur mer,48.596248070175,-1.7787301754386
13810,35,35362,35540,Le Tronchet,le tronchet,48.494653170732,-1.8425375609756
13811,35,35363,35131,Pont-Péan,pont pean,48.014843873874,-1.6967325225225
