,,,,-ILE-ET-VILAINE,,,
13540,35,35082,35134,Coësmes,coesmes,47.870442230216,-1.4263716906475
13541,35,35084,35330,Comblessac,comblessac,47.876723853659,-2.0943752682927
13542,35,35085,35270,Combourg,combourg,48.405553855932,-1.7361758050848
13543,35,35086,35210,Combourtillé,combourtille,48.266026330275,-1.2703327522936
13544,35,35087,35500,Cornillé,cornille,48.088135258621,-1.3102081034483
13545,35,35088,35150,Corps-Nuds,corps nuds,47.98144748954,-1.5754062761506
13546,35,35089,35320,La Couyère,la couyere,47.891026289063,-1.49744921875
13547,35,35090,35320,Crevin,crevin,47.929219173554,-1.6625501652893
13548,35,35091,35290,Le Crouais,le crouais,48.210065675676,-2.150868018018
13549,35,35092,35270,Cuguen,cuguen,48.438870034014,-1.6578714285714
13550,35,35093,35800,Dinard,dinard,48.630611170213,-2.0553731914894
13551,35,35094,35440,Dingé,dinge,48.347734211957,-1.703428125
13552,35,35095,35120,Dol-de-Bretagne,dol de bretagne,48.534811355932,-1.7416827118644
13553,35,35096,35113,Domagné,domagne,48.064720081301,-1.409923902439
13554,35,35097,35680,Domalain,domalain,47.992418542373,-1.2479909491525
13555,35,35098,35390,La Dominelais,la dominelais,47.759997609562,-1.6824752589641
13556,35,35099,35410,Domloup,domloup,48.069926300578,-1.5435930635838
13557,35,35100,35210,Dompierre-du-Chemin,dompierre du chemin,48.267585454545,-1.1502766666667
13558,35,35101,35450,Dourdain,dourdain,48.195030173611,-1.3801544444444
13559,35,35102,35130,Drouges,drouges,47.899979502762,-1.2612772375691
13560,35,35103,35640,Eancé,eance,47.826198577406,-1.255629748954
13561,35,35104,35120,Epiniac,epiniac,48.501752798635,-1.7017064163822
13562,35,35105,35500,Erbrée,erbree,48.107820447761,-1.1197287462687
13563,35,35106,35620,Ercé-en-Lamée,erce en lamee,47.824865372671,-1.5718071118012
13564,35,35107,35340,Ercé-près-Liffré,erce pres liffre,48.25329489726,-1.5189016780822
13565,35,35108,35150,Essé,esse,47.950547771739,-1.4301676630435
13566,35,35109,35370,Étrelles,etrelles,48.075663673469,-1.2129594752187
13567,35,35110,35440,Feins,feins,48.329053184713,-1.6291266878981
13568,35,35111,35420,Le Ferré,le ferre,48.489288967136,-1.2916466197183
13569,35,35112,35133,Fleurigné,fleurigne,48.356692753623,-1.1092510628019
13570,35,35113,35560,La Fontenelle,la fontenelle,48.465612944444,-1.5057155
13571,35,35114,35640,Forges-la-Forêt,forges la foret,47.858767135135,-1.289600054054
13572,35,35115,35300,Fougères,fougeres,48.346131680672,-1.1978983193277
13573,35,35116,35111,La Fresnais,la fresnais,48.595152991453,-1.8332048717949
13574,35,35117,35290,Gaël,gael,48.11828626506,-2.2373231726908
13575,35,35118,35490,Gahard,gahard,48.279731324786,-1.5288514102564
13576,35,35119,35370,Gennes-sur-Seiche,gennes sur seiche,47.994178987013,-1.1301792727273
13577,35,35120,35850,Gévezé,geveze,48.210879317406,-1.7966520136519
13578,35,35121,35140,Gosné,gosne,48.2469192,-1.4637108
13579,35,35122,35350,La Gouesnière,la gouesniere,48.605628045113,-1.892037593985
13580,35,35123,35580,Goven,goven,48.00910419708,-1.845770109489
13581,35,35124,35390,Grand-Fougeray,grand fougeray,47.731452588556,-1.7247634332425
13582,35,35125,35130,La Guerche-de-Bretagne,la guerche de bretagne,47.944640523256,-1.2387416860465
13583,35,35126,35580,Guichen,guichen,47.959265289575,-1.7949244015444
13584,35,35127,35580,Guignen,guignen,47.938043881119,-1.8621560489511
13585,35,35128,35440,Guipel,guipel,48.288370326797,-1.7238513071895
13586,35,35130,35630,Hédé-Bazouges,hede bazouges,48.301152039474,-1.7790386842105
13587,35,35131,35590,L'Hermitage,l hermitage,48.123924328358,-1.8167197761194
13588,35,35132,35120,Hirel,hirel,48.596431369863,-1.8198299315069
13589,35,35133,35750,Iffendic,iffendic,48.122679761029,-2.0324848161765
13590,35,35134,35630,Les Iffs,les iffs,48.294649134615,-1.8662193269231
13591,35,35135,35850,Irodouër,irodouer,48.245424680851,-1.9512080851064
13592,35,35136,35150,Janzé,janze,47.9484825,-1.4931593604651
13593,35,35137,35133,Javené,javene,48.320786102236,-1.216237028754
13594,35,35138,35133,Laignelet,laignelet,48.381029473684,-1.1576485526316
13595,35,35139,35890,Laillé,laille,47.963578996283,-1.7090698513011
13596,35,35140,35320,Lalleu,lalleu,47.855412601626,-1.5134784146342
