,,,,-LOT-ET-GARONNE,,,
17506,47,47083,47210,Doudrac,doudrac,44.665847763975,0.6748747826087
17507,47,47084,47330,Douzains,douzains,44.636834415584,0.54470538961039
17508,47,47085,47420,Durance,durance,44.153886086957,0.17328282608696
17509,47,47086,47120,Duras,duras,44.679921875,0.19544721153846
17510,47,47087,47470,Engayrac,engayrac,44.250805167785,0.89581422818792
17511,47,47088,47350,Escassefort,escassefort,44.553086280992,0.2301205785124
17512,47,47089,47120,Esclottes,esclottes,44.714406363636,0.14587072727273
17513,47,47090,47600,Espiens,espiens,44.173148482759,0.38553448275862
17514,47,47091,47310,Estillac,estillac,44.169708529412,0.57516137254902
17515,47,47092,47220,Fals,fals,44.104998646617,0.68912022556391
17516,47,47093,47700,Fargues-sur-Ourbise,fargues sur ourbise,44.236111032258,0.14137374193548
17517,47,47094,47400,Fauguerolles,fauguerolles,44.444452941176,0.240395
17518,47,47095,47400,Fauillet,fauillet,44.427378118812,0.28946217821782
17519,47,47096,47330,Ferrensac,ferrensac,44.650787603687,0.6375069124424
17520,47,47097,47230,Feugarolles,feugarolles,44.212669234973,0.36282726775956
17521,47,47098,47600,Fieux,fieux,44.101099675676,0.43051459459459
17522,47,47099,47260,Fongrave,fongrave,44.406039666667,0.52694533333333
17523,47,47100,47510,Foulayronnes,foulayronnes,44.250859350649,0.6368467965368
17524,47,47101,47200,Fourques-sur-Garonne,fourques sur garonne,44.455199090909,0.14935842975207
17525,47,47102,47600,Francescas,francescas,44.070408168317,0.43680633663366
17526,47,47103,47600,Fréchou,frechou,44.084860448718,0.32920166666667
17527,47,47104,47360,Frégimont,fregimont,44.27711,0.4626925
17528,47,47105,47140,Frespech,frespech,44.315910853659,0.82336079268293
17529,47,47106,47500,Fumel,fumel,44.508709808917,0.97742828025478
17530,47,47107,47190,Galapian,galapian,44.297889285714,0.41272040816327
17531,47,47108,47200,Gaujac,gaujac,44.488172972973,0.1169381981982
17532,47,47109,47150,Gavaudun,gavaudun,44.568138358209,0.89211014925373
17533,47,47110,47400,Gontaud-de-Nogaret,gontaud de nogaret,44.460720050761,0.29216680203046
17534,47,47111,47260,Granges-sur-Lot,granges sur lot,44.36579038961,0.47354415584416
17535,47,47112,47400,Grateloup-Saint-Gayrand,grateloup saint gayrand,44.424830871795,0.39535830769231
17536,47,47113,47270,Grayssas,grayssas,44.158216028369,0.85872489361702
17537,47,47114,47250,Grézet-Cavagnan,grezet cavagnan,44.380132986111,0.12383305555556
17538,47,47115,47250,Guérin,guerin,44.413280785714,0.06038271428571
17539,47,47117,47340,Hautefage-la-Tour,hautefage la tour,44.34073445122,0.77729914634146
17540,47,47118,47400,Hautesvignes,hautesvignes,44.459818145161,0.3444114516129
17541,47,47119,47420,Houeillès,houeilles,44.206437866667,0.06007493333333
17542,47,47120,47180,Jusix,jusix,44.543537790698,0.0449226744186
17543,47,47121,47250,Labastide-Castel-Amouroux,labastide castel amouroux,44.346029710145,0.12864115942029
17544,47,47122,47350,Labretonie,labretonie,44.489093793103,0.37103862068966
17545,47,47123,47150,Lacapelle-Biron,lacapelle biron,44.600654754098,0.89489795081967
17546,47,47124,47150,Lacaussade,lacaussade,44.505411607143,0.829428125
17547,47,47125,47360,Lacépède,lacepede,44.318311538462,0.48815647435897
17548,47,47126,47350,Lachapelle,lachapelle,44.57305183908,0.25812172413793
17549,47,47127,47320,Lafitte-sur-Lot,lafitte sur lot,44.350651981132,0.43939716981132
17550,47,47128,47240,Lafox,lafox,44.168132098765,0.70232358024691
17551,47,47129,47190,Lagarrigue,lagarrigue,44.289142168675,0.38661530120482
