id,department_code,insee_code,zip_code,-CANTAL,slug,gps_lat,gps_lng
5238,15,15201,15230,Saint-Martin-sous-Vigouroux,saint martin sous vigouroux,44.942045916115,2.7947958498896
5239,15,15202,15140,Saint-Martin-Valmeroux,saint martin valmeroux,45.123916233422,2.4457439522546
5240,15,15203,15500,Saint-Mary-le-Plain,saint mary le plain,45.181541804281,3.1417466972477
5241,15,15204,15250,Saint-Paul-des-Landes,saint paul des landes,44.947009637681,2.3098643115942
5242,15,15205,15140,Saint-Paul-de-Salers,saint paul de salers,45.131830969388,2.5257187244898
5243,15,15206,15350,Saint-Pierre,saint pierre,45.399769344262,2.3765880327869
5244,15,15207,15500,Saint-Poncy,saint poncy,45.163294910314,3.2080438116592
5245,15,15208,15140,Saint-Projet-de-Salers,saint projet de salers,45.082636309148,2.5531630914826
5246,15,15209,15110,Saint-Rémy-de-Chaudes-Aigues,saint remy de chaudes aigues,44.764876774194,3.025932983871
5247,15,15211,15150,Saint-Santin-Cantalès,saint santin cantales,45.021476515581,2.2412505382436
5248,15,15212,15600,Saint-Santin-de-Maurs,saint santin de maurs,44.657983464567,2.2093441338583
5249,15,15213,15190,Saint-Saturnin,saint saturnin,45.234653807107,2.7950467258883
5250,15,15214,15290,Saint-Saury,saint saury,44.888981428571,2.1276400297619
5251,15,15215,15130,Saint-Simon,saint simon,44.966776410256,2.4923078787879
5252,15,15216,15110,Saint-Urcize,saint urcize,44.699208461538,2.9862272435897
5253,15,15217,15150,Saint-Victor,saint victor,45.012149571984,2.2889884824903
5254,15,15218,15380,Saint-Vincent-de-Salers,saint vincent de salers,45.208863246269,2.5340747014925
5255,15,15219,15140,Salers,salers,45.145910147059,2.4937044117647
5256,15,15220,15200,Salins,salins,45.189511443662,2.3975977816901
5257,15,15221,15130,Sansac-de-Marmiesse,sansac de marmiesse,44.887580055866,2.3402308938548
5258,15,15222,15120,Sansac-Veinazès,sansac veinazes,44.744350472973,2.4305075675676
5259,15,15223,15240,Sauvat,sauvat,45.305483832753,2.4416696515679
5260,15,15224,15290,La Ségalassière,la segalassiere,44.895049208633,2.2053845323741
5261,15,15225,15300,Ségur-les-Villas,segur les villas,45.208613012552,2.8228331380753
5262,15,15226,15340,Sénezergues,senezergues,44.71245188755,2.4133046184739
5263,15,15228,15150,Siran,siran,44.943030293333,2.1163684533333
5264,15,15229,15100,Soulages,soulages,45.089743789474,3.2655067368421
5265,15,15230,15200,Sourniac,sourniac,45.275070882353,2.3361491764706
5266,15,15231,15170,Talizat,talizat,45.124767548262,3.0504307915058
5267,15,15232,15100,Tanavelle,tanavelle,45.026142947368,2.9823894736842
5268,15,15233,15250,Teissières-de-Cornet,teissieres de cornet,44.976411525974,2.3621091883117
5269,15,15234,15130,Teissières-lès-Bouliès,teissieres les boulies,44.819927142857,2.5370582251082
5270,15,15235,15100,Les Ternes,les ternes,44.994564772036,2.9943637082067
5271,15,15236,15800,Thiézac,thiezac,45.019315588235,2.6657116806723
5272,15,15237,15100,Tiviers,tiviers,45.071903267327,3.1764571947195
5273,15,15238,15310,Tournemire,tournemire,45.054862808511,2.4901218723404
5274,15,15240,15270,Trémouille,tremouille,45.391664492754,2.6685911594203
