,,,,-SAONE-ET-LOIRE,,,
28474,71,71086,71120,Changy,changy,46.414136574586,4.2513783425414
28475,71,71087,71460,Chapaize,chapaize,46.55411540146,4.7363589781022
28476,71,71088,71130,La Chapelle-au-Mans,la chapelle au mans,46.629787848101,3.9771906329114
28477,71,71089,71240,La Chapelle-de-Bragny,la chapelle de bragny,46.621760403587,4.7495494618834
28478,71,71090,71570,La Chapelle-de-Guinchay,la chapelle de guinchay,46.218177062937,4.7573021678322
28479,71,71091,71520,La Chapelle-du-Mont-de-France,la chapelle du mont de france,46.3812807109,4.5396360189574
28480,71,71092,71500,La Chapelle-Naude,la chapelle naude,46.589200835821,5.1978106865672
28481,71,71093,71310,La Chapelle-Saint-Sauveur,la chapelle saint sauveur,46.84510826087,5.2710737792642
28482,71,71094,71700,La Chapelle-sous-Brancion,la chapelle sous brancion,46.55491720339,4.7844600847458
28483,71,71095,71800,La Chapelle-sous-Dun,la chapelle sous dun,46.264647256637,4.2983223893805
28484,71,71096,71190,La Chapelle-sous-Uchon,la chapelle sous uchon,46.83852784689,4.2443498564593
28485,71,71097,71470,La Chapelle-Thècle,la chapelle thecle,46.559072118056,5.0983110763889
28486,71,71098,71320,Charbonnat,charbonnat,46.777135466102,4.1099867372881
28487,71,71099,71260,Charbonnières,charbonnieres,46.392792461538,4.8307201538461
28488,71,71100,71700,Chardonnay,chardonnay,46.508794396552,4.8502809482759
28489,71,71101,71270,Charette-Varennes,charette varennes,46.898475555556,5.1957888425926
28490,71,71102,71100,La Charmée,la charmee,46.728411736527,4.7977495209581
28491,71,71103,71710,Charmoy,charmoy,46.766707634855,4.3184043983402
28492,71,71104,71350,Charnay-lès-Chalon,charnay les chalon,46.934918039216,5.0839470588235
28493,71,71105,71850,Charnay-lès-Mâcon,charnay les macon,46.30228034965,4.7810476223776
28494,71,71106,71120,Charolles,charolles,46.449349295775,4.2839521596244
28495,71,71107,71510,Charrecey,charrecey,46.835494444444,4.6660121111111
28496,71,71108,71570,Chasselas,chasselas,46.276780888889,4.7192388888889
28497,71,71109,71150,Chassey-le-Camp,chassey le camp,46.888092272727,4.7007510227273
28498,71,71110,71170,Chassigny-sous-Dun,chassigny sous dun,46.238984846154,4.2908614615385
28499,71,71111,71130,Chassy,chassy,46.580348380952,4.1132356190476
28500,71,71112,71250,Château,chateau,46.420888571429,4.5902591304348
28501,71,71113,71740,Châteauneuf,chateauneuf,46.211635471698,4.2585849056604
28502,71,71115,71510,Châtel-Moron,chatel moron,46.789116583333,4.6377838333333
28503,71,71116,71800,Châtenay,chatenay,46.29377112069,4.3853936206896
28504,71,71117,71380,Châtenoy-en-Bresse,chatenoy en bresse,46.793597260274,4.9156731506849
28505,71,71118,71880,Châtenoy-le-Royal,chatenoy le royal,46.782787443609,4.8048160902256
28506,71,71119,71150,Chaudenay,chaudenay,46.918283464567,4.7923925984252
28507,71,71120,71170,Chauffailles,chauffailles,46.204043521127,4.3441243192488
28508,71,71121,71310,La Chaux,la chaux,46.823776754386,5.2733822807018
28509,71,71122,71150,Cheilly-lès-Maranges,cheilly les maranges,46.892057767857,4.6633567857143
28510,71,71123,71340,Chenay-le-Châtel,chenay le chatel,46.229331463415,3.9390432055749
28511,71,71124,71390,Chenôves,chenoves,46.664766692913,4.6964788976378
28512,71,71125,71250,Chérizet,cherizet,46.515538082192,4.56869
28513,71,71126,71960,Chevagny-les-Chevrières,chevagny les chevrieres,46.332940847458,4.7720713559322
28514,71,71127,71220,Chevagny-sur-Guye,chevagny sur guye,46.54021020202,4.4997371717172
28515,71,71128,71220,Chiddes,chiddes,46.457018653846,4.5071059615385
28516,71,71129,71540,Chissey-en-Morvan,chissey en morvan,47.12173216763,4.2159401156069
28517,71,71130,71460,Chissey-lès-Mâcon,chissey les macon,46.520062590674,4.7457317098446
28518,71,71131,71350,Ciel,ciel,46.8682324,5.0557896571429
28519,71,71132,71420,Ciry-le-Noble,ciry le noble,46.596884511041,4.2932459936909
28520,71,71133,71800,La Clayette,la clayette,46.287218983051,4.3070991525424
28521,71,71134,71520,Clermain,clermain,46.367031487603,4.5899004958678
28522,71,71135,71260,Clessé,clesse,46.420742075472,4.8236648113208
28523,71,71136,71130,Clessy,clessy,46.557533375796,4.0797463057325
28524,71,71137,71250,Cluny,cluny,46.434602909836,4.6680052868852
28525,71,71139,71460,Collonge-en-Charollais,collonge en charollais,46.64287173913,4.5285613664596
28526,71,71140,71360,Collonge-la-Madeleine,collonge la madeleine,46.9411746,4.5240194
28527,71,71141,71800,Colombier-en-Brionnais,colombier en brionnais,46.345963571429,4.3278708730159
28528,71,71142,71990,La Comelle,la comelle,46.879378153846,4.1173562307692
28529,71,71143,71480,Condal,condal,46.466730676329,5.2844503381643
28530,71,71144,71540,Cordesse,cordesse,47.040048205128,4.3386068376068
28531,71,71145,71460,Cormatin,cormatin,46.533953,4.6992195454546
28532,71,71146,71250,Cortambert,cortambert,46.464654901961,4.6899162745098
28533,71,71147,71460,Cortevaix,cortevaix,46.532235165563,4.640938410596
28534,71,71148,71170,Coublanc,coublanc,46.173080927835,4.2777479381443
28535,71,71149,71490,Couches,couches,46.871646683673,4.563819744898
28536,71,71150,71680,Crêches-sur-Saône,creches sur saone,46.236679605263,4.7802176315789
28537,71,71151,71490,Créot,creot,46.916834736842,4.6130914473684
28538,71,71152,71760,Cressy-sur-Somme,cressy sur somme,46.703448495575,3.8686342035398
28539,71,71153,71200,Le Creusot,le creusot,46.808665625,4.425864375
