,,,,-ORNE,,,
23739,61,61097,61400,La Chapelle-Montligeon,la chapelle montligeon,48.482952528736,0.65604448275862
23740,61,61098,61500,La Chapelle-près-Sées,la chapelle pres sees,48.56518682243,0.14790018691589
23741,61,61099,61130,La Chapelle-Souëf,la chapelle souef,48.317160928571,0.5931465
23742,61,61100,61270,La Chapelle-Viel,la chapelle viel,48.707787938931,0.61369099236641
23743,61,61101,61570,Le Château-d'Almenêches,le chateau d almeneches,48.674706805556,0.13534601851852
23744,61,61102,61450,Le Châtellier,le chatellier,48.672948185654,-0.58098371308017
23745,61,61103,61230,Chaumont,chaumont,48.846991010101,0.3366804040404
23746,61,61104,61600,La Chaux,la chaux,48.599764427481,-0.26836213740458
23747,61,61105,61360,Chemilli,chemilli,48.362664880952,0.45137440476191
23748,61,61107,61320,Ciral,ciral,48.509079453125,-0.137449140625
23749,61,61108,61230,Cisai-Saint-Aubin,cisai saint aubin,48.772916013514,0.35354317567568
23750,61,61111,61250,Colombiers,colombiers,48.475005942029,0.0560384057971
23751,61,61113,61400,Comblot,comblot,48.460061327434,0.58820805309735
23752,61,61114,61200,Commeaux,commeaux,48.788641923077,-0.09769384615385
23753,61,61116,61110,Sablons sur Huisne,sablons sur huisne,48.383067283582,0.86715056716418
23754,61,61117,61250,Condé-sur-Sarthe,conde sur sarthe,48.433471185185,0.02707303703704
23755,61,61118,61400,Corbon,corbon,48.458904421053,0.64217378947368
23756,61,61120,61160,Coudehard,coudehard,48.850916573034,0.13967679775281
23757,61,61121,61360,Coulimer,coulimer,48.477792849462,0.45852220430108
23758,61,61122,61230,Coulmer,coulmer,48.766050787402,0.30145015748032
23759,61,61123,61160,Coulonces,coulonces,48.834411195652,0.01593989130435
23760,61,61124,61220,La Coulonche,la coulonche,48.639383425926,-0.46418898148148
23761,61,61126,61170,Coulonges-sur-Sarthe,coulonges sur sarthe,48.524317341772,0.39250995780591
23762,61,61129,61400,Courgeon,courgeon,48.478013761468,0.61514752293578
23763,61,61130,61560,Courgeoût,courgeout,48.508011463415,0.48645691056911
23764,61,61133,61390,Courtomer,courtomer,48.625956086957,0.35145695652174
23765,61,61137,61220,Craménil,cramenil,48.741261726619,-0.37070302158273
23766,61,61138,61230,Croisilles,croisilles,48.762546666667,0.26886465608466
23767,61,61139,61120,Crouttes,crouttes,48.923398769231,0.14856738461538
23768,61,61140,61300,Crulai,crulai,48.693631034483,0.65121956896552
23769,61,61141,61250,Cuissai,cuissai,48.468468965517,0.00280770114943
23770,61,61142,61130,Dame-Marie,dame marie,48.354686308725,0.61856463087248
23771,61,61143,61250,Damigny,damigny,48.451415753425,0.07170273972603
23772,61,61145,61700,Domfront en Poiraie,domfront en poiraie,48.590258043796,-0.66023267153285
23773,61,61146,61700,Dompierre,dompierre,48.635339632353,-0.55714058823529
23774,61,61148,61100,Durcet,durcet,48.74121375,-0.44410734375
23775,61,61149,61440,Échalou,echalou,48.720682385321,-0.49525944954128
23776,61,61150,61370,Échauffour,echauffour,48.726861818182,0.39900194357367
23777,61,61151,61270,Écorcei,ecorcei,48.721240235294,0.57526494117647
23778,61,61152,61160,Écorches,ecorches,48.871017303371,0.08634056179775
23779,61,61153,61150,Écouché-les-Vallées,ecouche les vallees,48.664192,-0.144568
23780,61,61153,61200,Écouché-les-Vallées,ecouche les vallees,48.717358,-0.12298
23781,61,61156,61500,Essay,essay,48.540164891304,0.2431360326087
23782,61,61158,61600,Faverolles,faverolles,48.667774025157,-0.2939693081761
23783,61,61159,61390,Fay,fay,48.659019166667,0.41063909722222
23784,61,61160,61400,Feings,feings,48.542832637363,0.65144489010989
23785,61,61162,61380,La Ferrière-au-Doyen,la ferriere au doyen,48.676703333333,0.50267764227642
23786,61,61163,61450,La Ferrière-aux-Étangs,la ferriere aux etangs,48.652230891089,-0.50095633663366
23787,61,61164,61500,La Ferrière-Béchet,la ferriere bechet,48.582336494845,0.06237804123711
23788,61,61165,61420,La Ferrière-Bochard,la ferriere bochard,48.415962876712,-0.03923226027397
23789,61,61166,61390,Ferrières-la-Verrerie,ferrieres la verrerie,48.653587222222,0.37626805555556
23790,61,61167,61470,La Ferté-en-Ouche,la ferte en ouche,48.909666,0.3543141
23791,61,61167,61550,La Ferté-en-Ouche,la ferte en ouche,48.841016,0.5103529
23792,61,61168,61410,La Ferté Macé,la ferte mace,48.5280608,-0.3921515
