,,,,-ORNE,,,
23988,61,61420,61320,Sainte-Marie-la-Robert,sainte marie la robert,48.630912796935,-0.14053390804598
23989,61,61421,61350,Saint-Mars-d'Égrenne,saint mars d egrenne,48.553048188153,-0.73187543554007
23990,61,61422,61270,Les Aspres,les aspres,48.680999559471,0.60305414096916
23991,61,61423,61300,Saint-Martin-d'Écublei,saint martin d ecublei,48.792886694915,0.67425779661017
23992,61,61424,61320,Saint-Martin-des-Landes,saint martin des landes,48.547323368421,-0.15499705263158
23993,61,61425,61380,Saint-Martin-des-Pézerits,saint martin des pezerits,48.627866623377,0.48737207792208
23994,61,61426,61130,Saint-Martin-du-Vieux-Bellême,saint martin du vieux belleme,48.364711525424,0.54086016949153
23995,61,61427,61320,Saint-Martin-l'Aiguillon,saint martin l aiguillon,48.610785506608,-0.17172647577092
23996,61,61429,61190,Charencey,charencey,48.641002552301,0.76721041841004
23997,61,61432,61300,Saint-Michel-Tubœuf,saint michel tuboeuf,48.752419642857,0.68759273809524
23998,61,61433,61250,Saint-Nicolas-des-Bois,saint nicolas des bois,48.500508387097,0.02495935483871
23999,61,61435,61550,Saint-Nicolas-de-Sommaire,saint nicolas de sommaire,48.810689417989,0.58678
24000,61,61436,61100,Sainte-Opportune,sainte opportune,48.735026434783,-0.41070643478261
24001,61,61438,61560,Saint-Ouen-de-Sécherouvre,saint ouen de secherouvre,48.597488307692,0.48904761538462
24002,61,61439,61410,Saint-Ouen-le-Brisoult,saint ouen le brisoult,48.507379318182,-0.35354443181818
24003,61,61440,61300,Saint-Ouen-sur-Iton,saint ouen sur iton,48.735233064516,0.68085322580645
24004,61,61442,61600,Saint-Patrice-du-Désert,saint patrice du desert,48.536325945946,-0.28877204633205
24005,61,61443,61100,Saint-Paul,saint paul,48.741361388889,-0.62604611111111
24006,61,61444,61430,Saint-Philbert-sur-Orne,saint philbert sur orne,48.836350645161,-0.37616564516129
24007,61,61445,61800,Saint-Pierre-d'Entremont,saint pierre d entremont,48.808619090909,-0.64963424242424
24008,61,61446,61370,Saint-Pierre-des-Loges,saint pierre des loges,48.739868918919,0.46589722972973
24009,61,61447,61790,Saint-Pierre-du-Regard,saint pierre du regard,48.834698071429,-0.54203871428571
24010,61,61448,61340,Saint-Pierre-la-Bruyère,saint pierre la bruyere,48.35941890625,0.797786484375
24011,61,61450,61360,Saint-Quentin-de-Blavou,saint quentin de blavou,48.480581838235,0.42200227941176
24012,61,61451,61800,Saint-Quentin-les-Chardonnets,saint quentin les chardonnets,48.785119432624,-0.74603517730496
24013,61,61452,61350,Saint-Roch-sur-Égrenne,saint roch sur egrenne,48.578387659574,-0.73935581560284
24014,61,61453,61320,Saint-Sauveur-de-Carrouges,saint sauveur de carrouges,48.587934754098,-0.10696918032787
24015,61,61454,61170,Sainte-Scolasse-sur-Sarthe,sainte scolasse sur sarthe,48.581241,0.3935330625
24016,61,61456,61300,Saint-Sulpice-sur-Risle,saint sulpice sur risle,48.777339789916,0.66713365546218
24017,61,61457,61300,Saint-Symphorien-des-Bruyères,saint symphorien des bruyeres,48.788789265537,0.57092807909604
24018,61,61459,61220,Saires-la-Verrerie,saires la verrerie,48.692885352113,-0.48725330985915
24019,61,61460,61120,Sap-en-Auge,sap en auge,48.893985,0.338034
24020,61,61460,61470,Sap-en-Auge,sap en auge,48.8938932,0.3381953
24021,61,61461,61230,Le Sap-André,le sap andre,48.828665210084,0.38506739495798
24022,61,61462,61200,Sarceaux,sarceaux,48.715505588235,-0.03070862745098
24023,61,61463,61600,Les Monts d'Andaine,les monts d andaine,48.61355915,-0.40268895
24024,61,61464,61500,Sées,sees,48.608455462185,0.16768949579832
24025,61,61466,61100,La Selle-la-Forge,la selle la forge,48.736512887324,-0.53021436619718
24026,61,61467,61250,Semallé,semalle,48.470514768212,0.16393993377483
24027,61,61472,61200,Sévigny,sevigny,48.77351825,-0.020070875
24028,61,61473,61150,Sevrai,sevrai,48.7075248,-0.15096135
24029,61,61474,61160,Gouffern en Auge,gouffern en auge,48.872413,0.03027
24030,61,61474,61200,Gouffern en Auge,gouffern en auge,48.872413,0.03027
24031,61,61474,61310,Gouffern en Auge,gouffern en auge,48.753654,0.070151
24032,61,61475,61380,Soligny-la-Trappe,soligny la trappe,48.630292416667,0.5513905
24033,61,61476,61360,Suré,sure,48.366842214286,0.41094085714286
24034,61,61479,61150,Tanques,tanques,48.685632371795,-0.0781782051282
24035,61,61480,61500,Tanville,tanville,48.572537571429,0.00907914285714
24036,61,61481,61390,Tellières-le-Plessis,tellieres le plessis,48.621559607843,0.39332196078431
24037,61,61482,61410,Tessé-Froulay,tesse froulay,48.530576966292,-0.42239831460674
24038,61,61483,61140,Bagnoles de l'Orne Normandie,bagnoles de l orne normandie,48.558399,-0.415091
24039,61,61483,61600,Bagnoles de l'Orne Normandie,bagnoles de l orne normandie,48.558399,-0.415091
24040,61,61484,61130,Val-au-Perche,val au perche,48.522485,0.5430779
24041,61,61484,61260,Val-au-Perche,val au perche,48.271623,0.7375
24042,61,61484,61340,Val-au-Perche,val au perche,48.522485,0.5430779
24043,61,61485,61120,Ticheville,ticheville,48.9070185,0.26373771428571
24044,61,61486,61800,Tinchebray-Bocage,tinchebray bocage,48.722788437068,-0.72146395573997
24045,61,61487,61330,Torchamp,torchamp,48.54505497561,-0.67454195121951
24046,61,61488,61550,Touquettes,touquettes,48.797095757576,0.42118527272727
24047,61,61490,61160,Tournai-sur-Dive,tournai sur dive,48.814413987342,0.04538879746835
24048,61,61491,61190,Tourouvre au Perche,tourouvre au perche,48.601257522124,0.64663256637168
24049,61,61492,61390,Trémont,tremont,48.598388765432,0.27507308641975
24050,61,61493,61230,La Trinité-des-Laitiers,la trinite des laitiers,48.801914792899,0.37803656804734
24051,61,61494,61160,Trun,trun,48.847656136364,0.04478356060606
24052,61,61497,61250,Valframbert,valframbert,48.461899861111,0.11630722222222
24053,61,61498,61130,Vaunoise,vaunoise,48.346816666667,0.4844264957265
24054,61,61499,61170,Les Ventes-de-Bourse,les ventes de bourse,48.501377863636,0.26741063636364
24055,61,61500,61190,La Ventrouze,la ventrouze,48.611909298246,0.68909754385965
24056,61,61501,61110,Verrières,verrieres,48.394305224719,0.75173747191011
24057,61,61502,61360,Vidai,vidai,48.460372933333,0.373756
24058,61,61503,61150,Vieux-Pont,vieux pont,48.644873915344,-0.14995835978836
24059,61,61505,61160,Villedieu-lès-Bailleul,villedieu les bailleul,48.801119146341,0.01731634146341
24060,61,61507,61400,Villiers-sous-Mortagne,villiers sous mortagne,48.539113207547,0.60021867924528
24061,61,61508,61120,Vimoutiers,vimoutiers,48.920263715596,0.19069637614679
24062,61,61510,61300,Vitrai-sous-Laigle,vitrai sous laigle,48.71821038961,0.70233844155844
24063,61,61512,61210,Les Yveteaux,les yveteaux,48.71050826087,-0.27024643478261
