id,department_code,insee_code,zip_code,-AUDE,slug,gps_lat,gps_lng
3701,11,11074,11320,Les Cassés,les casses,43.425918962264,1.867905754717
3702,11,11075,11160,Castans,castans,43.405944188034,2.4825146153846
3703,11,11076,11400,Castelnaudary,castelnaudary,43.325721727273,1.9593411363636
3704,11,11077,11700,Castelnau-d'Aude,castelnau d aude,43.234887368421,2.6784549122807
3705,11,11078,11300,Castelreng,castelreng,43.021138983051,2.1283861016949
3706,11,11079,11390,Caudebronde,caudebronde,43.39089890411,2.2990004109589
3707,11,11080,11230,Val de Lambronne,val de lambronne,43.074477613636,1.9899725
3708,11,11081,11160,Caunes-Minervois,caunes minervois,43.335644326241,2.5207078014184
3709,11,11082,11250,Caunette-sur-Lauquet,caunette sur lauquet,43.030676825397,2.4168136507936
3710,11,11083,11220,Caunettes-en-Val,caunettes en val,43.068587307692,2.5667984615385
3711,11,11084,11170,Caux-et-Sauzens,caux et sauzens,43.227276853933,2.2518233707865
3712,11,11085,11570,Cavanac,cavanac,43.1665897,2.3343579
3713,11,11086,11510,Caves,caves,42.936412566372,2.9620668141593
3714,11,11087,11270,Cazalrenoux,cazalrenoux,43.188788496241,1.9478032330827
3715,11,11088,11570,Cazilhac,cazilhac,43.17836421875,2.3635171875
3716,11,11089,11170,Cenne-Monestiés,cenne monesties,43.320426190476,2.1298497142857
3717,11,11090,11300,Cépie,cepie,43.109070327869,2.2408454098361
3718,11,11091,11230,Chalabre,chalabre,42.984768412017,2.0165651502146
3719,11,11092,11160,Citou,citou,43.371649565217,2.5349797826087
3720,11,11093,11140,Le Clat,le clat,42.788666203704,2.1757847222222
3721,11,11094,11250,Clermont-sur-Lauquet,clermont sur lauquet,43.046727280702,2.4134877192983
3722,11,11095,11700,Comigne,comigne,43.168221355932,2.5881627118644
3723,11,11096,11340,Comus,comus,42.82517556701,1.8878729896907
3724,11,11097,11190,Conilhac-de-la-Montagne,conilhac de la montagne,42.979003030303,2.2056734848485
3725,11,11098,11200,Conilhac-Corbières,conilhac corbieres,43.183890925926,2.7182835185185
3726,11,11099,11600,Conques-sur-Orbiel,conques sur orbiel,43.280913697479,2.3862090756303
3727,11,11100,11230,Corbières,corbieres,43.044645661765,1.9998049264706
3728,11,11101,11500,Coudons,coudons,42.866683283582,2.117602238806
3729,11,11102,11250,Couffoulens,couffoulens,43.151824606061,2.308120969697
3730,11,11103,11190,Couiza,couiza,42.934592230216,2.2697628057554
3731,11,11104,11140,Counozouls,counozouls,42.715409090909,2.2375522727273
3732,11,11105,11300,Cournanel,cournanel,43.031901470588,2.2327054411765
3733,11,11106,11110,Coursan,coursan,43.242675384615,3.0595903296703
3734,11,11107,11230,Courtauly,courtauly,43.03856336,2.04559504
3735,11,11108,11240,La Courtète,la courtete,43.140663092784,2.0300724742268
3736,11,11109,11190,Coustaussa,coustaussa,42.940668604651,2.2821675581395
3737,11,11110,11220,Coustouge,coustouge,43.054072068966,2.7425686206897
3738,11,11111,11200,Cruscades,cruscades,43.195498554217,2.8137975903615
3739,11,11112,11190,Cubières-sur-Cinoble,cubieres sur cinoble,42.859204782609,2.4648830434783
