,,,,-GARD,,,
11235,30,30073,30210,Castillon-du-Gard,castillon du gard,43.975312924528,4.5560973584906
11236,30,30074,30750,Causse-Bégon,causse begon,44.069987380952,3.3544327380952
11237,30,30075,30820,Caveirac,caveirac,43.826580166667,4.27326925
11238,30,30076,30330,Cavillargues,cavillargues,44.114710583333,4.5158769166667
11239,30,30077,30480,Cendras,cendras,44.152961111111,4.0290327777778
11240,30,30079,30450,Chambon,chambon,44.307721666667,4.0134434803922
11241,30,30080,30530,Chamborigaud,chamborigaud,44.301853937824,3.9736616062176
11242,30,30081,30200,Chusclan,chusclan,44.15288960396,4.6843077227723
11243,30,30082,30870,Clarensac,clarensac,43.830840674157,4.2225758426966
11244,30,30083,30920,Codognan,codognan,43.723544461538,4.2282327692308
11245,30,30084,30200,Codolet,codolet,44.127845636364,4.7009969090909
11246,30,30085,30210,Collias,collias,43.958394354839,4.4725108870968
11247,30,30086,30190,Collorgues,collorgues,44.016462924528,4.2905406603774
11248,30,30087,30460,Colognac,colognac,44.033946954023,3.8213317816092
11249,30,30088,30250,Combas,combas,43.855572991453,4.1214986324786
11250,30,30089,30300,Comps,comps,43.847097792208,4.5968957142857
11251,30,30090,30450,Concoules,concoules,44.375999411765,3.9509680588235
11252,30,30091,30111,Congénies,congenies,43.775256710526,4.1580452631579
11253,30,30092,30330,Connaux,connaux,44.082524112903,4.6008522580645
11254,30,30093,30170,Conqueyrac,conqueyrac,43.941227696629,3.9149473595506
11255,30,30094,30140,Corbès,corbes,44.07444537037,3.9552712962963
11256,30,30095,30260,Corconne,corconne,43.870521636364,3.9463610909091
11257,30,30096,30630,Cornillon,cornillon,44.222379705882,4.493186
11258,30,30097,30500,Courry,courry,44.301927904762,4.1624670476191
11259,30,30098,30260,Crespian,crespian,43.887140412371,4.1121912371134
11260,30,30099,30170,Cros,cros,44.001862763158,3.8233780921053
11261,30,30100,30360,Cruviers-Lascours,cruviers lascours,44.013454117647,4.1973729411765
11262,30,30101,30360,Deaux,deaux,44.069912153846,4.1584323076923
11263,30,30102,30190,Dions,dions,43.920234404762,4.2974832142857
11264,30,30103,30390,Domazan,domazan,43.941671724138,4.6567436206897
