,,,,-VIENNE,,,
33658,86,86086,86270,Coussay-les-Bois,coussay les bois,46.810891170213,0.72836526595745
33659,86,86087,86110,Craon,craon,46.773139370079,0.02241960629921
33660,86,86088,86240,Croutelle,croutelle,46.539503181818,0.2911125
33661,86,86089,86110,Cuhon,cuhon,46.764099895833,0.09736697916667
33662,86,86090,86120,Curçay-sur-Dive,curcay sur dive,47.013015294118,-0.05606529411765
33663,86,86091,86600,Curzay-sur-Vonne,curzay sur vonne,46.487810894309,0.03834617886179
33664,86,86092,86220,Dangé-Saint-Romain,dange saint romain,46.927215197368,0.60706973684211
33665,86,86093,86420,Dercé,derce,46.940522288136,0.20721652542373
33666,86,86094,86410,Dienné,dienne,46.444005307692,0.54187838461538
33667,86,86095,86130,Dissay,dissay,46.701182677165,0.4360794488189
33668,86,86096,86140,Doussay,doussay,46.834588255814,0.28262953488372
33669,86,86097,86160,La Ferrière-Airoux,la ferriere airoux,46.315327070707,0.4125997979798
33670,86,86098,86300,Fleix,fleix,46.558481081081,0.74966756756757
33671,86,86099,86340,Fleuré,fleure,46.481074157303,0.52704056179775
33672,86,86100,86240,Fontaine-le-Comte,fontaine le comte,46.529975555556,0.24421111111111
33673,86,86102,86190,Frozes,frozes,46.663505555556,0.12711814814815
33674,86,86103,86160,Gençay,gencay,46.372946428571,0.41126928571429
33675,86,86104,86250,Genouillé,genouille,46.092835442177,0.33243136054422
33676,86,86105,86340,Gizay,gizay,46.437310816327,0.42764972789116
33677,86,86106,86200,Glénouze,glenouze,47.005356896552,-0.00285252873563
33678,86,86107,86320,Gouex,gouex,46.370661363636,0.66405011363636
33679,86,86108,86110,La Grimaudière,la grimaudiere,46.807948,0.017699
33680,86,86108,86330,La Grimaudière,la grimaudiere,46.807948,0.017699
33681,86,86109,86420,Guesnes,guesnes,46.912431590909,0.15555886363636
33682,86,86110,86310,Haims,haims,46.515339931507,0.93920691780822
33683,86,86111,86220,Ingrandes,ingrandes,46.870468609626,0.6039471657754
33684,86,86112,86150,L'Isle-Jourdain,l isle jourdain,46.239807368421,0.70036570175439
33685,86,86113,86240,Iteuil,iteuil,46.484077682927,0.30047542682927
33686,86,86114,86800,Jardres,jardres,46.568095925926,0.57886385185185
33687,86,86115,86130,Jaunay-Marigny,jaunay marigny,46.683763,0.375076
33688,86,86115,86380,Jaunay-Marigny,jaunay marigny,46.683763,0.375076
33689,86,86116,86600,Jazeneuil,jazeneuil,46.46855469697,0.07705717171717
33690,86,86117,86500,Jouhet,jouhet,46.490192167832,0.87093237762238
33691,86,86118,86290,Journet,journet,46.476737987013,0.97677675324675
33692,86,86119,86350,Joussé,jousse,46.226553979592,0.46182428571429
33693,86,86120,86390,Lathus-Saint-Rémy,lathus saint remy,46.320303611691,0.9514885177453
33694,86,86121,86190,Latillé,latille,46.610606666667,0.0655837254902
33695,86,86122,86300,Lauthiers,lauthiers,46.606018163265,0.72549244897959
33696,86,86123,86470,Lavausseau,lavausseau,46.544508638743,0.08687884816754
33697,86,86124,86800,Lavoux,lavoux,46.59579040404,0.53069616161616
33698,86,86125,86450,Leigné-les-Bois,leigne les bois,46.768069037433,0.71056165775401
33699,86,86126,86300,Leignes-sur-Fontaine,leignes sur fontaine,46.507977785714,0.76633828571429
33700,86,86127,86230,Leigné-sur-Usseau,leigne sur usseau,46.917764576271,0.4774786440678
33701,86,86128,86140,Lencloître,lencloitre,46.806186089744,0.30508102564103
33702,86,86129,86270,Lésigny,lesigny,46.836414144144,0.77258936936937
33703,86,86130,86220,Leugny,leugny,46.900479382716,0.69535012345679
33704,86,86131,86410,Lhommaizé,lhommaize,46.443062330097,0.58085839805825
33705,86,86132,86290,Liglet,liglet,46.506415555556,1.0743670138889
33706,86,86133,86240,Ligugé,liguge,46.519028333333,0.3025414
33707,86,86134,86400,Linazay,linazay,46.166599090909,0.19723727272727
33708,86,86135,86800,Liniers,liniers,46.61942575,0.5262675
33709,86,86136,86400,Lizant,lizant,46.082872857143,0.28111864285714
33710,86,86137,86200,Loudun,loudun,47.013714631579,0.09869815789474
33711,86,86138,86430,Luchapt,luchapt,46.183735571429,0.77473360714286
33712,86,86139,86600,Lusignan,lusignan,46.439922821782,0.11215985148515
33713,86,86140,86320,Lussac-les-Châteaux,lussac les chateaux,46.402221458333,0.73790354166667
33714,86,86141,86160,Magné,magne,46.349019519231,0.39052798076923
33715,86,86142,86190,Maillé,maille,46.674233888889,0.09881777777778
33716,86,86143,86270,Mairé,maire,46.857689099099,0.72656522522523
33717,86,86144,86170,Maisonneuve,maisonneuve,46.718043333333,0.04710616666667
33718,86,86145,86370,Marçay,marcay,46.469641619718,0.22516204225352
33719,86,86147,86370,Marigny-Chemereau,marigny chemereau,46.425228454545,0.21536472727273
33720,86,86148,86160,Marnay,marnay,46.39531729064,0.35219275862069
33721,86,86149,86330,Martaizé,martaize,46.920218493151,0.05623301369863
33722,86,86150,86170,Massognes,massognes,46.74928797619,0.06175869047619
33723,86,86151,86200,Maulay,maulay,46.964583803681,0.21031932515337
33724,86,86152,86460,Mauprévoir,mauprevoir,46.164763232323,0.51505363636364
33725,86,86153,86320,Mazerolles,mazerolles,46.401231946903,0.66164548672566
33726,86,86154,86110,Mazeuil,mazeuil,46.79056049505,0.0824597029703
33727,86,86156,86200,Messemé,messeme,47.01000440678,0.16489966101695
33728,86,86157,86550,Mignaloux-Beauvoir,mignaloux beauvoir,46.554343305785,0.40962429752066
33729,86,86158,86440,Migné-Auxances,migne auxances,46.632869316239,0.29617982905983
33730,86,86159,86150,Millac,millac,46.194786043478,0.70390813043478
33731,86,86160,86110,Mirebeau,mirebeau,46.789161617647,0.19907742647059
33732,86,86161,86330,Moncontour,moncontour,46.859908442623,-0.0025718852459
33733,86,86162,86230,Mondion,mondion,46.935448026316,0.47208118421053
33734,86,86163,86360,Montamisé,montamise,46.629035620915,0.43915359477124
33735,86,86164,86210,Monthoiron,monthoiron,46.729351875,0.616417
33736,86,86165,86500,Montmorillon,montmorillon,46.433752277228,0.88606014851485
33737,86,86166,86470,Montreuil-Bonnin,montreuil bonnin,46.555291365639,0.12972665198238
