,,,,-FINISTERE,,,
10589,29,29083,29990,Île-de-Sein,ile de sein,48.038278181818,-4.8542854545455
10590,29,29084,29259,Île-Molène,ile molene,48.398314736842,-4.9564331578947
10591,29,29085,29980,Île-Tudy,ile tudy,47.850535945946,-4.1639413513514
10592,29,29086,29460,Irvillac,irvillac,48.365728412698,-4.1998753968254
10593,29,29087,29100,Le Juch,le juch,48.057727945946,-4.2665458378378
10594,29,29089,29270,Kergloff,kergloff,48.278985953177,-3.6410687625418
10595,29,29090,29100,Kerlaz,kerlaz,48.089827962085,-4.2668260189573
10596,29,29091,29890,Kerlouan,kerlouan,48.648120607287,-4.3856457894737
10597,29,29093,29260,Kernilis,kernilis,48.573869924242,-4.4180052272727
10598,29,29094,29260,Kernouës,kernoues,48.595711823899,-4.3432908805031
10599,29,29095,29860,Kersaint-Plabennec,kersaint plabennec,48.486106150628,-4.3636233472803
10600,29,29097,29400,Lampaul-Guimiliau,lampaul guimiliau,48.485634897119,-4.0416251851852
10601,29,29098,29810,Lampaul-Plouarzel,lampaul plouarzel,48.453989005848,-4.7670275438597
10602,29,29099,29830,Lampaul-Ploudalmézeau,lampaul ploudalmezeau,48.557201489362,-4.6508034042553
10603,29,29100,29260,Lanarvily,lanarvily,48.5604195,-4.3851726
10604,29,29101,29870,Landéda,landeda,48.594285815385,-4.5924199076923
10605,29,29102,29530,Landeleau,landeleau,48.250776318681,-3.733933021978
10606,29,29103,29800,Landerneau,landerneau,48.451181517857,-4.2649975446429
10607,29,29104,29560,Landévennec,landevennec,48.281853922652,-4.3062638121547
10608,29,29105,29400,Landivisiau,landivisiau,48.514257446808,-4.0587938297872
10609,29,29106,29510,Landrévarzec,landrevarzec,48.087782993197,-4.0776073469388
10610,29,29107,29510,Landudal,landudal,48.058079264069,-3.9786945021645
10611,29,29108,29710,Landudec,landudec,47.993900425532,-4.3321071631206
10612,29,29109,29840,Landunvez,landunvez,48.537364318182,-4.737649025974
10613,29,29110,29510,Langolen,langolen,48.073547306273,-3.9114495940959
10614,29,29111,29430,Lanhouarneau,lanhouarneau,48.57437930131,-4.2065358078603
10615,29,29112,29840,Lanildut,lanildut,48.478943366337,-4.742322029703
10616,29,29113,29620,Lanmeur,lanmeur,48.643541397849,-3.7214972043011
10617,29,29114,29640,Lannéanou,lanneanou,48.501148096886,-3.6655661245675
10618,29,29115,29190,Lannédern,lannedern,48.292661935484,-3.9044277419355
10619,29,29116,29400,Lanneuffret,lanneuffret,48.495083473684,-4.2023554736842
10620,29,29117,29870,Lannilis,lannilis,48.568362277992,-4.5258831660232
10621,29,29119,29290,Lanrivoaré,lanrivoare,48.460784583333,-4.6381833854167
10622,29,29120,29160,Lanvéoc,lanveoc,48.272481209677,-4.4469332258065
10623,29,29122,29520,Laz,laz,48.128150514905,-3.832696504065
10624,29,29123,29190,Lennon,lennon,48.209592237762,-3.9016595104895
10625,29,29124,29260,Lesneven,lesneven,48.581156813725,-4.3113719607843
10626,29,29125,29390,Leuhan,leuhan,48.10331844086,-3.7851593548387
10627,29,29126,29260,Loc-Brévalaire,loc brevalaire,48.555214509804,-4.4068041176471
10628,29,29128,29400,Loc-Eguiner,loc eguiner,48.47476856383,-4.0948313297872
10629,29,29129,29690,Locmaria-Berrien,locmaria berrien,48.36541221519,-3.702555443038
10630,29,29130,29280,Locmaria-Plouzané,locmaria plouzane,48.368058311688,-4.6489474675325
10631,29,29131,29400,Locmélar,locmelar,48.451930761421,-4.0592345685279
10632,29,29132,29670,Locquénolé,locquenole,48.624105862069,-3.8626106896552
10633,29,29133,29241,Locquirec,locquirec,48.683252205128,-3.6709338974359
10634,29,29134,29180,Locronan,locronan,48.096671854839,-4.2154104032258
10635,29,29135,29750,Loctudy,loctudy,47.829102305296,-4.1827599065421
10636,29,29136,29310,Locunolé,locunole,47.923826107383,-3.4871975167785
10637,29,29137,29460,Logonna-Daoulas,logonna daoulas,48.32567154047,-4.3003715665796
10638,29,29139,29590,Lopérec,loperec,48.305645182724,-4.0337308637874
10639,29,29140,29470,Loperhet,loperhet,48.374505400593,-4.3148908011869
10640,29,29141,29530,Loqueffret,loqueffret,48.328692619647,-3.851664836272
10641,29,29142,29190,Lothey,lothey,48.182503076923,-4.022521978022
10642,29,29143,29790,Mahalon,mahalon,48.033165651106,-4.415441990172
10643,29,29144,29800,La Martyre,la martyre,48.432508272727,-4.1699104242424
10644,29,29145,29790,Confort-Meilars,confort meilars,48.051194568345,-4.4392170503597
10645,29,29146,29140,Melgven,melgven,47.912335496183,-3.8406284732824
10646,29,29147,29300,Mellac,mellac,47.894776989247,-3.591032688172
10647,29,29148,29420,Mespaul,mespaul,48.615058380567,-4.033628340081
10648,29,29150,29350,Moëlan-sur-Mer,moelan sur mer,47.803944301075,-3.6583710215054
10649,29,29151,29600,Morlaix,morlaix,48.596339773585,-3.8150733207547
10650,29,29152,29270,Motreff,motreff,48.218776075581,-3.5643418023256
10651,29,29153,29920,Névez,nevez,47.811408304668,-3.7670717444717
10652,29,29155,29242,Ouessant,ouessant,48.460197214815,-5.0903701407407
10653,29,29156,29800,Pencran,pencran,48.445709751553,-4.217250621118
10654,29,29158,29760,Penmarch,penmarch,47.812918821429,-4.3535698571429
10655,29,29159,29710,Peumerit,peumerit,47.946524522613,-4.2953647236181
10656,29,29160,29860,Plabennec,plabennec,48.496925319149,-4.4192963829787
10657,29,29161,29170,Pleuven,pleuven,47.912763333333,-4.0469041025641
10658,29,29162,29190,Pleyben,pleyben,48.246348142077,-3.9647439344262
10659,29,29163,29410,Pleyber-Christ,pleyber christ,48.506345041152,-3.8730911522634
10660,29,29165,29740,Plobannalec-Lesconil,plobannalec lesconil,47.819040785124,-4.2247205371901
10661,29,29166,29550,Ploéven,ploeven,48.155816521739,-4.2177938647343
