,,,,-CORSE-DU-SUD,,,
10870,2A,2A209,20167,Peri,peri,42.002968151261,8.9009185294118
10871,2A,2A211,20140,Petreto-Bicchisano,petreto bicchisano,41.777799961089,8.9683752529183
10872,2A,2A212,20115,Piana,piana,42.228429234528,8.6028608794788
10873,2A,2A215,20131,Pianottoli-Caldarello,pianottoli caldarello,41.493054974705,9.0441329342327
10874,2A,2A228,20166,Pietrosella,pietrosella,41.834112142857,8.7998051714286
10875,2A,2A232,20123,Pila-Canale,pila canale,41.790409945946,8.8943363243243
10876,2A,2A240,20125,Poggiolo,poggiolo,42.176225,8.908917
10877,2A,2A240,20160,Poggiolo,poggiolo,42.176225,8.908917
10878,2A,2A247,20137,Porto-Vecchio,porto vecchio,41.566230466667,9.299950275
10879,2A,2A249,20110,Propriano,propriano,41.657131009615,8.8954650961538
10880,2A,2A253,20142,Quasquara,quasquara,41.910430447761,9.0073247761194
10881,2A,2A254,20122,Quenza,quenza,41.797713682796,9.1937723655914
10882,2A,2A258,20160,Renno,renno,42.203435,8.8182433333333
10883,2A,2A259,20121,Rezza,rezza,42.127868230769,8.9516535384615
10884,2A,2A262,20121,Rosazia,rosazia,42.124800875,8.859526625
10885,2A,2A266,20121,Salice,salice,42.103603372781,8.9000501183432
10886,2A,2A268,20134,Sampolo,sampolo,41.944902698413,9.1199826190476
10887,2A,2A269,20145,Sari-Solenzara,sari solenzara,41.826887327586,9.3776385632184
10888,2A,2A270,20151,Sari-d'Orcino,sari d orcino,42.065372227074,8.8271751965066
10889,2A,2A271,20167,Sarrola-Carcopino,sarrola carcopino,41.998801549296,8.832360528169
10890,2A,2A272,20100,Sartène,sartene,41.568658461538,8.8961716581197
10891,2A,2A276,20140,Serra-di-Ferro,serra di ferro,41.733813970223,8.8036096277916
10892,2A,2A278,20127,Serra-di-Scopamène,serra di scopamene,41.777868823529,9.1106938655462
10893,2A,2A279,20147,Serriera,serriera,42.309630263158,8.7255706842105
10894,2A,2A282,20125,Soccia,soccia,42.207974508671,8.9244244508671
10895,2A,2A284,20140,Sollacaro,sollacaro,41.739356523438,8.87607578125
10896,2A,2A285,20152,Sorbollano,sorbollano,41.748140072993,9.1138445985401
10897,2A,2A288,20146,Sotta,sotta,41.551049407666,9.1804705574913
10898,2A,2A295,20151,Sant'Andréa-d'Orcino,sant andrea d orcino,42.049673975155,8.7792844720497
10899,2A,2A300,20170,San-Gavino-di-Carbini,san gavino di carbini,41.686324318182,9.2273023181818
10900,2A,2A308,20112,Sainte-Lucie-de-Tallano,sainte lucie de tallano,41.679679553265,9.0543267010309
10901,2A,2A310,20143,Santa-Maria-Figaniella,santa maria figaniella,41.716358484848,9.0049168939394
10902,2A,2A312,20190,Santa-Maria-Siché,santa maria siche,41.882693289474,8.9826280263158
10903,2A,2A322,20134,Tasso,tasso,41.946014855491,9.0933477456647
10904,2A,2A323,20167,Tavaco,tavaco,42.032001932773,8.8864333613445
10905,2A,2A324,20163,Tavera,tavera,42.06752034965,9.0233895804196
10906,2A,2A326,20117,Tolla,tolla,41.96445242915,8.9687963967611
