,,,,-TARN-ET-GARONNE,,,
32889,82,82085,82290,Lacourt-Saint-Pierre,lacourt saint pierre,43.988924883721,1.2720288372093
32890,82,82086,82100,Lafitte,lafitte,43.974611408451,1.1133061971831
32891,82,82087,82130,Lafrançaise,lafrancaise,44.13506,1.2402263179916
32892,82,82088,82250,Laguépie,laguepie,44.162631458333,1.9630300694444
32893,82,82089,82360,Lamagistère,lamagistere,44.132569326923,0.82858711538462
32894,82,82090,82130,Lamothe-Capdeville,lamothe capdeville,44.097377734375,1.3922840625
32895,82,82091,82500,Lamothe-Cumont,lamothe cumont,43.881844673913,0.91702532608696
32896,82,82092,82240,Lapenche,lapenche,44.225418034188,1.5735976068376
32897,82,82093,82500,Larrazet,larrazet,43.930097741935,1.0856555376344
32898,82,82094,82110,Lauzerte,lauzerte,44.269502464183,1.1224094842407
32899,82,82095,82240,Lavaurette,lavaurette,44.212308596491,1.6617721929825
32900,82,82096,82290,La Ville-Dieu-du-Temple,la ville dieu du temple,44.045270164835,1.2198861538462
32901,82,82097,82120,Lavit,lavit,43.957267323944,0.92916492957746
32902,82,82098,82230,Léojac,leojac,44.004978257576,1.4503247727273
32903,82,82099,82200,Lizac,lizac,44.115976219512,1.1859375609756
32904,82,82100,82160,Loze,loze,44.291853292683,1.7508320121951
32905,82,82101,82200,Malause,malause,44.0937125,0.97062759615385
32906,82,82102,82120,Mansonville,mansonville,44.01807122905,0.85124296089385
32907,82,82103,82500,Marignac,marignac,43.843802315789,0.91636957894737
32908,82,82104,82120,Marsac,marsac,43.949030816327,0.82041054421769
32909,82,82105,82600,Mas-Grenier,mas grenier,43.8944571875,1.184160234375
32910,82,82106,82500,Maubec,maubec,43.80483920398,0.92045587064677
32911,82,82107,82120,Maumusson,maumusson,43.910581940298,0.90600492537313
32912,82,82108,82290,Meauzac,meauzac,44.091985443038,1.2304505063291
32913,82,82109,82210,Merles,merles,44.062368703704,0.97032898148148
32914,82,82110,82440,Mirabel,mirabel,44.139057040359,1.4171484304933
32915,82,82111,82190,Miramont-de-Quercy,miramont de quercy,44.229824745763,1.0518348305085
32916,82,82112,82200,Moissac,moissac,44.133632830189,1.0955048113207
32917,82,82113,82220,Molières,molieres,44.195491685393,1.388761835206
32918,82,82114,82170,Monbéqui,monbequi,43.891397792208,1.2319663636364
32919,82,82115,82230,Monclar-de-Quercy,monclar de quercy,43.990884461538,1.581089025641
32920,82,82116,82110,Montagudet,montagudet,44.245385350877,1.0891562280702
32921,82,82117,82150,Montaigu-de-Quercy,montaigu de quercy,44.347614005682,1.0343407102273
32922,82,82118,82100,Montaïn,montain,43.939777894737,1.113415
32923,82,82119,82270,Montalzat,montalzat,44.203726712963,1.5193864351852
32924,82,82120,82130,Montastruc,montastruc,44.106785428571,1.2957901428571
32925,82,82121,82000,Montauban,montauban,44.022476439791,1.371655078534
32926,82,82122,82110,Montbarla,montbarla,44.211754069767,1.0813112790698
32927,82,82123,82700,Montbartier,montbartier,43.916579351852,1.2894457407407
32928,82,82124,82290,Montbeton,montbeton,44.01458536,1.2731816
32929,82,82125,82700,Montech,montech,43.953988478261,1.2364640869565
32930,82,82126,82300,Monteils,monteils,44.174787053571,1.5634455357143
32931,82,82127,82200,Montesquieu,montesquieu,44.177043060109,1.0666280874317
32932,82,82128,82270,Montfermier,montfermier,44.228728695652,1.4182439130435
32933,82,82129,82120,Montgaillard,montgaillard,43.931793490566,0.87816122641509
32934,82,82130,82400,Montjoi,montjoi,44.203837884615,0.93226153846154
32935,82,82131,82270,Montpezat-de-Quercy,montpezat de quercy,44.245080147493,1.4667381120944
32936,82,82132,82800,Montricoux,montricoux,44.106696097561,1.6210211585366
32937,82,82133,82160,Mouillac,mouillac,44.275783976608,1.6666113450292
32938,82,82134,82800,Nègrepelisse,negrepelisse,44.062822394366,1.521508685446
32939,82,82135,82370,Nohic,nohic,43.886448736842,1.4310504210526
32940,82,82136,82370,Orgueil,orgueil,43.894845247525,1.4001141584158
32941,82,82137,82160,Parisot,parisot,44.258641435897,1.8653958974359
32942,82,82138,82400,Perville,perville,44.180280089286,0.88421276785714
32943,82,82139,82340,Le Pin,le pin,44.038228139535,0.97199313953488
32944,82,82140,82130,Piquecos,piquecos,44.104879793814,1.3176022680412
32945,82,82141,82400,Pommevic,pommevic,44.094160434783,0.93822376811594
32946,82,82142,82170,Pompignan,pompignan,43.8172278,1.3240419
32947,82,82143,82120,Poupas,poupas,43.965383837209,0.829755
32948,82,82144,82220,Puycornet,puycornet,44.154073823529,1.3207819411765
32949,82,82145,82800,Puygaillard-de-Quercy,puygaillard de quercy,44.02995611465,1.6271988535032
32950,82,82146,82120,Puygaillard-de-Lomagne,puygaillard de lomagne,43.970168455285,0.89150390243902
32951,82,82147,82160,Puylagarde,puylagarde,44.303685209581,1.8432099401198
32952,82,82148,82240,Puylaroque,puylaroque,44.25214655914,1.6421924462366
32953,82,82149,82440,Réalville,realville,44.128448669528,1.4774414592275
32954,82,82150,82370,Reyniès,reynies,43.929420444444,1.4128653333333
32955,82,82151,82150,Roquecor,roquecor,44.314053428571,0.94948164285714
32956,82,82152,82100,Saint-Aignan,saint aignan,44.023707128713,1.0731637623762
32957,82,82153,82150,Saint-Amans-du-Pech,saint amans du pech,44.31101443299,0.89034762886598
