,,,,-MANCHE,,,
18470,50,50451,50300,Saint-Brice,saint brice,48.701378970588,-1.2991680147059
18471,50,50452,50730,Saint-Brice-de-Landelles,saint brice de landelles,48.540999481132,-1.1318943867925
18472,50,50453,50800,Sainte-Cécile,sainte cecile,48.834462687225,-1.1890453303965
18473,50,50454,50340,Saint-Christophe-du-Foc,saint christophe du foc,49.555023333333,-1.7332145977011
18474,50,50455,50680,Saint-Clair-sur-l'Elle,saint clair sur l elle,49.187494920635,-1.0423383333333
18475,50,50456,50140,Saint-Clément-Rancoudray,saint clement rancoudray,48.66394486618,-0.88866114355231
18476,50,50457,50390,Sainte-Colombe,sainte colombe,49.416086210526,-1.5129977894737
18477,50,50461,50310,Saint-Cyr,saint cyr,49.486076923077,-1.4145477692308
18478,50,50462,50720,Saint-Cyr-du-Bailleul,saint cyr du bailleul,48.570549609929,-0.83751177304965
18479,50,50463,50450,Saint-Denis-le-Gast,saint denis le gast,48.938115179487,-1.3259371794872
18480,50,50464,50210,Saint-Denis-le-Vêtu,saint denis le vetu,48.989738333333,-1.3800632758621
18481,50,50467,50310,Saint-Floxel,saint floxel,49.48709972028,-1.3551923776224
18482,50,50468,50620,Saint-Fromond,saint fromond,49.226563623188,-1.1066108695652
18483,50,50469,50760,Sainte-Geneviève,sainte genevieve,49.661571578947,-1.3085296052632
18484,50,50471,50270,Saint-Georges-de-la-Rivière,saint georges de la riviere,49.366468548387,-1.7224848387097
18485,50,50472,50370,Saint-Georges-de-Livoye,saint georges de livoye,48.739074322034,-1.2206528813559
18486,50,50473,50680,Saint-Georges-d'Elle,saint georges d elle,49.155684141414,-0.97766181818182
18487,50,50474,50720,Saint-Georges-de-Rouelley,saint georges de rouelley,48.62040318408,-0.77656059701493
18488,50,50475,50000,Saint-Georges-Montcocq,saint georges montcocq,49.13550468254,-1.1076676984127
18489,50,50476,50810,Saint-Germain-d'Elle,saint germain d elle,49.119158717949,-0.9217708974359
18490,50,50478,50700,Saint-Germain-de-Tournebut,saint germain de tournebut,49.527736465517,-1.4004515517241
18491,50,50479,50480,Saint-Germain-de-Varreville,saint germain de varreville,49.435055084746,-1.2519072881356
18492,50,50480,50340,Saint-Germain-le-Gaillard,saint germain le gaillard,49.489753515151,-1.7786265454545
18493,50,50481,50430,Saint-Germain-sur-Ay,saint germain sur ay,49.233553505747,-1.6018959770115
18494,50,50482,50190,Saint-Germain-sur-Sèves,saint germain sur seves,49.224418833333,-1.3776861666667
18495,50,50483,50180,Saint-Gilles,saint gilles,49.096884954955,-1.1613018918919
18496,50,50484,50600,Saint-Hilaire-du-Harcouët,saint hilaire du harcouet,48.577086,-1.092034
18497,50,50484,50730,Saint-Hilaire-du-Harcouët,saint hilaire du harcouet,48.577086,-1.092034
18498,50,50485,50500,Saint-Hilaire-Petitville,saint hilaire petitville,49.304028289474,-1.2116076315789
18499,50,50486,50390,Saint-Jacques-de-Néhou,saint jacques de nehou,49.422751481481,-1.6197125925926
18500,50,50487,50240,Saint-James,saint james,48.515429585714,-1.3730045857143
18501,50,50488,50620,Saint-Jean-de-Daye,saint jean de daye,49.231302359551,-1.1381793258427
18502,50,50489,50300,Saint-Jean-de-la-Haize,saint jean de la haize,48.719479358289,-1.3600882352941
18503,50,50490,50270,Saint-Jean-de-la-Rivière,saint jean de la riviere,49.373553529412,-1.7327033823529
18504,50,50491,50680,Saint-Jean-de-Savigny,saint jean de savigny,49.1899178125,-1.0036271875
18505,50,50492,50810,Saint-Jean-d'Elle,saint jean d elle,49.091789363296,-0.94277554307116
18506,50,50493,50320,Saint-Jean-des-Champs,saint jean des champs,48.823101711712,-1.4643027327327
18507,50,50495,50370,Saint-Jean-du-Corail-des-Bois,saint jean du corail des bois,48.771051470588,-1.2039583333333
18508,50,50496,50530,Saint-Jean-le-Thomas,saint jean le thomas,48.728238970588,-1.5132417647059
18509,50,50498,50700,Saint-Joseph,saint joseph,49.531328157895,-1.5263123684211
18510,50,50499,50670,Saint-Laurent-de-Cuves,saint laurent de cuves,48.745941244813,-1.1200496680498
18511,50,50500,50240,Saint-Laurent-de-Terregatte,saint laurent de terregatte,48.57045133758,-1.2451991719745
18512,50,50502,50000,Saint-Lô,saint lo,49.105617288889,-1.0869916888889
18513,50,50503,50580,Saint-Lô-d'Ourville,saint lo d ourville,49.334807431694,-1.6694271584699
18514,50,50504,50420,Saint-Louet-sur-Vire,saint louet sur vire,48.994164863014,-0.98832678082192
18515,50,50505,50300,Saint-Loup,saint loup,48.663272,-1.3045709230769
18516,50,50506,50200,Saint-Malo-de-la-Lande,saint malo de la lande,49.0627232,-1.5436256
18517,50,50507,50310,Saint-Marcouf,saint marcouf,49.480826564885,-1.2687383969466
18518,50,50509,50480,Sainte-Marie-du-Mont,sainte marie du mont,49.390176825397,-1.2105962433862
18519,50,50510,50190,Saint-Martin-d'Aubigny,saint martin d aubigny,49.168206932515,-1.3613234355828
18520,50,50511,50310,Saint-Martin-d'Audouville,saint martin d audouville,49.528327325581,-1.3705334883721
18521,50,50512,50750,Saint-Martin-de-Bonfossé,saint martin de bonfosse,49.041075661376,-1.1784236507937
18522,50,50513,50210,Saint-Martin-de-Cenilly,saint martin de cenilly,48.979267536232,-1.2883610144927
18523,50,50514,50150,Chaulieu,chaulieu,48.747528533333,-0.85475913333333
18524,50,50516,50300,Saint-Martin-des-Champs,saint martin des champs,48.664823764706,-1.3368502352941
18525,50,50517,50480,Saint-Martin-de-Varreville,saint martin de varreville,49.426890178571,-1.2412423214286
18526,50,50518,50800,Saint-Martin-le-Bouillant,saint martin le bouillant,48.779541466667,-1.1601141333333
18527,50,50519,50690,Saint-Martin-le-Gréard,saint martin le greard,49.554059638554,-1.645643253012
18528,50,50521,50800,Saint-Maur-des-Bois,saint maur des bois,48.819807669173,-1.1531904511278
18529,50,50522,50270,Saint-Maurice-en-Cotentin,saint maurice en cotentin,49.393368571429,-1.7032876190476
18530,50,50523,50480,Sainte-Mère-Église,sainte mere eglise,49.412921515151,-1.3155623863636
18531,50,50524,50490,Saint-Michel-de-la-Pierre,saint michel de la pierre,49.135437364341,-1.3823914728682
18532,50,50525,50670,Saint-Michel-de-Montjoie,saint michel de montjoie,48.765605544554,-1.0264417821782
18533,50,50528,50250,Saint-Nicolas-de-Pierrepont,saint nicolas de pierrepont,49.319789789474,-1.5845437894737
18534,50,50529,50370,Saint-Nicolas-des-Bois,saint nicolas des bois,48.761048737864,-1.1908987378641
18535,50,50531,50220,Saint-Ovin,saint ovin,48.680737,-1.259461
18536,50,50531,50300,Saint-Ovin,saint ovin,48.680737,-1.259461
18537,50,50532,50380,Saint-Pair-sur-Mer,saint pair sur mer,48.802529184783,-1.5427922826087
18538,50,50533,50190,Saint-Patrice-de-Claids,saint patrice de claids,49.226377419355,-1.4459913978495
18539,50,50535,50870,Le Parc,le parc,48.758013333333,-1.298872962963
18540,50,50536,50270,Saint-Pierre-d'Arthéglise,saint pierre d artheglise,49.41870183908,-1.6839906896552
18541,50,50537,50200,Saint-Pierre-de-Coutances,saint pierre de coutances,49.039617730061,-1.437140797546
18542,50,50538,50810,Saint-Pierre-de-Semilly,saint pierre de semilly,49.119018292683,-1.0029573170732
18543,50,50539,50330,Saint-Pierre-Église,saint pierre eglise,49.672411408451,-1.3963486619718
18544,50,50540,50530,Saint-Pierre-Langers,saint pierre langers,48.786103055556,-1.4939191666667
18545,50,50541,50400,Saint-Planchers,saint planchers,48.828356666667,-1.5079832777778
18546,50,50542,50670,Saint-Pois,saint pois,48.752174610778,-1.0578356886228
18547,50,50543,50220,Saint-Quentin-sur-le-Homme,saint quentin sur le homme,48.643935625,-1.2964275
18548,50,50546,50750,Bourgvallées,bourgvallees,49.059304008097,-1.100131659919
18549,50,50548,50250,Saint-Sauveur-de-Pierrepont,saint sauveur de pierrepont,49.336261900826,-1.6074202479339
18550,50,50549,50510,Saint-Sauveur-la-Pommeraye,saint sauveur la pommeraye,48.841592142857,-1.4383830952381
18551,50,50550,50490,Saint-Sauveur-Lendelin,saint sauveur lendelin,49.128477423581,-1.4049472489083
18552,50,50551,50390,Saint-Sauveur-le-Vicomte,saint sauveur le vicomte,49.380430457516,-1.5466777124183
18553,50,50552,50190,Saint-Sébastien-de-Raids,saint sebastien de raids,49.190568761905,-1.3740861904762
18554,50,50553,50240,Saint-Senier-de-Beuvron,saint senier de beuvron,48.558061710526,-1.3205251315789
18555,50,50554,50300,Saint-Senier-sous-Avranches,saint senier sous avranches,48.692892559524,-1.3160446428571
18556,50,50556,50750,Sainte-Suzanne-sur-Vire,sainte suzanne sur vire,49.073060243902,-1.0593456097561
18557,50,50562,50550,Saint-Vaast-la-Hougue,saint vaast la hougue,49.594481955307,-1.2676899441341
18558,50,50563,50420,Saint-Vigor-des-Monts,saint vigor des monts,48.909482325581,-1.0436404186046
18559,50,50564,50500,Terre-et-Marais,terre et marais,49.251521146497,-1.3088303821656
18560,50,50565,50530,Sartilly-Baie-Bocage,sartilly baie bocage,48.75018,-1.4526812727273
18561,50,50567,50700,Saussemesnil,saussemesnil,49.57264503268,-1.4864490849673
18562,50,50568,50200,Saussey,saussey,49.01161021978,-1.4245996703297
18563,50,50569,50210,Savigny,savigny,49.052834353741,-1.3327974829932
18564,50,50570,50640,Savigny-le-Vieux,savigny le vieux,48.515232786885,-1.0289395901639
18565,50,50571,50480,Sébeville,sebeville,49.387991764706,-1.2808797058824
18566,50,50572,50270,Sénoville,senoville,49.432224148936,-1.7705118085106
18567,50,50573,50200,Servigny,servigny,49.091224470588,-1.4871174117647
18568,50,50574,50170,Servon,servon,48.600440526316,-1.4053398496241
18569,50,50575,50690,Sideville,sideville,49.593176818182,-1.684191875
18570,50,50576,50340,Siouville-Hague,siouville hague,49.559932125984,-1.8317233070866
18571,50,50577,50270,Sortosville-en-Beaumont,sortosville en beaumont,49.428107,-1.6966176428571
18572,50,50578,50310,Sortosville,sortosville,49.482712615385,-1.4300684615385
18573,50,50579,50260,Sottevast,sottevast,49.520357894737,-1.6070510526316
18574,50,50580,50340,Sotteville,sotteville,49.537944827586,-1.7518404310345
18575,50,50581,50750,Soulles,soulles,49.011367984496,-1.1912796899225
18576,50,50582,50150,Sourdeval,sourdeval,48.72968904,-0.90446384
18577,50,50583,50450,Sourdeval-les-Bois,sourdeval les bois,48.91312952381,-1.27332
18578,50,50584,50870,Subligny,subligny,48.753625462963,-1.3651193518518
18579,50,50585,50270,Surtainville,surtainville,49.454162012579,-1.7771873584906
18580,50,50587,50390,Taillepied,taillepied,49.362591647059,-1.5846817647059
18581,50,50588,50700,Tamerville,tamerville,49.541933206522,-1.4633170652174
18582,50,50589,50170,Tanis,tanis,48.583705408163,-1.4470978571429
18583,50,50590,50320,Le Tanu,le tanu,48.806077698413,-1.3334465476191
18584,50,50591,50640,Le Teilleul,le teilleul,48.540628322581,-0.89484991935484
18585,50,50592,50420,Tessy-Bocage,tessy bocage,48.963648913044,-1.067309048913
18586,50,50593,50630,Teurthéville-Bocage,teurtheville bocage,49.59377040404,-1.3952722222222
18587,50,50594,50690,Teurthéville-Hague,teurtheville hague,49.581849896907,-1.7347984536083
18588,50,50596,50330,Théville,theville,49.649480900901,-1.4183316216216
18589,50,50597,50870,Tirepied,tirepied,48.716714635762,-1.2750037086093
18590,50,50598,50330,Tocqueville,tocqueville,49.671630190476,-1.3379662857143
18591,50,50599,50470,Tollevast,tollevast,49.57570025974,-1.6077651298701
18592,50,50601,50160,Torigny-les-Villes,torigny les villes,49.004718259668,-0.98051066298343
18593,50,50603,50200,Tourville-sur-Sienne,tourville sur sienne,49.050502575758,-1.5281483333333
18594,50,50604,50340,Tréauville,treauville,49.539060216216,-1.8303493513514
18595,50,50605,50660,Trelly,trelly,48.960060456621,-1.4202049315068
18596,50,50606,50620,Tribehou,tribehou,49.208945426829,-1.2493644512195
18597,50,50607,50800,La Trinité,la trinite,48.791966946108,-1.2452394610778
18598,50,50609,50480,Turqueville,turqueville,49.40521234375,-1.2693759375
18599,50,50610,50700,Urville,urville,49.450549343066,-1.4418318248175
18600,50,50612,50300,Vains,vains,48.674263238095,-1.4288920952381
18601,50,50613,50760,Valcanville,valcanville,49.645820390625,-1.3202625
18602,50,50615,50700,Valognes,valognes,49.513583522013,-1.4726258490566
18603,50,50616,50300,Le Val-Saint-Père,le val saint pere,48.660892395833,-1.3705047916667
18604,50,50617,50250,Varenguebec,varenguebec,49.340478609865,-1.4947152914798
18605,50,50618,50330,Varouville,varouville,49.66911712963,-1.3729580555556
18606,50,50619,50630,Le Vast,le vast,49.620778787879,-1.3606247272727
18607,50,50621,50310,Vaudreville,vaudreville,49.519467777778,-1.3585230555556
18608,50,50622,50490,Vaudrimesnil,vaudrimesnil,49.161251065574,-1.4150884426229
18609,50,50624,50200,La Vendelée,la vendelee,49.083472150538,-1.455522688172
18610,50,50626,50450,Ver,ver,48.895115987654,-1.3895316666667
18611,50,50628,50370,Vernix,vernix,48.715432474227,-1.2284307216495
18612,50,50629,50430,Vesly,vesly,49.248322969432,-1.4884831004367
18613,50,50633,50760,Le Vicel,le vicel,49.634627155172,-1.3169875
18614,50,50634,50630,Videcosville,videcosville,49.566657741935,-1.3710101612903
18615,50,50636,50480,Vierville,vierville,49.349907580645,-1.2321257258064
18616,50,50637,50410,Villebaudon,villebaudon,48.965881048951,-1.173638041958
18617,50,50639,50800,Villedieu-les-Poêles-Rouffigny,villedieu les poeles rouffigny,48.823715229358,-1.2319385015291
18618,50,50641,50680,Villiers-Fossard,villiers fossard,49.164653894737,-1.0636530526316
18619,50,50643,50690,Virandeville,virandeville,49.571943855422,-1.7142478915663
18620,50,50647,50400,Yquelon,yquelon,48.8460084,-1.5524173333333
18621,50,50648,50700,Yvetot-Bocage,yvetot bocage,49.489383098592,-1.5041780985916
