,,,,-MANCHE,,,
18208,50,50108,50220,Céaux,ceaux,48.629012540984,-1.3857709016393
18209,50,50109,50510,Cérences,cerences,48.910042866894,-1.4375680887372
18210,50,50110,50680,Cerisy-la-Forêt,cerisy la foret,49.194713832117,-0.93772576642336
18211,50,50111,50210,Cerisy-la-Salle,cerisy la salle,49.031689429825,-1.2694047807018
18212,50,50112,50370,La Chaise-Baudouin,la chaise baudouin,48.761723653846,-1.2408315865385
18213,50,50115,50320,Le Grippon,le grippon,48.768543851351,-1.3910937162162
18214,50,50117,50530,Champeaux,champeaux,48.73763952381,-1.5251676190476
18215,50,50118,50800,Champrepus,champrepus,48.8333205,-1.3197642916667
18216,50,50120,50510,Chanteloup,chanteloup,48.892327843137,-1.4798115686275
18217,50,50121,50800,La Chapelle-Cécelin,la chapelle cecelin,48.810935876289,-1.1705555670103
18218,50,50124,50370,La Chapelle-Urée,la chapelle uree,48.66179987013,-1.1528854545455
18219,50,50126,50870,Chavoy,chavoy,48.737735052632,-1.3335701052632
18220,50,50129,50100,Cherbourg-en-Cotentin,cherbourg en cotentin,49.633998,-1.613426
18221,50,50129,50110,Cherbourg-en-Cotentin,cherbourg en cotentin,49.6300517,-1.5280739
18222,50,50129,50120,Cherbourg-en-Cotentin,cherbourg en cotentin,49.6432256,-1.6821972
18223,50,50129,50130,Cherbourg-en-Cotentin,cherbourg en cotentin,49.6233258,-1.6469028
18224,50,50129,50460,Cherbourg-en-Cotentin,cherbourg en cotentin,49.6629518,-1.7289547
18225,50,50129,50470,Cherbourg-en-Cotentin,cherbourg en cotentin,49.6090607,-1.5722878
18226,50,50130,50800,Chérencé-le-Héron,cherence le heron,48.799334829932,-1.2025294557823
18227,50,50135,50330,Clitourps,clitourps,49.65413483871,-1.3719604301075
18228,50,50137,50800,La Colombe,la colombe,48.875911284916,-1.1978182122905
18229,50,50138,50700,Colomby,colomby,49.4564025,-1.493107625
18230,50,50139,50420,Condé-sur-Vire,conde sur vire,49.05205,-1.037985
18231,50,50139,50890,Condé-sur-Vire,conde sur vire,49.05205,-1.037985
18232,50,50140,50660,Contrières,contrieres,48.982479215686,-1.4343243921569
18233,50,50142,50330,Vicq-sur-Mer,vicq sur mer,49.686930581818,-1.3828436
18234,50,50143,50290,Coudeville-sur-Mer,coudeville sur mer,48.868934347826,-1.5208146376812
18235,50,50144,50670,Coulouvray-Boisbenâtre,coulouvray boisbenatre,48.781563427419,-1.1007456048387
18236,50,50145,50200,Courcy,courcy,49.04415443299,-1.3936011340206
18237,50,50146,50220,Courtils,courtils,48.628987252747,-1.4194596703297
18238,50,50147,50200,Coutances,coutances,49.056714135802,-1.4437432716049
18239,50,50148,50680,Couvains,couvains,49.163192608696,-1.0079837391304
18240,50,50149,50690,Couville,couville,49.559032692308,-1.6817345384615
18241,50,50150,50630,Crasville,crasville,49.555347179487,-1.33883
18242,50,50151,50710,Créances,creances,49.203161949153,-1.553531440678
18243,50,50152,50370,Les Cresnays,les cresnays,48.712086990741,-1.1159274074074
18244,50,50155,50220,Crollon,crollon,48.581440347826,-1.3830006086956
18245,50,50156,50360,Crosville-sur-Douve,crosville sur douve,49.387500462963,-1.4771675
18246,50,50158,50670,Cuves,cuves,48.725630686275,-1.1024895098039
18247,50,50159,50750,Dangy,dangy,49.026943917526,-1.2227604639175
18248,50,50160,50580,Denneville,denneville,49.318538585859,-1.6571012121212
18249,50,50161,50620,Le Dézert,le dezert,49.212608102564,-1.1678454358974
18250,50,50162,50110,Digosville,digosville,49.634102447552,-1.5299295804196
18251,50,50164,50420,Domjean,domjean,48.993816226415,-1.0250578616352
18252,50,50165,50350,Donville-les-Bains,donville les bains,48.848321463415,-1.5704424390244
18253,50,50166,50250,Doville,doville,49.335674202128,-1.5483302659575
18254,50,50167,50530,Dragey-Ronthon,dragey ronthon,48.720005546875,-1.487218359375
18255,50,50168,50220,Ducey-Les Chéris,ducey les cheris,48.624731985816,-1.2646375531915
