,,,,-HAUTE-VIENNE,,,
33934,87,87082,87500,Ladignac-le-Long,ladignac le long,45.583997068558,1.1062127186761
33935,87,87083,87370,Laurière,lauriere,46.077052631579,1.5048291578947
33936,87,87084,87230,Lavignac,lavignac,45.720528050847,1.1235377966102
33937,87,87085,87000,Limoges,limoges,45.8162774,1.2623048
33938,87,87085,87100,Limoges,limoges,45.8452801,1.2140596
33939,87,87085,87280,Limoges,limoges,45.8873131,1.2803314
33940,87,87086,87130,Linards,linards,45.702111164835,1.5351978021978
33941,87,87087,87360,Lussac-les-Églises,lussac les eglises,46.339654226804,1.1721853608247
33942,87,87088,87380,Magnac-Bourg,magnac bourg,45.603455621891,1.4339849253731
33943,87,87089,87190,Magnac-Laval,magnac laval,46.231201793103,1.1708427356322
33944,87,87090,87160,Mailhac-sur-Benaize,mailhac sur benaize,46.31303552795,1.3185739751553
33945,87,87091,87440,Maisonnais-sur-Tardoire,maisonnais sur tardoire,45.711738476821,0.68117208609271
33946,87,87092,87440,Marval,marval,45.629989835165,0.8049960989011
33947,87,87093,87130,Masléon,masleon,45.76493878453,1.5731824309392
33948,87,87094,87800,Meilhac,meilhac,45.714161923077,1.1567640598291
33949,87,87095,87380,Meuzac,meuzac,45.548431941489,1.4125002659574
33950,87,87096,87800,La Meyze,la meyze,45.606365441696,1.1905538162544
33951,87,87097,87330,Val d'Issoire,val d issoire,46.085134879032,0.88336887096774
33952,87,87099,87400,Moissannes,moissannes,45.876622359551,1.5542250561798
33953,87,87100,87330,Montrol-Sénard,montrol senard,46.023760594059,0.95383834158416
33954,87,87101,87330,Mortemart,mortemart,46.048895384615,0.9571898974359
33955,87,87103,87140,Nantiat,nantiat,46.011880742115,1.1702282189239
33956,87,87104,87120,Nedde,nedde,45.721270959233,1.8244561151079
33957,87,87105,87130,Neuvic-Entier,neuvic entier,45.73404,1.6453650613497
33958,87,87106,87800,Nexon,nexon,45.665745665796,1.1805599477807
33959,87,87107,87510,Nieul,nieul,45.924213094463,1.1796780781759
33960,87,87108,87330,Nouic,nouic,46.056495231092,0.91669348739496
