,,,,-LOIRET,,,
16850,45,45081,45130,Charsonville,charsonville,47.9271788,1.5764406666667
16851,45,45082,45110,Châteauneuf-sur-Loire,chateauneuf sur loire,47.882223658537,2.2258114634146
16852,45,45083,45220,Château-Renard,chateau renard,47.930349622642,2.9280757232704
16853,45,45084,45260,Châtenoy,chatenoy,47.924080901639,2.4085976229508
16854,45,45085,45230,Châtillon-Coligny,chatillon coligny,47.824471910112,2.8574089325843
16855,45,45086,45480,Châtillon-le-Roi,chatillon le roi,48.163232,2.0980983333333
16856,45,45087,45360,Châtillon-sur-Loire,chatillon sur loire,47.570995324675,2.7430557142857
16857,45,45088,45480,Chaussy,chaussy,48.1637808,1.9889872
16858,45,45089,45430,Chécy,checy,47.902925846154,2.0259556923077
16859,45,45091,45210,Chevannes,chevannes,48.133693846154,2.8559515384615
16860,45,45092,45700,Chevillon-sur-Huillard,chevillon sur huillard,47.970432919708,2.6231447445256
16861,45,45093,45520,Chevilly,chevilly,48.030548333333,1.8861884313725
16862,45,45094,45210,Chevry-sous-le-Bignon,chevry sous le bignon,48.14398796875,2.8963415625
16863,45,45095,45170,Chilleurs-aux-Bois,chilleurs aux bois,48.06352768,2.1371404
16864,45,45096,45290,Les Choux,les choux,47.796421203704,2.6552193518519
16865,45,45097,45220,Chuelles,chuelles,47.998321707317,2.9644825203252
16866,45,45098,45370,Cléry-Saint-André,clery saint andre,47.821814220183,1.7655342201835
16867,45,45099,45310,Coinces,coinces,48.01920654321,1.7334117283951
16868,45,45100,45800,Combleux,combleux,47.901885357143,1.9845960714286
16869,45,45101,45530,Combreux,combreux,47.957852105263,2.2937358947368
16870,45,45102,45700,Conflans-sur-Loing,conflans sur loing,47.9454588,2.7783945
16871,45,45103,45490,Corbeilles,corbeilles,48.066616964286,2.5524051785714
16872,45,45104,45120,Corquilleroy,corquilleroy,48.04116702381,2.697848452381
16873,45,45105,45700,Cortrat,cortrat,47.913455795455,2.7642918181818
16874,45,45107,45260,Coudroy,coudroy,47.901374285714,2.4739150793651
16875,45,45108,45720,Coullons,coullons,47.610485057471,2.5192305747126
16876,45,45109,45130,Coulmiers,coulmiers,47.932343880597,1.6576985074627
16877,45,45110,45300,Courcelles,courcelles,48.097257916667,2.3258883333333
16878,45,45111,45300,Courcy-aux-Loges,courcy aux loges,48.060921176471,2.2172517647059
16879,45,45112,45260,La Cour-Marigny,la cour marigny,47.891213,2.5809646666667
16880,45,45113,45320,Courtemaux,courtemaux,48.047771089109,2.9360530693069
16881,45,45114,45490,Courtempierre,courtempierre,48.100136464646,2.6325961616162
16882,45,45115,45320,Courtenay,courtenay,48.020116929825,3.0723887280702
16883,45,45116,45190,Cravant,cravant,47.827207454545,1.5677313636364
16884,45,45118,45170,Crottes-en-Pithiverais,crottes en pithiverais,48.114277567568,2.0671805405405
16885,45,45119,45300,Dadonville,dadonville,48.156816439394,2.2708706060606
16886,45,45120,45420,Dammarie-en-Puisaye,dammarie en puisaye,47.630067241379,2.8670960344828
16887,45,45121,45230,Dammarie-sur-Loing,dammarie sur loing,47.782785151515,2.8844934848485
16888,45,45122,45570,Dampierre-en-Burly,dampierre en burly,47.753716324786,2.5396383760684
16889,45,45123,45150,Darvoy,darvoy,47.851658983051,2.0877491525424
16890,45,45124,45390,Desmonts,desmonts,48.225335714286,2.4988292857143
16891,45,45125,45390,Dimancheville,dimancheville,48.237568596491,2.4251131578947
16892,45,45126,45450,Donnery,donnery,47.912523309859,2.1093150704225
16893,45,45127,45680,Dordives,dordives,48.151384100719,2.7773645323741
16894,45,45129,45220,Douchy-Montcorbon,douchy montcorbon,47.961220215054,3.0696840860215
16895,45,45130,45370,Dry,dry,47.791969852941,1.7339983823529
16896,45,45131,45390,Échilleuses,echilleuses,48.168028108108,2.4448259459459
16897,45,45132,45340,Égry,egry,48.103279047619,2.4402276190476
16898,45,45133,45300,Engenville,engenville,48.2389096,2.2403369333333
16899,45,45134,45130,Épieds-en-Beauce,epieds en beauce,47.961836052632,1.609743245614
16900,45,45135,45480,Erceville,erceville,48.2477825,2.0323897368421
16901,45,45136,45320,Ervauville,ervauville,48.094730608696,2.9805288695652
16902,45,45137,45300,Escrennes,escrennes,48.138548901099,2.1834059340659
16903,45,45138,45250,Escrignelles,escrignelles,47.712414625,2.82151675
16904,45,45139,45300,Estouy,estouy,48.188685585586,2.3256517117117
16905,45,45141,45420,Faverelles,faverelles,47.591448796296,2.9342014814815
16906,45,45142,45450,Fay-aux-Loges,fay aux loges,47.931120840336,2.1517643697479
16907,45,45143,45230,Feins-en-Gâtinais,feins en gatinais,47.744833762376,2.8436957425743
16908,45,45144,45150,Férolles,ferolles,47.82462040404,2.1187885858586
16909,45,45145,45210,Ferrières-en-Gâtinais,ferrieres en gatinais,48.100478532609,2.8001085869565
16910,45,45146,45240,La Ferté-Saint-Aubin,la ferte saint aubin,47.703198547619,1.9157851666667
16911,45,45147,45400,Fleury-les-Aubrais,fleury les aubrais,47.942453333333,1.9221783333333
16912,45,45148,45210,Fontenay-sur-Loing,fontenay sur loing,48.092134014085,2.7687452816901
16913,45,45149,45320,Foucherolles,foucherolles,48.093449518072,3.0156446987952
16914,45,45150,45270,Fréville-du-Gâtinais,freville du gatinais,48.020165810811,2.4475672972973
16915,45,45151,45340,Gaubertin,gaubertin,48.122805697674,2.4310210465116
