,,,,-HAUTE-SAONE,,,
27927,70,70082,70230,Bouhans-lès-Montbozon,bouhans les montbozon,47.483480423729,6.2827906779661
27928,70,70083,70800,Bouligney,bouligney,47.899736642857,6.2422022857143
27929,70,70084,70190,Boulot,boulot,47.352890833333,5.9571859722222
27930,70,70085,70190,Boult,boult,47.385385064935,5.9945963636364
27931,70,70086,70500,Bourbévelle,bourbevelle,47.91452,5.9472532967033
27932,70,70087,70800,Bourguignon-lès-Conflans,bourguignon les conflans,47.814609876543,6.156629382716
27933,70,70088,70190,Bourguignon-lès-la-Charité,bourguignon les la charite,47.5102005,5.96569075
27934,70,70089,70120,Bourguignon-lès-Morey,bourguignon les morey,47.713208333333,5.7022593333333
27935,70,70090,70000,Boursières,boursieres,47.616294230769,6.0427826923077
27936,70,70091,70500,Bousseraucourt,bousseraucourt,47.9628396,5.9342894
27937,70,70092,70140,Bresilley,bresilley,47.262224117647,5.6335909411765
27938,70,70093,70300,Breuches,breuches,47.799824917127,6.324770718232
27939,70,70094,70280,Breuchotte,breuchotte,47.831900625,6.4633323958333
27940,70,70095,70160,Breurey-lès-Faverney,breurey les faverney,47.745703842593,6.1427561574074
27941,70,70096,70400,Brevilliers,brevilliers,47.580494805195,6.791575974026
27942,70,70097,70800,Briaucourt,briaucourt,47.819693207547,6.2450764779874
27943,70,70098,70300,Brotte-lès-Luxeuil,brotte les luxeuil,47.751053274854,6.3417685380117
27944,70,70099,70180,Brotte-lès-Ray,brotte les ray,47.606301960784,5.7350801960784
27945,70,70100,70100,Broye-les-Loups-et-Verfontaine,broye les loups et verfontaine,47.452732710843,5.4337122289157
27946,70,70101,70140,Broye-Aubigney-Montseugny,broye aubigney montseugny,47.332095463415,5.5116195609756
27947,70,70102,70150,Brussey,brussey,47.304838636364,5.8099081818182
27948,70,70103,70280,La Bruyère,la bruyere,47.813048591549,6.468881971831
27949,70,70104,70700,Bucey-lès-Gy,bucey les gy,47.408810862944,5.858858071066
27950,70,70105,70360,Bucey-lès-Traves,bucey les traves,47.630383968254,5.9833341269841
27951,70,70106,70500,Buffignécourt,buffignecourt,47.811606413043,6.0212605434783
27952,70,70107,70190,Bussières,bussieres,47.337517837838,5.9820152702703
27953,70,70109,70190,Buthiers,buthiers,47.353654623656,6.0358112903226
27954,70,70111,70240,Calmoutier,calmoutier,47.645284653465,6.2843275742574
27955,70,70112,70500,Cemboing,cemboing,47.843104632353,5.8543830882353
27956,70,70113,70230,Cenans,cenans,47.431235,6.1928702857143
27957,70,70114,70500,Cendrecourt,cendrecourt,47.840851025641,5.9383083760684
27958,70,70115,70000,Cerre-lès-Noroy,cerre les noroy,47.593920827068,6.3182417293233
27959,70,70116,70400,Chagey,chagey,47.6185465,6.7353652142857
27960,70,70117,70400,Châlonvillars,chalonvillars,47.6373873,6.7742815
27961,70,70118,70190,Chambornay-lès-Bellevaux,chambornay les bellevaux,47.392532333333,6.0999535555556
