,,,,-RHONE,,,
27645,69,69088,69270,Fontaines-sur-Saône,fontaines sur saone,45.829497352941,4.8561297058824
27646,69,69089,69340,Francheville,francheville,45.739862790698,4.7492913953488
27647,69,69090,69620,Frontenas,frontenas,45.922076,4.6332272222222
27648,69,69091,69700,Givors,givors,45.583891075269,4.7473969354839
27649,69,69092,69400,Gleizé,gleize,45.990277027027,4.6921636036036
27650,69,69093,69870,Grandris,grandris,46.034690634921,4.4552986507937
27651,69,69094,69290,Grézieu-la-Varenne,grezieu la varenne,45.748529384615,4.6870504615385
27652,69,69095,69610,Grézieu-le-Marché,grezieu le marche,45.661851081081,4.4234432432432
27653,69,69096,69520,Grigny,grigny,45.612089014085,4.7845618309859
27654,69,69097,69420,Les Haies,les haies,45.512071014493,4.7403376086956
27655,69,69098,69610,Les Halles,les halles,45.716837575758,4.4363803030303
27656,69,69099,69610,Haute-Rivoire,haute rivoire,45.713805458515,4.4053365502183
27657,69,69100,69540,Irigny,irigny,45.676339864865,4.8104110810811
27658,69,69101,69640,Jarnioux,jarnioux,45.967800531915,4.6299130851064
27659,69,69102,69170,Joux,joux,45.888567412587,4.3791483216783
27660,69,69103,69840,Juliénas,julienas,46.243085491803,4.7054631967213
27661,69,69104,69840,Jullié,jullie,46.242887317073,4.6604318292683
27662,69,69105,69640,Lacenas,lacenas,45.98528440678,4.6417277966102
27663,69,69106,69480,Lachassagne,lachassagne,45.927141153846,4.6817367307692
27664,69,69107,69870,Lamure-sur-Azergues,lamure sur azergues,46.053724820144,4.5095156834532
27665,69,69108,69220,Lancié,lancie,46.174302241379,4.726181637931
27666,69,69109,69430,Lantignié,lantignie,46.151496595745,4.6131812765957
27667,69,69110,69590,Larajasse,larajasse,45.614887636364,4.510017
27668,69,69111,69620,Légny,legny,45.905485492958,4.5738542253521
27669,69,69112,69210,Lentilly,lentilly,45.810825775862,4.6799551724138
27670,69,69113,69620,Létra,letra,45.971989047619,4.5257526984127
27671,69,69115,69400,Limas,limas,45.972795862069,4.7132125862069
27672,69,69116,69760,Limonest,limonest,45.827891463415,4.7708923170732
27673,69,69117,69380,Lissieu,lissieu,45.854266984127,4.7412093650794
27674,69,69118,69700,Loire-sur-Rhône,loire sur rhone,45.546332115385,4.7851653846154
27675,69,69119,69420,Longes,longes,45.507185745856,4.6789602209945
27676,69,69120,69770,Longessaigne,longessaigne,45.783481666667,4.4273148958333
27677,69,69121,69380,Lozanne,lozanne,45.856963,4.6816424285714
27678,69,69122,69480,Lucenay,lucenay,45.912394489796,4.7094906122449
27679,69,69123,69001,Lyon,lyon,45.7712918,4.8280831
27680,69,69123,69002,Lyon,lyon,45.7477113,4.8240999
27681,69,69123,69003,Lyon,lyon,45.75826,4.855387
27682,69,69123,69004,Lyon,lyon,45.7809522,4.8243491
27683,69,69123,69005,Lyon,lyon,45.7582622,4.7990749
27684,69,69123,69006,Lyon,lyon,45.7751072,4.8501975
27685,69,69123,69007,Lyon,lyon,45.7304251,4.8399378
27686,69,69123,69008,Lyon,lyon,45.7315386,4.8696165
27687,69,69123,69009,Lyon,lyon,45.7699424,4.8037184
27688,69,69124,69430,Marchampt,marchampt,46.104964421053,4.5675988421053
27689,69,69125,69380,Marcilly-d'Azergues,marcilly d azergues,45.868596190476,4.7301507142857
27690,69,69126,69480,Marcy,marcy,45.914333170732,4.6759768292683
27691,69,69127,69280,Marcy-l'Étoile,marcy l etoile,45.787103652174,4.7123499130435
27692,69,69130,69550,Meaux-la-Montagne,meaux la montagne,46.048246198347,4.4237327272727
27693,69,69131,69510,Messimy,messimy,45.701141931818,4.6821994318182
27694,69,69132,69610,Meys,meys,45.683234010695,4.4022978074866
27695,69,69133,69390,Millery,millery,45.630827,4.7768637692308
27696,69,69134,69620,Moiré,moire,45.924568873239,4.6003409859155
27697,69,69135,69860,Monsols,monsols,46.223498791209,4.5119937362637
27698,69,69136,69700,Montagny,montagny,45.624903984375,4.754599609375
27699,69,69137,69640,Montmelas-Saint-Sorlin,montmelas saint sorlin,46.017846176471,4.6015808823529
27700,69,69138,69610,Montromant,montromant,45.711358585859,4.5360851515151
27701,69,69139,69770,Montrottier,montrottier,45.796404285714,4.4590849142857
27702,69,69140,69480,Morancé,morance,45.890335333333,4.696318
27703,69,69141,69440,Mornant,mornant,45.620223376623,4.6718159090909
27704,69,69142,69350,La Mulatière,la mulatiere,45.731883846154,4.8109380769231
27705,69,69143,69250,Neuville-sur-Saône,neuville sur saone,45.881101935484,4.8433109677419
27706,69,69145,69460,Odenas,odenas,46.094563076923,4.6432692307692
27707,69,69147,69490,Les Olmes,les olmes,45.885225185185,4.5262577777778
27708,69,69148,69530,Orliénas,orlienas,45.659445145631,4.7285185436893
27709,69,69149,69600,Oullins,oullins,45.716742112676,4.8012235211268
27710,69,69150,69860,Ouroux,ouroux,46.22675378882,4.5835052173913
27711,69,69151,69460,Le Perréon,le perreon,46.065654565217,4.5863326086956
27712,69,69152,69310,Pierre-Bénite,pierre benite,45.702654390244,4.8211470731707
27713,69,69153,69250,Poleymieux-au-Mont-d'Or,poleymieux au mont d or,45.8557725,4.7905809375
27714,69,69154,69290,Pollionnay,pollionnay,45.764002063492,4.6624405555556
27715,69,69155,69590,Pomeys,pomeys,45.646540292398,4.449641754386
27716,69,69156,69480,Pommiers,pommiers,45.959090594059,4.6925779207921
27717,69,69157,69490,Pontcharra-sur-Turdine,pontcharra sur turdine,45.87995826087,4.4879465217391
27718,69,69159,69400,Porte des Pierres Dorées,porte des pierres dorees,45.963036593407,4.6533056043956
27719,69,69160,69870,Poule-les-Écharmeaux,poule les echarmeaux,46.131420650406,4.4654705691057
27720,69,69161,69790,Propières,propieres,46.195059006622,4.4482578807947
27721,69,69162,69430,Quincié-en-Beaujolais,quincie en beaujolais,46.112940191083,4.6079248407643
27722,69,69163,69650,Quincieux,quincieux,45.912361894737,4.7725832631579
27723,69,69164,69470,Ranchal,ranchal,46.122523360656,4.3982922131148
27724,69,69165,69430,Régnié-Durette,regnie durette,46.155656263736,4.6378440659341
27725,69,69166,69440,Riverie,riverie,45.5986184,4.5892604
27726,69,69167,69640,Rivolet,rivolet,46.008283468208,4.5804959537572
27727,69,69168,69270,Rochetaillée-sur-Saône,rochetaillee sur saone,45.842654666667,4.8400233333333
27728,69,69169,69550,Ronno,ronno,45.984812359551,4.3828080337079
27729,69,69170,69510,Rontalon,rontalon,45.661269787234,4.6063720212766
27730,69,69171,69210,Sain-Bel,sain bel,45.811359176471,4.6002174117647
27731,69,69172,69460,Salles-Arbuissonnas-en-Beaujolais,salles arbuissonnas en beaujolais,46.046558181818,4.6320118181818
27732,69,69173,69490,Sarcey,sarcey,45.890812272727,4.5515745454545
27733,69,69174,69170,Les Sauvages,les sauvages,45.928514824561,4.3687493859649
27734,69,69175,69210,Savigny,savigny,45.819717740385,4.5685007692308
27735,69,69176,69510,Soucieu-en-Jarrest,soucieu en jarrest,45.677438220339,4.6933763559322
27736,69,69177,69210,Sourcieux-les-Mines,sourcieux les mines,45.80283,4.6242175
27737,69,69178,69610,Souzy,souzy,45.703986105263,4.4497381052632
27738,69,69179,69700,Beauvallon,beauvallon,45.587459475655,4.7069841198502
27739,69,69180,69440,Saint-André-la-Côte,saint andre la cote,45.63218,4.5920861818182
27740,69,69181,69170,Saint-Appolinaire,saint appolinaire,45.974066710526,4.4245107894737
27741,69,69182,69790,Saint-Bonnet-des-Bruyères,saint bonnet des bruyeres,46.268087478992,4.4711581512605
27742,69,69183,69870,Saint-Bonnet-le-Troncy,saint bonnet le troncy,46.072878169014,4.4126823943662
27743,69,69184,69440,Sainte-Catherine,sainte catherine,45.604844701493,4.5711712686567
27744,69,69185,69860,Saint-Christophe,saint christophe,46.257550671642,4.5384317164179
27745,69,69186,69790,Saint-Clément-de-Vers,saint clement de vers,46.226413515152,4.4126499393939
27746,69,69187,69930,Saint-Clément-les-Places,saint clement les places,45.757423216783,4.4220283916084
27747,69,69188,69170,Saint-Clément-sur-Valsonne,saint clement sur valsonne,45.923531851852,4.4617048148148
27748,69,69189,69560,Sainte-Colombe,sainte colombe,45.524418055556,4.8571680555556
27749,69,69190,69280,Sainte-Consorce,sainte consorce,45.774090142857,4.6966514285714
27750,69,69191,69450,Saint-Cyr-au-Mont-d'Or,saint cyr au mont d or,45.820060608696,4.8173545217391
27751,69,69192,69870,Saint-Cyr-le-Chatoux,saint cyr le chatoux,46.03186827957,4.5350078494624
27752,69,69193,69560,Saint-Cyr-sur-le-Rhône,saint cyr sur le rhone,45.519267666667,4.8315356666667
27753,69,69194,69370,Saint-Didier-au-Mont-d'Or,saint didier au mont d or,45.810723719008,4.7995498347107
27754,69,69196,69430,Saint-Didier-sur-Beaujeu,saint didier sur beaujeu,46.151412045455,4.5407453409091
27755,69,69197,69460,Saint-Étienne-des-Oullières,saint etienne des oullieres,46.06001258427,4.657314494382
27756,69,69198,69460,Saint-Étienne-la-Varenne,saint etienne la varenne,46.082151538462,4.6185811538461
27757,69,69199,69190,Saint-Fons,saint fons,45.701311276596,4.8559404255319
27758,69,69200,69490,Saint-Forgeux,saint forgeux,45.859182947368,4.4561795789474
27759,69,69201,69610,Sainte-Foy-l'Argentière,sainte foy l argentiere,45.705362916667,4.47205625
27760,69,69202,69110,Sainte-Foy-lès-Lyon,sainte foy les lyon,45.734520704225,4.7928808450704
27761,69,69203,69610,Saint-Genis-l'Argentière,saint genis l argentiere,45.717199612903,4.4984963870968
27762,69,69204,69230,Saint-Genis-Laval,saint genis laval,45.68925496124,4.7913448062016
27763,69,69205,69290,Saint-Genis-les-Ollières,saint genis les ollieres,45.761409680851,4.730174893617
27764,69,69206,69830,Saint-Georges-de-Reneins,saint georges de reneins,46.060733641618,4.7130509248555
27765,69,69207,69650,Saint-Germain-au-Mont-d'Or,saint germain au mont d or,45.884650588235,4.7980586764706
27766,69,69208,69210,Saint-Germain-Nuelles,saint germain nuelles,45.857218888889,4.6164809876543
27767,69,69209,69790,Saint-Igny-de-Vers,saint igny de vers,46.231227329843,4.437592617801
27768,69,69210,69860,Saint-Jacques-des-Arrêts,saint jacques des arrets,46.255465964912,4.6068670175439
27769,69,69211,69220,Saint-Jean-d'Ardières,saint jean d ardieres,46.12865036036,4.7204492792793
27770,69,69212,69380,Saint-Jean-des-Vignes,saint jean des vignes,45.875494745763,4.6840971186441
27771,69,69214,69550,Saint-Jean-la-Bussière,saint jean la bussiere,46.0014273125,4.330588
27772,69,69215,69640,Saint-Julien,saint julien,46.023417263158,4.6502821052632
27773,69,69216,69690,Saint-Julien-sur-Bibost,saint julien sur bibost,45.797341551724,4.5101739655172
27774,69,69217,69870,Saint-Just-d'Avray,saint just d avray,46.00104890511,4.460532919708
27775,69,69218,69220,Saint-Lager,saint lager,46.112836666667,4.6781203030303
27776,69,69219,69440,Saint-Laurent-d'Agny,saint laurent d agny,45.641398943089,4.6777112195122
27777,69,69220,69930,Saint-Laurent-de-Chamousset,saint laurent de chamousset,45.738319453125,4.45962984375
27778,69,69223,69490,Saint-Loup,saint loup,45.893813068182,4.49571
27779,69,69224,69860,Saint-Mamert,saint mamert,46.245130285714,4.5724984285714
27780,69,69225,69170,Saint-Marcel-l'Éclairé,saint marcel l eclaire,45.874883478261,4.4201972173913
27781,69,69227,69850,Saint-Martin-en-Haut,saint martin en haut,45.65235986755,4.5575748013245
27782,69,69228,69440,Chabanière,chabaniere,45.587118265683,4.6232394464945
27783,69,69229,69870,Saint-Nizier-d'Azergues,saint nizier d azergues,46.084595597484,4.4641295597484
27784,69,69230,69620,Sainte-Paule,sainte paule,45.971450428571,4.56051
27785,69,69231,69210,Saint-Pierre-la-Palud,saint pierre la palud,45.782455172414,4.6111866666667
27786,69,69233,69270,Saint-Romain-au-Mont-d'Or,saint romain au mont d or,45.835175510204,4.8216579591837
27787,69,69234,69490,Saint-Romain-de-Popey,saint romain de popey,45.848459052632,4.5347009473684
27788,69,69235,69560,Saint-Romain-en-Gal,saint romain en gal,45.534663162393,4.8245794017094
27789,69,69236,69700,Saint-Romain-en-Gier,saint romain en gier,45.567975648148,4.6986725
27790,69,69238,69590,Saint-Symphorien-sur-Coise,saint symphorien sur coise,45.631121684211,4.4499895789474
27791,69,69239,69620,Saint-Vérand,saint verand,45.92030916129,4.5228093548387
27792,69,69240,69240,Saint-Vincent-de-Reins,saint vincent de reins,46.077380877193,4.3911599415205
27793,69,69241,69440,Taluyers,taluyers,45.64049375,4.7256964772727
27794,69,69242,69220,Taponas,taponas,46.125400892857,4.7583217857143
27795,69,69243,69170,Tarare,tarare,45.906478076923,4.4196123076923
27796,69,69244,69160,Tassin-la-Demi-Lune,tassin la demi lune,45.766361473684,4.7510594736842
27797,69,69245,69620,Ternand,ternand,45.951291075949,4.5265856329114
27798,69,69246,69620,Theizé,theize,45.940139466667,4.6249571333333
27799,69,69248,69240,Thizy-les-Bourgs,thizy les bourgs,46.048486196078,4.3179134117647
27800,69,69249,69510,Thurins,thurins,45.684983451327,4.6162255752212
27801,69,69250,69890,La Tour-de-Salvagny,la tour de salvagny,45.804837636364,4.7173457272727
27802,69,69251,69860,Trades,trades,46.271571959459,4.5648860810811
27803,69,69252,69420,Trèves,treves,45.537262276423,4.6867268292683
27804,69,69253,69420,Tupin-et-Semons,tupin et semons,45.493638467742,4.7718945967742
27805,69,69254,69170,Valsonne,valsonne,45.950082627737,4.4211275912409
27806,69,69255,69670,Vaugneray,vaugneray,45.72884248366,4.6441260130719
27807,69,69256,69120,Vaulx-en-Velin,vaulx en velin,45.781345820896,4.9090650746269
27808,69,69257,69460,Vaux-en-Beaujolais,vaux en beaujolais,46.048723142857,4.5767159285714
27809,69,69258,69820,Vauxrenard,vauxrenard,46.217613495146,4.6471775728155
27810,69,69259,69200,Vénissieux,venissieux,45.707516307692,4.8766723076923
27811,69,69260,69390,Vernaison,vernaison,45.645564310345,4.8058362068965
27812,69,69261,69430,Vernay,vernay,46.163320857143,4.5299297142857
27813,69,69263,69770,Villechenève,villecheneve,45.814780913706,4.4090459390863
27814,69,69264,69400,Villefranche-sur-Saône,villefranche sur saone,45.987451184211,4.7209202631579
27815,69,69265,69640,Ville-sur-Jarnioux,ville sur jarnioux,45.972062797203,4.5971155244755
27816,69,69266,69100,Villeurbanne,villeurbanne,45.771826388889,4.8927772222222
27817,69,69267,69910,Villié-Morgon,villie morgon,46.165449416667,4.6581531666667
27818,69,69268,69390,Vourles,vourles,45.656713888889,4.7683932407407
27819,69,69269,69510,Yzeron,yzeron,45.70892375,4.60139375
27820,69,69270,69970,Chaponnay,chaponnay,45.625082567568,4.9505863513514
27821,69,69271,69680,Chassieu,chassieu,45.74104862069,4.9693248275862
27822,69,69272,69360,Communay,communay,45.594641846154,4.8352347692308
27823,69,69273,69960,Corbas,corbas,45.671371,4.910859
27824,69,69275,69150,Décines-Charpieu,decines charpieu,45.770424285714,4.9595628571429
27825,69,69276,69320,Feyzin,feyzin,45.671400263158,4.85029
27826,69,69277,69740,Genas,genas,45.729070816327,5.0261310204082
27827,69,69278,69730,Genay,genay,45.901015520833,4.8402194791667
27828,69,69279,69330,Jonage,jonage,45.790598947368,5.046891754386
27829,69,69280,69330,Jons,jons,45.795430416667,5.0721385416667
27830,69,69281,69970,Marennes,marennes,45.616249859155,4.91055
27831,69,69282,69330,Meyzieu,meyzieu,45.775187407407,5.0115305555556
27832,69,69283,69780,Mions,mions,45.662130196078,4.9589509803922
27833,69,69284,69250,Montanay,montanay,45.875778591549,4.8688176056338
27834,69,69285,69330,Pusignan,pusignan,45.758177741935,5.07066
27835,69,69286,69140,Rillieux-la-Pape,rillieux la pape,45.824131258278,4.8987576821192
27836,69,69287,69720,Saint-Bonnet-de-Mure,saint bonnet de mure,45.696826290323,5.0256561290323
27837,69,69288,69720,Saint-Laurent-de-Mure,saint laurent de mure,45.686562389381,5.0699686725664
27838,69,69289,69780,Saint-Pierre-de-Chandieu,saint pierre de chandieu,45.643142479339,5.0038439669422
27839,69,69290,69800,Saint-Priest,saint priest,45.696155319149,4.95194
27840,69,69291,69360,Saint-Symphorien-d'Ozon,saint symphorien d ozon,45.632537244898,4.8625271428572
27841,69,69292,69580,Sathonay-Camp,sathonay camp,45.828496233766,4.8794762337662
27842,69,69293,69580,Sathonay-Village,sathonay village,45.836934285714,4.8814512698413
27843,69,69294,69360,Sérézin-du-Rhône,serezin du rhone,45.628381090909,4.8268972727273
27844,69,69295,69360,Simandres,simandres,45.615026136364,4.8731477272727
27845,69,69296,69360,Solaize,solaize,45.643793088235,4.8357314705882
27846,69,69297,69360,Ternay,ternay,45.607916315789,4.8113531578947
27847,69,69298,69780,Toussieu,toussieu,45.657063658537,4.9762697560976
27848,69,69299,69124,Colombier-Saugnieu,colombier saugnieu,45.723295,5.1128343
27849,69,69299,69125,Colombier-Saugnieu,colombier saugnieu,45.7197776,5.0852626
