id,department_code,insee_code,zip_code,-ESSONNE,slug,gps_lat,gps_lng
35242,91,91525,91410,Roinville,roinville,48.515406185567,2.0534896907216
35243,91,91526,91150,Roinvilliers,roinvilliers,48.341005061728,2.2372713580247
35244,91,91533,91690,Saclas,saclas,48.360842955975,2.115455345912
35245,91,91534,91400,Saclay,saclay,48.7364223,2.1652737
35246,91,91538,91190,Saint-Aubin,saint aubin,48.714743050847,2.1368145762712
35247,91,91540,91530,Saint-Chéron,saint cheron,48.5450311,2.1265136
35248,91,91544,91690,Saint-Cyr-la-Rivière,saint cyr la riviere,48.357170601504,2.1442393233083
35249,91,91546,91410,Saint-Cyr-sous-Dourdan,saint cyr sous dourdan,48.567416666667,2.0385014814815
35250,91,91547,91410,Saint-Escobille,saint escobille,48.422748767123,1.9570228767123
35251,91,91549,91700,Sainte-Geneviève-des-Bois,sainte genevieve des bois,48.643766164384,2.3231093150685
35252,91,91552,91180,Saint-Germain-lès-Arpajon,saint germain les arpajon,48.597819761905,2.2665826190476
35253,91,91553,91250,Saint-Germain-lès-Corbeil,saint germain les corbeil,48.624250535714,2.4887878571429
35254,91,91556,91780,Saint-Hilaire,saint hilaire,48.439753658537,2.0834515853659
35255,91,91560,91940,Saint-Jean-de-Beauregard,saint jean de beauregard,48.665505072464,2.1751613043478
35256,91,91568,91530,Saint-Maurice-Montcouronne,saint maurice montcouronne,48.578919915966,2.1228351260504
35257,91,91570,91240,Saint-Michel-sur-Orge,saint michel sur orge,48.633180588235,2.3114629411765
35258,91,91573,91280,Saint-Pierre-du-Perray,saint pierre du perray,48.605812613636,2.5110438636364
35259,91,91577,91250,Saintry-sur-Seine,saintry sur seine,48.5930725,2.49568125
35260,91,91578,91910,Saint-Sulpice-de-Favières,saint sulpice de favieres,48.536833246753,2.1775053246753
35261,91,91579,91770,Saint-Vrain,saint vrain,48.532280169492,2.3268497457627
35262,91,91581,91650,Saint-Yon,saint yon,48.560397638889,2.1892154166667
35263,91,91587,91160,Saulx-les-Chartreux,saulx les chartreux,48.689504920635,2.2676680952381
35264,91,91589,91600,Savigny-sur-Orge,savigny sur orge,48.68319721519,2.3503318987342
35265,91,91593,91530,Sermaise,sermaise,48.530535824176,2.0917382417582
35266,91,91599,91840,Soisy-sur-École,soisy sur ecole,48.479352921348,2.4788368539326
35267,91,91600,91450,Soisy-sur-Seine,soisy sur seine,48.660958823529,2.4687470588235
35268,91,91602,91580,Souzy-la-Briche,souzy la briche,48.528756,2.1473304285714
35269,91,91613,91740,Congerville-Thionville,congerville thionville,48.377948736842,1.9904683157895
35270,91,91617,91250,Tigery,tigery,48.644149016393,2.5236465573771
35271,91,91619,91730,Torfou,torfou,48.530721666667,2.235713125
35272,91,91629,91720,Valpuiseaux,valpuiseaux,48.39232019802,2.3020076237624
35273,91,91630,91530,Le Val-Saint-Germain,le val saint germain,48.57181152381,2.0806744761905
35274,91,91631,91480,Varennes-Jarcy,varennes jarcy,48.678922191781,2.56174
35275,91,91634,91640,Vaugrigneuse,vaugrigneuse,48.600378113208,2.1036664150943
35276,91,91635,91430,Vauhallan,vauhallan,48.732256304348,2.2027702173913
35277,91,91639,91820,Vayres-sur-Essonne,vayres sur essonne,48.435339907407,2.3516371296296
35278,91,91645,91370,Verrières-le-Buisson,verrieres le buisson,48.747574210526,2.2538062280702
35279,91,91648,91810,Vert-le-Grand,vert le grand,48.586497555556,2.36576
