,,,,-INDRE,,,
13896,36,36086,36180,Heugnes,heugnes,47.038030725806,1.3884759677419
13897,36,36087,36300,Ingrandes,ingrandes,46.594590833333,0.966752
13898,36,36088,36100,Issoudun,issoudun,46.944666165414,1.9856514285714
13899,36,36089,36120,Jeu-les-Bois,jeu les bois,46.673007536232,1.8003661835749
13900,36,36090,36240,Jeu-Maloches,jeu maloches,47.043927,1.4420712222222
13901,36,36091,36400,Lacs,lacs,46.586661477273,2.0307856818182
13902,36,36092,36600,Langé,lange,47.070382521739,1.495896
13903,36,36093,36110,Levroux,levroux,46.984735947712,1.5837790849673
13904,36,36094,36370,Lignac,lignac,46.477409463602,1.2139806130268
13905,36,36095,36160,Lignerolles,lignerolles,46.498050718232,2.168915801105
13906,36,36096,36220,Lingé,linge,46.757901614907,1.1215763354037
13907,36,36097,36150,Liniez,liniez,47.017635263158,1.7658721052632
13908,36,36098,36100,Lizeray,lizeray,46.980636105263,1.9077595789474
13909,36,36099,36140,Lourdoueix-Saint-Michel,lourdoueix saint michel,46.417550443038,1.7196132278481
13910,36,36100,36400,Lourouer-Saint-Laurent,lourouer saint laurent,46.624017333333,2.0188525333333
13911,36,36101,36350,Luant,luant,46.730838412698,1.5663623015873
13912,36,36102,36150,Luçay-le-Libre,lucay le libre,47.096103888889,1.9095164814815
13913,36,36103,36360,Luçay-le-Mâle,lucay le male,47.115209916667,1.4286651666667
13914,36,36104,36220,Lurais,lurais,46.685465247525,0.93424455445545
13915,36,36105,36220,Lureuil,lureuil,46.742383305785,1.0362472727273
13916,36,36106,36800,Luzeret,luzeret,46.541846506024,1.3766357228916
13917,36,36107,36600,Lye,lye,47.223362933333,1.4648026666667
13918,36,36108,36230,Lys-Saint-Georges,lys saint georges,46.644266388889,1.8046446296296
13919,36,36109,36400,Le Magny,le magny,46.548407192982,1.9620295614035
13920,36,36110,36340,Maillet,maillet,46.584845662651,1.6715045783132
13921,36,36111,36340,Malicornay,malicornay,46.5687465,1.6486804
13922,36,36112,36120,Mâron,maron,46.803415238095,1.871875
13923,36,36113,36220,Martizay,martizay,46.802858417722,1.0410472151899
13924,36,36114,36370,Mauvières,mauvieres,46.573584161491,1.1053579503106
13925,36,36115,36210,Menetou-sur-Nahon,menetou sur nahon,47.228240504202,1.6384365546219
13926,36,36116,36150,Ménétréols-sous-Vatan,menetreols sous vatan,47.007079565217,1.8358893478261
13927,36,36117,36200,Le Menoux,le menoux,46.556421756757,1.5770468918919
13928,36,36118,36500,Méobecq,meobecq,46.745001731602,1.4196561904762
13929,36,36119,36220,Mérigny,merigny,46.630318280255,0.93194522292994
13930,36,36120,36230,Mers-sur-Indre,mers sur indre,46.66976697479,1.8680866386555
13931,36,36121,36100,Meunet-Planches,meunet planches,46.8454876875,1.9607971875
13932,36,36122,36150,Meunet-sur-Vatan,meunet sur vatan,47.085774528302,1.8526981132075
13933,36,36123,36290,Mézières-en-Brenne,mezieres en brenne,46.805924822695,1.2640003191489
13934,36,36124,36800,Migné,migne,46.722022234848,1.2793804166667
13935,36,36125,36260,Migny,migny,47.026069913793,2.0515452586207
13936,36,36126,36140,Montchevrier,montchevrier,46.479965418502,1.7581439207048
13937,36,36127,36400,Montgivray,montgivray,46.59493107438,1.9713113223141
13938,36,36128,36130,Montierchaume,montierchaume,46.873474081633,1.7769381632653
13939,36,36129,36230,Montipouret,montipouret,46.659904078947,1.91047
13940,36,36130,36400,Montlevicq,montlevicq,46.575077790698,2.0815643023256
13941,36,36131,36200,Mosnay,mosnay,46.626327045455,1.6244572727273
13942,36,36132,36160,La Motte-Feuilly,la motte feuilly,46.54736,2.0688159259259
13943,36,36133,36340,Mouhers,mouhers,46.563618306452,1.7753660483871
13944,36,36134,36170,Mouhet,mouhet,46.38491645614,1.4383524210526
13945,36,36135,36110,Moulins-sur-Céphons,moulins sur cephons,47.016015136986,1.5637454109589
13946,36,36136,36700,Murs,murs,46.923336315789,1.1659097894737
