,,,,-HERAULT,,,
13199,34,34084,34490,Corneilhan,corneilhan,43.402800833333,3.1942609090909
13200,34,34085,34290,Coulobres,coulobres,43.451775777778,3.2732131111111
13201,34,34086,34220,Courniou,courniou,43.486755341615,2.6973144099379
13202,34,34087,34660,Cournonsec,cournonsec,43.537824835165,3.7088738461538
13203,34,34088,34660,Cournonterral,cournonterral,43.572873076923,3.7075122435897
13204,34,34089,34370,Creissan,creissan,43.377655432099,3.0017381481482
13205,34,34090,34920,Le Crès,le cres,43.657852444444,3.9355793333333
13206,34,34091,34520,Le Cros,le cros,43.885741777778,3.3689087407407
13207,34,34092,34310,Cruzy,cruzy,43.348195909091,2.941493030303
13208,34,34093,34650,Dio-et-Valquières,dio et valquieres,43.672167904762,3.2269904761905
13209,34,34094,34290,Espondeilhan,espondeilhan,43.437072222222,3.2589209259259
13210,34,34095,34690,Fabrègues,fabregues,43.538828157895,3.772578881579
13211,34,34096,34600,Faugères,faugeres,43.565310314961,3.1832005511811
13212,34,34097,34210,Félines-Minervois,felines minervois,43.351969570552,2.5797215337423
13213,34,34098,34210,Ferrals-les-Montagnes,ferrals les montagnes,43.419494473684,2.6360810964912
13214,34,34099,34190,Ferrières-les-Verreries,ferrieres les verreries,43.8628029,3.8089508
13215,34,34100,34360,Ferrières-Poussarou,ferrieres poussarou,43.485945315789,2.8969936842105
13216,34,34101,34510,Florensac,florensac,43.387646811594,3.4612795652174
13217,34,34102,34270,Fontanès,fontanes,43.792981571429,3.9165138571429
13218,34,34103,34320,Fontès,fontes,43.54447591195,3.3897465408805
13219,34,34104,34320,Fos,fos,43.563364366197,3.2400215492958
13220,34,34105,34480,Fouzilhon,fouzilhon,43.50462038961,3.2393909090909
13221,34,34106,34700,Fozières,fozieres,43.750477011494,3.3485964367816
13222,34,34107,34330,Fraisse-sur-Agout,fraisse sur agout,43.593163436293,2.808367027027
13223,34,34108,34110,Frontignan,frontignan,43.440992549575,3.7780688385269
13224,34,34109,34320,Gabian,gabian,43.51601130137,3.2655997945206
13225,34,34110,34160,Galargues,galargues,43.78313202381,4.0128254166667
13226,34,34111,34190,Ganges,ganges,43.94411,3.7066657692308
13227,34,34112,34160,Garrigues,garrigues,43.799211886792,4.0093312264151
13228,34,34113,34770,Gigean,gigean,43.496133039216,3.7135547058824
13229,34,34114,34150,Gignac,gignac,43.64672505618,3.5641646067416
13230,34,34115,34190,Gorniès,gornies,43.886642785714,3.6252616428571
13231,34,34116,34790,Grabels,grabels,43.648844580645,3.7955771612903
13232,34,34117,34260,Graissessac,graissessac,43.6842025,3.0902001923077
13233,34,34118,34820,Guzargues,guzargues,43.730566444444,3.9254451111111
13234,34,34119,34600,Hérépian,herepian,43.593968021978,3.1159945054945
13235,34,34120,34830,Jacou,jacou,43.664142608696,3.9133504347826
13236,34,34121,34650,Joncels,joncels,43.771350269231,3.1757037307692
13237,34,34122,34725,Jonquières,jonquieres,43.67340968254,3.4762014285714
13238,34,34123,34990,Juvignac,juvignac,43.618605263158,3.800508881579
13239,34,34124,34800,Lacoste,lacoste,43.658863357143,3.4190665714286
13240,34,34125,34150,Lagamas,lagamas,43.675509761905,3.5348464285714
13241,34,34126,34240,Lamalou-les-Bains,lamalou les bains,43.600320107527,3.080194516129
13242,34,34127,34130,Lansargues,lansargues,43.632270222222,4.0811872222222
13243,34,34128,34190,Laroque,laroque,43.926497228916,3.7305004819277
13244,34,34129,34970,Lattes,lattes,43.562534396552,3.8979368965517
13245,34,34130,34480,Laurens,laurens,43.516354754098,3.1953058196721
13246,34,34131,34270,Lauret,lauret,43.830730307692,3.8781084615385
13247,34,34132,34700,Lauroux,lauroux,43.795384904459,3.2795938216561
13248,34,34133,34700,Lavalette,lavalette,43.691500853659,3.2680828048781
13249,34,34134,34880,Lavérune,laverune,43.585553069307,3.8010848514851
13250,34,34135,34710,Lespignan,lespignan,43.276334210526,3.1718006140351
13251,34,34136,34120,Lézignan-la-Cèbe,lezignan la cebe,43.490881643836,3.4417053424658
13252,34,34137,34800,Liausson,liausson,43.640089,3.362961
13253,34,34138,34800,Lieuran-Cabrières,lieuran cabrieres,43.590388666667,3.4113267619048
13254,34,34139,34290,Lieuran-lès-Béziers,lieuran les beziers,43.413140991736,3.2337360330579
13255,34,34140,34490,Lignan-sur-Orb,lignan sur orb,43.383879830508,3.1745776271186
13256,34,34141,34210,La Livinière,la liviniere,43.33856715415,2.6369348221344
13257,34,34142,34700,Lodève,lodeve,43.729489662921,3.3074476029963
13258,34,34143,34140,Loupian,loupian,43.457339365079,3.613469047619
13259,34,34144,34650,Lunas,lunas,43.70708025974,3.1985244588745
13260,34,34145,34400,Lunel,lunel,43.679270854701,4.1335299145299
13261,34,34146,34400,Lunel-Viel,lunel viel,43.681344123711,4.0844050515464
13262,34,34147,34480,Magalas,magalas,43.480826474359,3.216111474359
13263,34,34148,34370,Maraussan,maraussan,43.3698794,3.1537228
13264,34,34149,34320,Margon,margon,43.486090169492,3.3009081355932
13265,34,34150,34340,Marseillan,marseillan,43.357722857143,3.5294093167702
13266,34,34151,34590,Marsillargues,marsillargues,43.635932814815,4.1450308888889
13267,34,34152,34380,Mas-de-Londres,mas de londres,43.788840097561,3.7727094634146
13268,34,34153,34270,Les Matelles,les matelles,43.728849404762,3.8103488690476
13269,34,34154,34130,Mauguio,mauguio,43.6235613,4.0491077
13270,34,34154,34280,Mauguio,mauguio,43.5702741,4.0644352
13271,34,34155,34370,Maureilhan,maureilhan,43.352434018692,3.1005164485981
13272,34,34156,34800,Mérifons,merifons,43.636125315315,3.2798018018018
13273,34,34157,34140,Mèze,meze,43.445060183486,3.5614801834862
13274,34,34158,34210,Minerve,minerve,43.364041458333,2.7196961666667
13275,34,34159,34110,Mireval,mireval,43.515962837838,3.8059401351351
13276,34,34160,34390,Mons,mons,43.569017031963,2.9684215525114
13277,34,34161,34310,Montady,montady,43.330217764706,3.1142845882353
13278,34,34162,34530,Montagnac,montagnac,43.473380871795,3.5081926153846
13279,34,34163,34570,Montarnaud,montarnaud,43.647795986842,3.7027688157895
13280,34,34164,34160,Montaud,montaud,43.750049017341,3.9651134104046
13281,34,34165,34560,Montbazin,montbazin,43.524574202899,3.6718795652174
13282,34,34166,34290,Montblanc,montblanc,43.375190942029,3.3621339130435
13283,34,34167,34310,Montels,montels,43.285847906977,3.0184660465116
13284,34,34168,34320,Montesquieu,montesquieu,43.56340760274,3.2717736986301
