id,department_code,insee_code,zip_code,-CALVADOS,slug,gps_lat,gps_lng
4919,14,14575,14950,Saint-Étienne-la-Thillaye,saint etienne la thillaye,49.295168814815,0.11907088888889
4920,14,14576,14140,Val-de-Vie,val de vie,48.960983106383,0.16354689361702
4921,14,14578,14130,Saint-Gatien-des-Bois,saint gatien des bois,49.35612986456,0.18644582392777
4922,14,14579,14260,Seulline,seulline,49.0708204,-0.6909592
4923,14,14579,14310,Seulline,seulline,49.0708204,-0.6909592
4924,14,14582,14100,Saint-Germain-de-Livet,saint germain de livet,49.078312061856,0.20511304123711
4925,14,14586,14230,Saint-Germain-du-Pert,saint germain du pert,49.324184352941,-1.0425676470588
4926,14,14587,14280,Saint-Germain-la-Blanche-Herbe,saint germain la blanche herbe,49.194942631579,-0.41663342105263
4927,14,14588,14700,Saint-Germain-Langot,saint germain langot,48.924259327731,-0.32487075630252
4928,14,14589,14190,Saint-Germain-le-Vasson,saint germain le vasson,49.000310566038,-0.30867301886792
4929,14,14590,14240,Sainte-Honorine-de-Ducy,sainte honorine de ducy,49.139232637363,-0.78529571428571
4930,14,14591,14520,Aure sur Mer,aure sur mer,49.2184765,-0.7314211
4931,14,14591,14710,Aure sur Mer,aure sur mer,49.348608,-0.844039
4932,14,14592,14210,Sainte-Honorine-du-Fay,sainte honorine du fay,49.07042266055,-0.4877480733945
4933,14,14593,14130,Saint-Hymer,saint hymer,49.245097086093,0.16840059602649
4934,14,14595,14100,Saint-Jean-de-Livet,saint jean de livet,49.093756483516,0.24030747252747
4935,14,14598,14430,Saint-Jouin,saint jouin,49.2215828,-0.0117783
4936,14,14601,14130,Saint-Julien-sur-Calonne,saint julien sur calonne,49.290215197368,0.23021651315789
4937,14,14602,14570,Saint-Lambert,saint lambert,48.938203939394,-0.53254222222222
4938,14,14603,14220,Saint-Laurent-de-Condel,saint laurent de condel,49.029725259259,-0.39799407407407
4939,14,14604,14340,Saint-Laurent-du-Mont,saint laurent du mont,49.1399492,0.02592306666667
4940,14,14605,14710,Saint-Laurent-sur-Mer,saint laurent sur mer,49.358269803922,-0.87775470588235
4941,14,14606,14430,Saint-Léger-Dubosq,saint leger dubosq,49.230578965517,-0.01380232758621
4942,14,14607,14310,Saint-Louet-sur-Seulles,saint louet sur seulles,49.098547979798,-0.67486515151515
4943,14,14609,14400,Saint-Loup-Hors,saint loup hors,49.263875272727,-0.73519527272727
4944,14,14610,14740,Saint-Manvieu-Norrey,saint manvieu norrey,49.185367878788,-0.49841681818182
4945,14,14613,14330,Saint-Marcouf,saint marcouf,49.255047241379,-0.99773954022988
4946,14,14614,14330,Sainte-Marguerite-d'Elle,sainte marguerite d elle,49.218340695971,-0.98989139194139
4947,14,14619,14380,Sainte-Marie-Outre-l'Eau,sainte marie outre l eau,48.928780916667,-1.0285515833333
4948,14,14620,14130,Saint-Martin-aux-Chartrains,saint martin aux chartrains,49.30886738806,0.15674455223881
4949,14,14621,14290,Saint-Martin-de-Bienfaite-la-Cressonnière,saint martin de bienfaite la cressonniere,49.035814733728,0.35192047337278
4950,14,14622,14710,Saint-Martin-de-Blagny,saint martin de blagny,49.249925086705,-0.94047121387283
4951,14,14623,14320,Saint-Martin-de-Fontenay,saint martin de fontenay,49.11854025641,-0.35734666666667
