,,,,-LOT,,,
17189,46,46092,46090,Esclauzels,esclauzels,44.430978216216,1.5963635135135
17190,46,46093,46320,Espagnac-Sainte-Eulalie,espagnac sainte eulalie,44.591969724771,1.8609649541284
17191,46,46094,46320,Espédaillac,espedaillac,44.628881895425,1.7767080392157
17192,46,46095,46090,Espère,espere,44.51275859375,1.3742284375
17193,46,46096,46120,Espeyroux,espeyroux,44.763818962963,1.9293661481482
17194,46,46097,46130,Estal,estal,44.919799133858,1.9167756692913
17195,46,46098,46300,Fajoles,fajoles,44.80759,1.3829503296703
17196,46,46099,46800,Fargues,fargues,44.404538934426,1.1831500819672
17197,46,46100,46100,Faycelles,faycelles,44.566514244604,1.9905485611511
17198,46,46101,46270,Felzins,felzins,44.611649415584,2.1493979220779
17199,46,46102,46100,Figeac,figeac,44.604527636364,2.0203760606061
17200,46,46103,46170,Saint-Paul-Flaugnac,saint paul flaugnac,44.277866748252,1.4279521328671
17201,46,46104,46320,Flaujac-Gare,flaujac gare,44.708411090909,1.7745881818182
17202,46,46105,46090,Flaujac-Poujols,flaujac poujols,44.40893704,1.49522608
17203,46,46106,46600,Floirac,floirac,44.911841721311,1.6601486065574
17204,46,46107,46700,Floressas,floressas,44.460584363636,1.1183143030303
17205,46,46108,46100,Fons,fons,44.662266049383,1.9521914814815
17206,46,46109,46230,Fontanes,fontanes,44.323166521739,1.4909115652174
17207,46,46111,46100,Fourmagnac,fourmagnac,44.666322020202,1.9813292929293
17208,46,46112,46090,Francoulès,francoules,44.556875095541,1.4910498726115
17209,46,46113,46310,Frayssinet,frayssinet,44.651473565217,1.4850436521739
17210,46,46114,46250,Frayssinet-le-Gélat,frayssinet le gelat,44.588423661972,1.1501891549296
17211,46,46115,46400,Frayssinhes,frayssinhes,44.8706275625,1.936806125
17212,46,46116,46160,Frontenac,frontenac,44.547059032258,1.9711233870968
17213,46,46117,46130,Gagnac-sur-Cère,gagnac sur cere,44.93908,1.8856679888268
17214,46,46118,46600,Gignac,gignac,44.983384428044,1.4610335424354
17215,46,46119,46150,Gigouzac,gigouzac,44.583862327586,1.4327660344828
17216,46,46120,46250,Gindou,gindou,44.627812810811,1.2631292432432
17217,46,46121,46300,Ginouillac,ginouillac,44.725096901408,1.5388463380282
17218,46,46122,46130,Gintrac,gintrac,44.88360721519,1.7523279746835
17219,46,46123,46130,Girac,girac,44.925809480519,1.8212444155844
17220,46,46124,46130,Glanes,glanes,44.920049411765,1.8743279411765
17221,46,46125,46210,Gorses,gorses,44.800065566265,2.0328345783132
17222,46,46126,46250,Goujounac,goujounac,44.5765479,1.2056491
17223,46,46127,46300,Gourdon,gourdon,44.734631708075,1.3732079192547
17224,46,46128,46500,Gramat,gramat,44.767730540541,1.7205186486487
17225,46,46129,46160,Gréalou,grealou,44.54202122449,1.8726218367347
17226,46,46130,46700,Grézels,grezels,44.465742348485,1.1506714393939
17227,46,46131,46320,Grèzes,grezes,44.619787209302,1.8225351162791
17228,46,46132,46500,Issendolus,issendolus,44.740155357143,1.7860390714286
17229,46,46133,46320,Issepts,issepts,44.6767125,1.91361953125
17230,46,46134,46150,Les Junies,les junies,44.540937107438,1.2261100826446
17231,46,46135,46210,Labastide-du-Haut-Mont,labastide du haut mont,44.8253835625,2.1126214375
17232,46,46136,46150,Labastide-du-Vert,labastide du vert,44.515905929204,1.2657547787611
17233,46,46137,46090,Labastide-Marnhac,labastide marnhac,44.390724236453,1.3891072413793
17234,46,46138,46240,Cœur de Causse,coeur de causse,44.646761827676,1.5787432898172
17235,46,46139,46120,Labathude,labathude,44.73381539604,1.9853281188119
17236,46,46140,46230,Laburgade,laburgade,44.3907066,1.5369303
17237,46,46142,46700,Lacapelle-Cabanac,lacapelle cabanac,44.4721044,1.0743502666667
17238,46,46143,46120,Lacapelle-Marival,lacapelle marival,44.729227720588,1.9360124264706
17239,46,46144,46200,Lacave,lacave,44.840555031847,1.5539665605095
17240,46,46145,46200,Lachapelle-Auzac,lachapelle auzac,44.936480643777,1.4762611158798
17241,46,46146,46400,Ladirat,ladirat,44.823996588235,1.9677954705882
