,,,,-MAYENNE,,,
19745,53,53086,53380,La Croixille,la croixille,48.194255819672,-1.0488919398907
19746,53,53087,53170,La Cropte,la cropte,47.956649045936,-0.49194303886926
19747,53,53088,53540,Cuillé,cuille,47.970977398374,-1.1129555555556
19748,53,53089,53200,Daon,daon,47.758353190184,-0.62696006134969
19749,53,53090,53400,Denazé,denaze,47.876885416667,-0.88562236111111
19750,53,53091,53190,Désertines,desertines,48.477187574074,-0.86899561111111
19751,53,53092,53150,Deux-Évailles,deux evailles,48.1905865,-0.52660221428571
19752,53,53093,53190,La Dorée,la doree,48.448814387352,-0.96617415019763
19753,53,53094,53260,Entrammes,entrammes,47.988884279476,-0.70961794759825
19754,53,53096,53500,Ernée,ernee,48.298715915493,-0.94087855633803
19755,53,53097,53600,Évron,evron,48.147745526316,-0.39704887218045
19756,53,53098,53350,Fontaine-Couverte,fontaine couverte,47.909478820513,-1.1389882051282
19757,53,53099,53260,Forcé,force,48.028037216495,-0.70440649484536
19758,53,53100,53190,Fougerolles-du-Plessis,fougerolles du plessis,48.483990773481,-0.94868364640884
19759,53,53101,53200,Fromentières,fromentieres,47.868793627907,-0.6648943255814
19760,53,53102,53540,Gastines,gastines,47.943470075188,-1.113407443609
19761,53,53103,53940,Le Genest-Saint-Isle,le genest saint isle,48.103092474227,-0.89790871134021
19762,53,53104,53200,Gennes-sur-Glaize,gennes sur glaize,47.843857628866,-0.58811573883162
19763,53,53105,53150,Gesnes,gesnes,48.151607857143,-0.59128585714286
19764,53,53106,53370,Gesvres,gesvres,48.380276918919,-0.16079945945946
19765,53,53107,53120,Gorron,gorron,48.424195846154,-0.79956758974359
19766,53,53108,53410,La Gravelle,la gravelle,48.076210724638,-1.0210917391304
19767,53,53109,53440,Grazay,grazay,48.289641411765,-0.47673094117647
19768,53,53110,53290,Grez-en-Bouère,grez en bouere,47.870089,-0.54200167857143
19769,53,53111,53300,La Haie-Traversaine,la haie traversaine,48.361490873016,-0.61142126984127
19770,53,53112,53250,Le Ham,le ham,48.37453969697,-0.34469011363636
19771,53,53113,53160,Hambers,hambers,48.255009342105,-0.4251074122807
19772,53,53114,53640,Hardanges,hardanges,48.33379406015,-0.40229466165414
19773,53,53115,53120,Hercé,herce,48.424138352273,-0.86372755681818
19774,53,53116,53640,Le Horps,le horps,48.390335350877,-0.45998793859649
19775,53,53117,53360,Houssay,houssay,47.916025384615,-0.74262166666667
19776,53,53118,53110,Le Housseau-Brétignolles,le housseau bretignolles,48.469352280702,-0.53857122807018
19777,53,53119,53970,L'Huisserie,l huisserie,48.011387073171,-0.76963243902439
19778,53,53120,53160,Izé,ize,48.230920687285,-0.29738855670103
19779,53,53121,53250,Javron-les-Chapelles,javron les chapelles,48.423550563725,-0.32966348039216
19780,53,53122,53160,Jublains,jublains,48.247565318352,-0.49525756554307
19781,53,53123,53380,Juvigné,juvigne,48.23564246114,-1.0296759067358
19782,53,53124,53200,Prée-d'Anjou,pree d anjou,47.832007712766,-0.82808119680851
19783,53,53125,53190,Landivy,landivy,48.482223932039,-1.0393493203884
19784,53,53126,53220,Larchamp,larchamp,48.342086426593,-1.0019019113573
19785,53,53127,53110,Lassay-les-Châteaux,lassay les chateaux,48.445639461207,-0.49829838362069
19786,53,53128,53540,Laubrières,laubrieres,47.948064407895,-1.0681925
19787,53,53129,53410,Launay-Villiers,launay villiers,48.132205601852,-1.0119752777778
19788,53,53130,53000,Laval,laval,48.06624322449,-0.76528857142857
19789,53,53131,53120,Lesbois,lesbois,48.449954152542,-0.79560559322034
19790,53,53132,53120,Levaré,levare,48.416282021277,-0.90362494680851
19791,53,53133,53140,Lignières-Orgères,lignieres orgeres,48.526527884615,-0.21773967948718
19792,53,53134,53150,Livet,livet,48.11516456,-0.45917608
19793,53,53135,53400,Livré-la-Touche,livre la touche,47.889263658537,-0.98299280487805
19794,53,53136,53200,Loigné-sur-Mayenne,loigne sur mayenne,47.869996717557,-0.73489755725191
19795,53,53137,53320,Loiron-Ruillé,loiron ruille,48.062974179104,-0.92540313432836
19796,53,53138,53200,Longuefuye,longuefuye,47.87790672043,-0.59619177419355
19797,53,53139,53700,Loupfougères,loupfougeres,48.334469178082,-0.35147401826484
19798,53,53140,53950,Louverné,louverne,48.124381818182,-0.71285880681818
19799,53,53141,53210,Louvigné,louvigne,48.053138432432,-0.63385427027027
