,,,,-MARNE,,,
18701,51,51085,51210,Le Breuil,le breuil,48.975561125,3.650999375
18702,51,51086,51140,Breuil,breuil,49.302644435484,3.7724221774194
18703,51,51087,51240,Breuvery-sur-Coole,breuvery sur coole,48.857647222222,4.3077583333333
18704,51,51088,51220,Brimont,brimont,49.333521938776,4.0350980612245
18705,51,51089,51170,Brouillet,brouillet,49.228975333333,3.738354
18706,51,51090,51230,Broussy-le-Grand,broussy le grand,48.791562613636,3.8609234090909
18707,51,51091,51230,Broussy-le-Petit,broussy le petit,48.784193787879,3.8340022727273
18708,51,51092,51120,Broyes,broyes,48.761204571429,3.7602759047619
18709,51,51093,51530,Brugny-Vaudancourt,brugny vaudancourt,48.983189166667,3.8543748611111
18710,51,51094,51300,Brusson,brusson,48.74222125,4.7086655208333
18711,51,51095,51300,Le Buisson,le buisson,48.758905547945,4.7498734931507
18712,51,51097,51600,Bussy-le-Château,bussy le chateau,49.063903333333,4.5165016666667
18713,51,51098,51330,Bussy-le-Repos,bussy le repos,48.898723779528,4.7465022047244
18714,51,51099,51320,Bussy-Lettrée,bussy lettree,48.800264791667,4.2442985416667
18715,51,51100,51270,La Caure,la caure,48.91201675,3.77278975
18716,51,51101,51110,Caurel,caurel,49.300978055556,4.1459704166667
18717,51,51102,51220,Cauroy-lès-Hermonville,cauroy les hermonville,49.355607525773,3.9229118556701
18718,51,51103,51260,La Celle-sous-Chantemerle,la celle sous chantemerle,48.609515340909,3.6817809090909
18719,51,51104,51800,Cernay-en-Dormois,cernay en dormois,49.225673668831,4.7729222727273
18720,51,51105,51420,Cernay-lès-Reims,cernay les reims,49.25968886076,4.1160530379747
18721,51,51106,51240,Cernon,cernon,48.833785081967,4.3476552459016
18722,51,51107,51130,Chaintrix-Bierges,chaintrix bierges,48.899278163265,4.1037693877551
18723,51,51108,51000,Châlons-en-Champagne,chalons en champagne,48.952163709677,4.3702725806452
18724,51,51109,51140,Châlons-sur-Vesle,chalons sur vesle,49.282443898305,3.9241115254237
18725,51,51110,51130,Chaltrait,chaltrait,48.938239285714,3.8904919047619
18726,51,51111,51170,Chambrecy,chambrecy,49.183859117647,3.8258351960784
18727,51,51112,51500,Chamery,chamery,49.168899827586,3.9535031034483
18728,51,51113,51270,Champaubert,champaubert,48.889255154639,3.7721254639175
18729,51,51115,51500,Champfleury,champfleury,49.194262051282,4.0195861538462
18730,51,51116,51310,Champguyon,champguyon,48.770777462687,3.5677270149254
18731,51,51117,51150,Champigneul-Champagne,champigneul champagne,48.971028203125,4.17362515625
18732,51,51118,51370,Champigny,champigny,49.270418947368,3.95967
18733,51,51119,51160,Champillon,champillon,49.084826315789,3.9731384210526
18734,51,51120,51480,Champlat-et-Boujacourt,champlat et boujacourt,49.156772162162,3.8233985135135
18735,51,51121,51700,Champvoisy,champvoisy,49.126587901235,3.6355274074074
18736,51,51122,51300,Changy,changy,48.777614146341,4.6843856097561
18737,51,51124,51260,Chantemerle,chantemerle,48.619718453608,3.642261443299
18738,51,51125,51290,Chapelaine,chapelaine,48.577256875,4.4900738541667
18739,51,51126,51800,La Chapelle-Felcourt,la chapelle felcourt,49.041198611111,4.7542572222222
18740,51,51127,51260,La Chapelle-Lasson,la chapelle lasson,48.636197209302,3.8136174418605
18741,51,51128,51270,La Chapelle-sous-Orbais,la chapelle sous orbais,48.910867912088,3.7218205494506
18742,51,51129,51120,Charleville,charleville,48.802006521739,3.6555131884058
18743,51,51130,51330,Charmont,charmont,48.868452542373,4.8722619774011
18744,51,51132,51330,Les Charmontois,les charmontois,48.964777559055,4.9970053937008
18745,51,51133,51330,Le Châtelier,le chatelier,48.938927722222,4.9259617222222
18746,51,51134,51300,Châtelraould-Saint-Louvent,chatelraould saint louvent,48.663879809524,4.5207306666667
18747,51,51135,51290,Châtillon-sur-Broué,chatillon sur broue,48.544299298246,4.6990819298246
18748,51,51136,51700,Châtillon-sur-Marne,chatillon sur marne,49.105928396947,3.7691003053435
18749,51,51137,51310,Châtillon-sur-Morin,chatillon sur morin,48.69988758427,3.5827761797753
18750,51,51138,51800,Châtrices,chatrices,49.03370992126,4.9223864566929
18751,51,51139,51800,Chaudefontaine,chaudefontaine,49.107761192661,4.8945094036697
18752,51,51140,51170,Chaumuzy,chaumuzy,49.15899143617,3.8694587765957
18753,51,51141,51240,La Chaussée-sur-Marne,la chaussee sur marne,48.838356,4.5357378947368
18754,51,51142,51530,Chavot-Courcourt,chavot courcourt,48.999739866667,3.917554
18755,51,51143,51800,Le Chemin,le chemin,49.000160348837,4.9745925581395
18756,51,51144,51250,Cheminon,cheminon,48.741557591973,4.9118066889632
18757,51,51145,51140,Chenay,chenay,49.301825384615,3.9264273076923
18758,51,51146,51510,Cheniers,cheniers,48.891543829787,4.2497642553191
18759,51,51147,51600,La Cheppe,la cheppe,49.053913690476,4.4872369047619
18760,51,51148,51240,Cheppes-la-Prairie,cheppes la prairie,48.830925321101,4.463841559633
18761,51,51149,51240,Chepy,chepy,48.903159384615,4.4446016923077
18762,51,51150,51150,Cherville,cherville,49.004912753623,4.1525026086956
18763,51,51151,51120,Chichey,chichey,48.68281212766,3.755775106383
18764,51,51152,51500,Chigny-les-Roses,chigny les roses,49.154604576271,4.062779661017
18765,51,51153,51530,Chouilly,chouilly,49.017979754098,3.9987660655738
18766,51,51154,51130,Clamanges,clamanges,48.828206880734,4.0982468807339
18767,51,51155,51260,Clesles,clesles,48.52811172619,3.8149395238095
18768,51,51156,51300,Cloyes-sur-Marne,cloyes sur marne,48.658510779221,4.6375657142857
18769,51,51157,51270,Coizard-Joches,coizard joches,48.829411780822,3.8646431506849
18770,51,51158,51130,Val-des-Marais,val des marais,48.835734464286,3.9722214285714
18771,51,51160,51510,Compertrix,compertrix,48.930644912281,4.3343764912281
18772,51,51161,51150,Condé-sur-Marne,conde sur marne,49.039102095238,4.1790737142857
18773,51,51162,51260,Conflans-sur-Seine,conflans sur seine,48.542123680556,3.6791641666667
18774,51,51163,51270,Congy,congy,48.874638366013,3.8191745098039
18775,51,51164,51230,Connantray-Vaurefroy,connantray vaurefroy,48.736944404762,4.0703642857143
18776,51,51165,51230,Connantre,connantre,48.73391,3.9110716883117
18777,51,51166,51330,Contault,contault,48.913357377049,4.7843732786885
18778,51,51167,51320,Coole,coole,48.744448691589,4.3895159813084
18779,51,51168,51510,Coolus,coolus,48.910909268293,4.324143902439
18780,51,51169,51320,Corbeil,corbeil,48.574586808511,4.4370125531915
18781,51,51170,51210,Corfélix,corfelix,48.834446811594,3.7018547826087
18782,51,51171,51220,Cormicy,cormicy,49.381403631841,3.8842047761194
18783,51,51172,51350,Cormontreuil,cormontreuil,49.21703220339,4.0563845762712
18784,51,51173,51480,Cormoyeux,cormoyeux,49.1062205,3.916169
18785,51,51174,51270,Corribert,corribert,48.946222574257,3.7716296039604
18786,51,51175,51210,Corrobert,corrobert,48.924060909091,3.6075701818182
18787,51,51176,51230,Corroy,corroy,48.702667848101,3.9576902531646
18788,51,51177,51390,Coulommes-la-Montagne,coulommes la montagne,49.226594814815,3.9109516666667
18789,51,51178,51240,Coupetz,coupetz,48.814915818182,4.3531981818182
18790,51,51179,51240,Coupéville,coupeville,48.906609514563,4.6240334951456
18791,51,51181,51140,Courcelles-Sapicourt,courcelles sapicourt,49.268237605634,3.8422449295775
18792,51,51182,51260,Courcemain,courcemain,48.61658952381,3.9353892857143
18793,51,51183,51220,Courcy,courcy,49.327991866667,4.0162314666667
18794,51,51184,51300,Courdemanges,courdemanges,48.689112610837,4.5319308374384
18795,51,51185,51310,Courgivaux,courgivaux,48.713739047619,3.4927513333333
18796,51,51186,51270,Courjeonnet,courjeonnet,48.827502888889,3.8270506666667
18797,51,51187,51170,Courlandon,courlandon,49.313928103448,3.734405862069
18798,51,51188,51390,Courmas,courmas,49.18730972973,3.9114056756757
18799,51,51190,51480,Courtagnon,courtagnon,49.143501960784,3.9462537254902
18800,51,51191,51800,Courtémont,courtemont,49.137573491124,4.7943853846154
18801,51,51192,51700,Courthiézy,courthiezy,49.052106666667,3.6015815384615
18802,51,51193,51460,Courtisols,courtisols,48.968018947368,4.519333245614
18803,51,51194,51170,Courville,courville,49.271350657895,3.7051434210526
18804,51,51195,51300,Couvrot,couvrot,48.763545384615,4.5671351538462
18805,51,51196,51530,Cramant,cramant,48.988178470588,4.0047536470588
18806,51,51197,51600,La Croix-en-Champagne,la croix en champagne,49.071879534884,4.6631160465116
18807,51,51198,51170,Crugny,crugny,49.251406826923,3.7368371153846
18808,51,51199,51480,Cuchery,cuchery,49.129846363636,3.8263854545455
18809,51,51200,51530,Cuis,cuis,48.997692,3.9660775384615
18810,51,51201,51700,Cuisles,cuisles,49.130550483871,3.7732398387097
18811,51,51202,51480,Cumières,cumieres,49.07336,3.9191045070422
