id,department_code,insee_code,zip_code,-ARDENNES,slug,gps_lat,gps_lng
2665,8,8281,8110,Matton-et-Clémency,matton et clemency,49.675052805755,5.2230620143885
2666,8,8282,8260,Maubert-Fontaine,maubert fontaine,49.879314875,4.4318755
2667,8,8283,8430,Mazerny,mazerny,49.60426825,4.6209895833333
2668,8,8284,8500,Les Mazures,les mazures,49.890265318352,4.6264655805243
2669,8,8286,8310,Ménil-Annelles,menil annelles,49.439196756757,4.4490474324324
2670,8,8287,8310,Ménil-Lépinois,menil lepinois,49.376067777778,4.2832222222222
2671,8,8288,8270,Mesmont,mesmont,49.619613418803,4.401112991453
2672,8,8289,8110,Messincourt,messincourt,49.689574771242,5.1515107843137
2673,8,8291,8110,Mogues,mogues,49.658409909091,5.281681
2674,8,8293,8370,Moiry,moiry,49.598456146789,5.2790035779817
2675,8,8294,8140,La Moncelle,la moncelle,49.692727666667,4.9962736666667
2676,8,8295,8430,Mondigny,mondigny,49.713304153846,4.6376647692308
2677,8,8296,8250,Montcheutin,montcheutin,49.293435306122,4.8147613265306
2678,8,8297,8090,Montcornet,montcornet,49.832257623762,4.6499786633663
2679,8,8298,8090,Montcy-Notre-Dame,montcy notre dame,49.791742698413,4.7400458730159
2680,8,8300,8390,Le Mont-Dieu,le mont dieu,49.555267307692,4.8506841346154
2681,8,8301,8390,Montgon,montgon,49.513524404762,4.7206051190476
2682,8,8302,8800,Monthermé,montherme,49.896421800948,4.7454525592417
2683,8,8303,8400,Monthois,monthois,49.305611372549,4.7105296732026
2684,8,8304,8170,Montigny-sur-Meuse,montigny sur meuse,50.048681923077,4.7103192307692
2685,8,8305,8430,Montigny-sur-Vence,montigny sur vence,49.648940309278,4.609394742268
2686,8,8306,8130,Mont-Laurent,mont laurent,49.469922631579,4.4870257894737
2687,8,8307,8220,Montmeillant,montmeillant,49.704703186813,4.3295304395604
2688,8,8308,8400,Mont-Saint-Martin,mont saint martin,49.334386046512,4.6489568604651
2689,8,8309,8310,Mont-Saint-Remy,mont saint remy,49.391302,4.4714702222222
2690,8,8310,8250,Mouron,mouron,49.316671311475,4.7810804918033
2691,8,8311,8210,Mouzon,mouzon,49.599973147541,5.0680459344262
2692,8,8312,8150,Murtin-et-Bogny,murtin et bogny,49.805842126437,4.5396161494253
2693,8,8313,8300,Nanteuil-sur-Aisne,nanteuil sur aisne,49.507755833333,4.3006233333333
2694,8,8314,8300,Neuflize,neuflize,49.40532942029,4.3114442028986
2695,8,8315,8460,Neufmaison,neufmaison,49.760112,4.5121056190476
2696,8,8316,8700,Neufmanil,neufmanil,49.82380168,4.80901312
2697,8,8317,8450,La Neuville-à-Maire,la neuville a maire,49.578723916084,4.8549812587413
2698,8,8318,8380,La Neuville-aux-Joûtes,la neuville aux joutes,49.9292764,4.236
2699,8,8319,8380,Neuville-lez-Beaulieu,neuville lez beaulieu,49.917160408163,4.3670744897959
2700,8,8320,8310,La Neuville-en-Tourne-à-Fuy,la neuville en tourne a fuy,49.34458530303,4.3949127272727
2701,8,8321,8130,Neuville-Day,neuville day,49.505162115385,4.6874952884615
2702,8,8322,8090,Neuville-lès-This,neuville les this,49.733256790123,4.5914622222222
2703,8,8323,8270,La Neuville-lès-Wasigny,la neuville les wasigny,49.645342352941,4.3636088235294
2704,8,8324,8430,Neuvizy,neuvizy,49.627291666667,4.54087625
2705,8,8325,8400,Noirval,noirval,49.456673564356,4.7966384158416
2706,8,8326,8240,Nouart,nouart,49.444976992481,5.0506106766917
2707,8,8327,8160,Nouvion-sur-Meuse,nouvion sur meuse,49.71369688172,4.8007209677419
2708,8,8328,8700,Nouzonville,nouzonville,49.822449151515,4.7480229090909
2709,8,8329,8270,Novion-Porcien,novion porcien,49.598050714286,4.4296726785714
2710,8,8330,8300,Novy-Chevrières,novy chevrieres,49.544668716216,4.4458895945946
2711,8,8331,8350,Noyers-Pont-Maugis,noyers pont maugis,49.657012123894,4.9320773451327
