id,department_code,insee_code,zip_code,-CHARENTE,slug,gps_lat,gps_lng
5516,16,16229,16240,Montjean,montjean,46.083167391304,0.11109739130435
5517,16,16230,16190,Montmoreau,montmoreau,45.407909132948,0.13142612716763
5518,16,16231,16420,Montrollet,montrollet,45.994221885965,0.90458697368421
5519,16,16232,16600,Mornac,mornac,45.679725658915,0.28820062015504
5520,16,16233,16120,Mosnac,mosnac,45.614201666667,-0.01507318181818
5521,16,16234,16290,Moulidars,moulidars,45.666361185185,-0.03907540740741
5522,16,16236,16440,Mouthiers-sur-Boëme,mouthiers sur boeme,45.556723584906,0.1239948427673
5523,16,16237,16460,Mouton,mouton,45.891777115385,0.2383075
5524,16,16238,16460,Moutonneau,moutonneau,45.910711413043,0.2327472826087
5525,16,16239,16310,Mouzon,mouzon,45.797714351145,0.61301106870229
5526,16,16240,16390,Nabinaud,nabinaud,45.294280944882,0.21433818897638
5527,16,16241,16230,Nanclars,nanclars,45.845893538462,0.22650461538462
5528,16,16242,16700,Nanteuil-en-Vallée,nanteuil en vallee,46.006897212121,0.32503842424242
5529,16,16243,16200,Nercillac,nercillac,45.721958024691,-0.26463777777778
5530,16,16244,16440,Nersac,nersac,45.62421,0.06458117647059
5531,16,16245,16270,Nieuil,nieuil,45.884868547486,0.52614268156425
5532,16,16246,16190,Nonac,nonac,45.423906557377,0.04865158469945
5533,16,16248,16140,Oradour,oradour,45.911123020833,-0.0304115625
5534,16,16249,16500,Oradour-Fanais,oradour fanais,46.113177771588,0.78869665738162
5535,16,16250,16220,Orgedeuil,orgedeuil,45.6986471875,0.48622015625
5536,16,16251,16480,Oriolles,oriolles,45.356522236287,-0.14413071729958
5537,16,16252,16210,Orival,orival,45.283576666667,0.07286677777778
5538,16,16253,16240,Paizay-Naudouin-Embourie,paizay naudouin embourie,46.031606197183,0.00031615023474
5539,16,16254,16390,Palluaud,palluaud,45.34947018018,0.24483810810811
5540,16,16255,16450,Parzac,parzac,45.925102564103,0.42612324786325
5541,16,16256,16480,Passirac,passirac,45.346032974684,-0.06361563291139
5542,16,16258,16250,Pérignac,perignac,45.464749810127,0.08297405063291
5543,16,16259,16270,La Péruse,la peruse,45.877932743363,0.62268672566372
5544,16,16260,16390,Pillac,pillac,45.323838530612,0.1806792244898
5545,16,16261,16260,Les Pins,les pins,45.815663743017,0.37250284916201
5546,16,16263,16250,Plassac-Rouffiac,plassac rouffiac,45.522523978495,0.07395731182796
5547,16,16264,16490,Pleuville,pleuville,46.092255544872,0.49266128205128
5548,16,16267,16190,Poullignac,poullignac,45.395351265823,-0.01065734177215
5549,16,16268,16700,Poursac,poursac,45.964265,0.26453537313433
5550,16,16269,16110,Pranzac,pranzac,45.675336412214,0.3447865648855
5551,16,16270,16150,Pressignac,pressignac,45.815229533528,0.7401978425656
5552,16,16271,16400,Puymoyen,puymoyen,45.614950120482,0.17166180722892
5553,16,16272,16230,Puyréaux,puyreaux,45.865469296875,0.216697421875
5554,16,16273,16240,Raix,raix,46.002372266667,0.11333853333333
5555,16,16274,16110,Rancogne,rancogne,45.702467592593,0.39076046296296
5556,16,16275,16140,Ranville-Breuillaud,ranville breuillaud,45.909140666667,-0.12690247619048
5557,16,16276,16360,Reignac,reignac,45.426877733333,-0.17359646666667
5558,16,16277,16200,Réparsac,reparsac,45.732465526316,-0.24834307017544
5559,16,16279,16210,Rioux-Martin,rioux martin,45.241327410072,0.00535151079137
5560,16,16280,16110,Rivières,rivieres,45.761520263158,0.35462833333333
5561,16,16281,16110,La Rochefoucauld,la rochefoucauld,45.734644150943,0.3919341509434
5562,16,16282,16110,La Rochette,la rochette,45.802321842105,0.31227710526316
5563,16,16283,16320,Ronsenac,ronsenac,45.454555951417,0.23862765182186
5564,16,16284,16210,Rouffiac,rouffiac,45.26628248227,0.09866929078014
5565,16,16285,16320,Rougnac,rougnac,45.538466931818,0.34829159090909
5566,16,16286,16170,Rouillac,rouillac,45.780135105485,-0.09668569620253
5567,16,16287,16440,Roullet-Saint-Estèphe,roullet saint estephe,45.582073939394,0.037855
5568,16,16289,16310,Roussines,roussines,45.723851657754,0.62480315508021
5569,16,16290,16220,Rouzède,rouzede,45.713257961783,0.56168643312102
5570,16,16291,16600,Ruelle-sur-Touvre,ruelle sur touvre,45.684714047619,0.23282658730159
5571,16,16292,16700,Ruffec,ruffec,46.038837826087,0.19694804347826
5572,16,16293,16310,Saint-Adjutory,saint adjutory,45.768682481203,0.48026684210526
