,,,,-JURA,,,
14926,39,39081,39800,Buvilly,buvilly,46.869091123596,5.7247874157303
14927,39,39083,39250,Censeau,censeau,46.813581782946,6.0793053488372
14928,39,39084,39110,Cernans,cernans,46.935236153846,5.9410169230769
14929,39,39085,39250,Cerniébaud,cerniebaud,46.739336724138,6.1156832758621
14930,39,39086,39240,Cernon,cernon,46.416095584416,5.6451185714286
14931,39,39088,39570,Cesancey,cesancey,46.62260483871,5.4903141935484
14932,39,39089,39240,Cézia,cezia,46.356837313433,5.5744955223881
14933,39,39090,39120,Chaînée-des-Coupis,chainee des coupis,46.92051,5.4355594545455
14934,39,39091,39150,Les Chalesmes,les chalesmes,46.694937194245,6.0255681294964
14935,39,39092,39270,Chambéria,chamberia,46.467341414141,5.5711084848485
14936,39,39093,39380,Chamblay,chamblay,46.994723,5.7074739
14937,39,39094,39800,Chamole,chamole,46.844837777778,5.7324396296296
14938,39,39095,39600,Champagne-sur-Loue,champagne sur loue,47.032374761905,5.8068004761905
14939,39,39096,39290,Champagney,champagney,47.258646106195,5.5071089380531
14940,39,39097,39300,Champagnole,champagnole,46.741270829268,5.8921277560976
14941,39,39099,39500,Champdivers,champdivers,47.004056363636,5.4009213636364
14942,39,39100,39230,Champrougier,champrougier,46.873493300971,5.5085633009709
14943,39,39101,39100,Champvans,champvans,47.100245757576,5.4177808333333
14944,39,39102,1590,Chancia,chancia,46.34494,5.6437626666667
14945,39,39103,39110,La Chapelle-sur-Furieuse,la chapelle sur furieuse,46.983406306306,5.8566955855856
14946,39,39104,39140,Chapelle-Voland,chapelle voland,46.803398414634,5.3807714939024
14947,39,39105,39300,Chapois,chapois,46.83077662069,5.9656124827586
14948,39,39106,39260,Charchilla,charchilla,46.466635425532,5.7155940425532
14949,39,39107,39130,Charcier,charcier,46.631209638554,5.7572228915663
14950,39,39108,39250,Charency,charency,46.766940588235,5.9940633333333
14951,39,39109,39130,Charézier,charezier,46.610546609195,5.7256868965517
14952,39,39110,39230,La Charme,la charme,46.846653518518,5.54725
14953,39,39111,39240,Charnod,charnod,46.340923802817,5.492345915493
14954,39,39112,39230,La Chassagne,la chassagne,46.866687083333,5.4517421875
14955,39,39113,39360,Chassal,chassal,46.357553738318,5.7841689719626
14956,39,39114,39210,Château-Chalon,chateau chalon,46.757228680556,5.6417495138889
14957,39,39115,39150,Château-des-Prés,chateau des pres,46.507929473684,5.9153994736842
14958,39,39116,39600,La Châtelaine,la chatelaine,46.860357768595,5.8245745454545
14959,39,39117,39380,Chatelay,chatelay,47.033177631579,5.7022636842105
14960,39,39118,39130,Châtel-de-Joux,chatel de joux,46.527297651515,5.8103817424242
14961,39,39119,39230,Le Chateley,le chateley,46.882141304348,5.5445913043478
14962,39,39120,39300,Châtelneuf,chatelneuf,46.663888264463,5.9194338016529
14963,39,39121,39700,Châtenois,chatenois,47.149164496124,5.5474324031008
14964,39,39122,39130,Châtillon,chatillon,46.663630512821,5.7393938461538
14965,39,39124,39230,Chaumergy,chaumergy,46.84158954955,5.4716209009009
14966,39,39126,39150,La Chaumusse,la chaumusse,46.603374915254,5.9469152542373
14967,39,39127,39800,Chaussenans,chaussenans,46.824139852941,5.7430764705882
14968,39,39128,39120,Chaussin,chaussin,46.972912466667,5.4055195333333
14969,39,39129,39150,Chaux-des-Crotenay,chaux des crotenay,46.662056592593,5.9566000740741
14970,39,39130,39150,Nanchez,nanchez,46.51661602649,5.847459205298
14971,39,39131,39150,La Chaux-du-Dombief,la chaux du dombief,46.600099090909,5.9013681363636
14972,39,39132,39230,La Chaux-en-Bresse,la chaux en bresse,46.825522631579,5.4747647368421
14973,39,39133,39110,Chaux-Champagny,chaux champagny,46.885136352201,5.881515408805
14974,39,39134,39270,Chavéria,chaveria,46.501432025316,5.5544592405063
14975,39,39136,39230,Chemenot,chemenot,46.861714057971,5.5188055072464
14976,39,39137,39240,Chemilla,chemilla,46.350786375,5.55800475
14977,39,39138,39120,Chemin,chemin,46.977464680851,5.3135872340425
14978,39,39139,39120,Chêne-Bernard,chene bernard,46.914133648649,5.4659597297297
14979,39,39140,39230,Chêne-Sec,chene sec,46.853412045455,5.4436006818182
14980,39,39141,39290,Chevigny,chevigny,47.177499017857,5.4736148214286
14981,39,39142,39190,Chevreaux,chevreaux,46.504775103448,5.4160706206897
14982,39,39143,39130,Chevrotaine,chevrotaine,46.65555421875,5.85422171875
14983,39,39145,39570,Chille,chille,46.692918269231,5.5716773076923
14984,39,39146,39570,Chilly-le-Vignoble,chilly le vignoble,46.659582808989,5.4961076404494
14985,39,39147,39110,Chilly-sur-Salins,chilly sur salins,46.870109247312,5.8621617204301
