id,department_code,insee_code,zip_code,-AISNE,slug,gps_lat,gps_lng
495,2,2084,2310,Bézu-le-Guéry,bezu le guery,49.008685,3.2239040625
496,2,2085,2400,Bézu-Saint-Germain,bezu saint germain,49.106202941176,3.4073512941177
497,2,2086,2300,Bichancourt,bichancourt,49.579891518987,3.2128658227848
498,2,2087,2290,Bieuxy,bieuxy,49.451885686274,3.2660123529412
499,2,2088,2860,Bièvres,bievres,49.491449354839,3.7170403225806
500,2,2089,2200,Billy-sur-Aisne,billy sur aisne,49.356526666667,3.3815737037037
501,2,2090,2210,Billy-sur-Ourcq,billy sur ourcq,49.224718414634,3.294438902439
502,2,2091,2160,Blanzy-lès-Fismes,blanzy les fismes,49.337870625,3.6698453125
503,2,2093,2300,Blérancourt,blerancourt,49.514650746269,3.1594041791045
504,2,2094,2400,Blesmes,blesmes,49.029279722222,3.4573719444444
505,2,2095,2110,Bohain-en-Vermandois,bohain en vermandois,49.987231655172,3.463204137931
506,2,2096,2270,Bois-lès-Pargny,bois les pargny,49.740859242424,3.6531574242424
507,2,2097,2350,Boncourt,boncourt,49.620752272727,3.9543927272727
508,2,2098,2400,Bonneil,bonneil,49.00941862069,3.3460331034483
509,2,2099,2400,Bonnesvalyn,bonnesvalyn,49.126761276596,3.3320006382979
510,2,2100,2420,Bony,bony,49.991154545455,3.2211744155844
511,2,2101,2250,Bosmont-sur-Serre,bosmont sur serre,49.736248202247,3.8696501123596
512,2,2102,2860,Bouconville-Vauclair,bouconville vauclair,49.460377663551,3.7553956074766
513,2,2103,2450,Boué,boue,50.011047956204,3.7060952554744
514,2,2104,2160,Bouffignereux,bouffignereux,49.375388615385,3.8479507692308
515,2,2105,2400,Bouresches,bouresches,49.065418163265,3.3146791836735
516,2,2106,2160,Bourg-et-Comin,bourg et comin,49.403443958333,3.659910625
517,2,2107,2300,Bourguignon-sous-Coucy,bourguignon sous coucy,49.543143655914,3.1581562365591
518,2,2108,2000,Bourguignon-sous-Montbavin,bourguignon sous montbavin,49.527169206349,3.5398417460318
519,2,2109,2140,La Bouteille,la bouteille,49.88304255814,3.9619238372093
520,2,2110,2220,Braine,braine,49.346143115942,3.533433115942
521,2,2111,2320,Brancourt-en-Laonnois,brancourt en laonnois,49.517477619048,3.4119144444444
522,2,2112,2110,Brancourt-le-Grand,brancourt le grand,49.981257702703,3.3967564864865
523,2,2114,2400,Brasles,brasles,49.057569014085,3.4130252112676
524,2,2115,2000,Braye-en-Laonnois,braye en laonnois,49.435283846154,3.6123421153846
525,2,2116,2140,Braye-en-Thiérache,braye en thierache,49.767525633803,3.9626309859155
526,2,2117,2480,Bray-Saint-Christophe,bray saint christophe,49.775891020408,3.1430436734694
527,2,2118,2880,Braye,braye,49.42401925,3.37796175
528,2,2119,2210,Brécy,brecy,49.137701587302,3.4225538095238
529,2,2120,2220,Brenelle,brenelle,49.365883,3.5467283333333
530,2,2121,2210,Breny,breny,49.185770923077,3.3452010769231
531,2,2122,2870,Brie,brie,49.59883516129,3.4744362903226
532,2,2123,2240,Brissay-Choigny,brissay choigny,49.723807132867,3.3910339160839
533,2,2124,2240,Brissy-Hamégicourt,brissy hamegicourt,49.745655675676,3.391085472973
534,2,2125,2810,Brumetz,brumetz,49.107380531915,3.1473268085106
535,2,2126,2360,Brunehamel,brunehamel,49.769320847458,4.1904286440678
536,2,2127,2130,Bruyères-sur-Fère,bruyeres sur fere,49.198129558824,3.4438648529412
537,2,2128,2860,Bruyères-et-Montbérault,bruyeres et montberault,49.518044876033,3.6693202479339
538,2,2129,2220,Bruys,bruys,49.261855287356,3.5662574712644
539,2,2130,2500,Bucilly,bucilly,49.865574315068,4.0918596575342
540,2,2131,2880,Bucy-le-Long,bucy le long,49.38610875,3.393501375
541,2,2132,2870,Bucy-lès-Cerny,bucy les cerny,49.578927368421,3.4923201052632
542,2,2133,2350,Bucy-lès-Pierrepont,bucy les pierrepont,49.649594512195,3.9012453658537
543,2,2134,2500,Buire,buire,49.908323061224,4.0591857142857
544,2,2135,2620,Buironfosse,buironfosse,49.958679230769,3.8344234965035
545,2,2136,2140,Burelles,burelles,49.773967727273,3.907956
546,2,2137,2810,Bussiares,bussiares,49.084625657895,3.2509442105263
547,2,2138,2200,Buzancy,buzancy,49.310936666667,3.3482533333333
548,2,2139,2300,Caillouël-Crépigny,caillouel crepigny,49.61756173913,3.1233510869565
549,2,2140,2300,Camelin,camelin,49.521524867257,3.1296397345133
550,2,2141,2260,La Capelle,la capelle,49.972031958763,3.9068597938144
551,2,2142,2680,Castres,castres,49.803313333333,3.2511955555556
552,2,2143,2420,Le Catelet,le catelet,50.000943125,3.24309875
553,2,2144,2490,Caulaincourt,caulaincourt,49.862116598639,3.1097373469388
554,2,2145,2300,Caumont,caumont,49.638674545455,3.1713755844156
555,2,2146,2330,Celles-lès-Condé,celles les conde,49.014596756757,3.5722243243243
556,2,2148,2370,Celles-sur-Aisne,celles sur aisne,49.418210405405,3.4688614864865
557,2,2149,2240,Cerizy,cerizy,49.765909850746,3.3339285074627
558,2,2150,2860,Cerny-en-Laonnois,cerny en laonnois,49.453337681159,3.6813957971014
559,2,2151,2870,Cerny-lès-Bucy,cerny les bucy,49.576259777778,3.5456022222222
560,2,2152,2220,Cerseuil,cerseuil,49.324489565217,3.5173327536232
561,2,2153,2320,Cessières,cessieres,49.559913918919,3.5003141891892
562,2,2154,2200,Chacrise,chacrise,49.300216311475,3.3932455737705
563,2,2155,2000,Chaillevois,chaillevois,49.507985208333,3.5243339583333
564,2,2156,2270,Chalandry,chalandry,49.674400508475,3.6490988135593
565,2,2157,2000,Chambry,chambry,49.59768,3.6654209859155
566,2,2158,2860,Chamouille,chamouille,49.472392564103,3.6689506410256
567,2,2159,2670,Champs,champs,49.539781119403,3.2595117910448
568,2,2160,2340,Chaourse,chaourse,49.706265407407,3.9903824444444
569,2,2162,2570,La Chapelle-sur-Chézy,la chapelle sur chezy,48.950612909091,3.3721783636364
570,2,2163,2310,Charly-sur-Marne,charly sur marne,48.976066021505,3.2896332258065
571,2,2164,2850,Le Charmel,le charmel,49.108329117647,3.5482717647059
572,2,2165,2800,Charmes,charmes,49.65268877551,3.3844646938776
573,2,2166,2400,Chartèves,charteves,49.090118356164,3.5043587671233
574,2,2167,2370,Chassemy,chassemy,49.376989290323,3.4911362580645
575,2,2168,2400,Château-Thierry,chateau thierry,49.055723614458,3.3865122891566
576,2,2169,2270,Châtillon-lès-Sons,chatillon les sons,49.758670578512,3.6978932231405
577,2,2170,2240,Châtillon-sur-Oise,chatillon sur oise,49.792595081967,3.418937704918
578,2,2171,2160,Chaudardes,chaudardes,49.396597752809,3.7920285393258
579,2,2172,2200,Chaudun,chaudun,49.311836486486,3.2507683783784
580,2,2173,2300,Chauny,chauny,49.615112551724,3.2210667586207
581,2,2174,2000,Chavignon,chavignon,49.481964126984,3.5198807936508
582,2,2175,2880,Chavigny,chavigny,49.4231192,3.3071288
583,2,2176,2370,Chavonne,chavonne,49.408430576923,3.5627263461539
584,2,2177,2860,Chérêt,cheret,49.515800714286,3.6895114285714
585,2,2178,2860,Chermizy-Ailles,chermizy ailles,49.463324495413,3.7159825688073
586,2,2179,2220,Chéry-Chartreuve,chery chartreuve,49.257743300971,3.6069403883495
587,2,2180,2000,Chéry-lès-Pouilly,chery les pouilly,49.646913692308,3.5929509230769
588,2,2181,2360,Chéry-lès-Rozoy,chery les rozoy,49.723653362069,4.0996128448276
589,2,2182,2250,Chevennes,chevennes,49.81825671875,3.7356875
590,2,2183,2000,Chevregny,chevregny,49.46714755102,3.5953067346939
591,2,2184,2270,Chevresis-Monceau,chevresis monceau,49.764699545455,3.590127987013
592,2,2185,2810,Chézy-en-Orxois,chezy en orxois,49.134055333333,3.1601654
593,2,2186,2570,Chézy-sur-Marne,chezy sur marne,48.98329,3.3842038317757
594,2,2187,2400,Chierry,chierry,49.036076964286,3.4356235714286
595,2,2188,2120,Chigny,chigny,49.928730422535,3.7725674178404
596,2,2189,2350,Chivres-en-Laonnois,chivres en laonnois,49.624278518519,3.8525981481482
597,2,2190,2880,Chivres-Val,chivres val,49.400324516129,3.4322877419355
598,2,2191,2000,Chivy-lès-Étouvelles,chivy les etouvelles,49.531508360656,3.5881581967213
599,2,2192,2210,Chouy,chouy,49.211511581197,3.2396627777778
