,,,,-SOMME,,,
31785,80,80084,80140,Bermesnil,bermesnil,49.897205671642,1.740343880597
31786,80,80085,80370,Bernâtre,bernatre,50.19341890411,2.0952721917808
31787,80,80086,80370,Bernaville,bernaville,50.130943076923,2.1734777692308
31788,80,80087,80120,Bernay-en-Ponthieu,bernay en ponthieu,50.267325309735,1.749212920354
31789,80,80088,80240,Bernes,bernes,49.906278347826,3.1033896521739
31790,80,80089,80620,Berneuil,berneuil,50.088462027027,2.1734368918919
31791,80,80090,80200,Berny-en-Santerre,berny en santerre,49.864416315789,2.85187
31792,80,80092,80260,Bertangles,bertangles,49.974927692308,2.2932792307692
31793,80,80093,80850,Berteaucourt-les-Dames,berteaucourt les dames,50.045322368421,2.1550514473684
31794,80,80094,80110,Berteaucourt-lès-Thennes,berteaucourt les thennes,49.817241372549,2.4643184313726
31795,80,80095,80560,Bertrancourt,bertrancourt,50.102348596491,2.5640015789474
31796,80,80096,80130,Béthencourt-sur-Mer,bethencourt sur mer,50.076596756757,1.5011616216216
31797,80,80097,80190,Béthencourt-sur-Somme,bethencourt sur somme,49.790507037037,2.9591172222222
31798,80,80098,80290,Bettembos,bettembos,49.804899166667,1.8835163888889
31799,80,80099,80270,Bettencourt-Rivière,bettencourt riviere,49.992104318182,1.9759068181818
31800,80,80100,80610,Bettencourt-Saint-Ouen,bettencourt saint ouen,50.018691733333,2.119016
31801,80,80101,80700,Beuvraignes,beuvraignes,49.640125731707,2.7755717073171
31802,80,80102,80200,Biaches,biaches,49.923820416667,2.9034470833333
31803,80,80103,80190,Biarre,biarre,49.720893448276,2.8837672413793
31804,80,80104,80140,Biencourt,biencourt,49.973823548387,1.6916535483871
31805,80,80105,80190,Billancourt,billancourt,49.740343389831,2.9043315254237
31806,80,80106,80290,Blangy-sous-Poix,blangy sous poix,49.767869642857,2.0031171428571
31807,80,80107,80440,Blangy-Tronville,blangy tronville,49.871958588235,2.4253464705882
31808,80,80108,80600,Boisbergues,boisbergues,50.152410746269,2.2232785074627
31809,80,80109,80150,Le Boisle,le boisle,50.271500066225,1.9711861589404
31810,80,80110,80230,Boismont,boismont,50.153821769912,1.6706077876106
31811,80,80112,80800,Bonnay,bonnay,49.939541290323,2.5069093548387
31812,80,80113,80670,Bonneville,bonneville,50.076754711538,2.26134375
31813,80,80114,80160,Bosquel,bosquel,49.735765735294,2.2104442647059
31814,80,80115,80200,Bouchavesnes-Bergen,bouchavesnes bergen,49.992474435484,2.9229630645161
31815,80,80116,80910,Bouchoir,bouchoir,49.747040357143,2.6806017857143
31816,80,80117,80830,Bouchon,bouchon,50.039674912281,2.0273557894737
31817,80,80118,80150,Boufflers,boufflers,50.260779541284,2.0223730275229
31818,80,80119,80540,Bougainville,bougainville,49.867321139241,2.0519482278481
31819,80,80120,80220,Bouillancourt-en-Séry,bouillancourt en sery,49.9557984375,1.631763125
31820,80,80121,80500,Bouillancourt-la-Bataille,bouillancourt la bataille,49.696983170732,2.5242428048781
31821,80,80122,80600,Bouquemaison,bouquemaison,50.212302666667,2.3395070666667
31822,80,80123,80310,Bourdon,bourdon,49.987519516129,2.0808985483871
31823,80,80124,80130,Bourseville,bourseville,50.105731641791,1.5228426865672
31824,80,80125,80500,Boussicourt,boussicourt,49.702191470588,2.5735360294118
31825,80,80126,80220,Bouttencourt,bouttencourt,49.950738275862,1.6082044827586
31826,80,80127,80220,Bouvaincourt-sur-Bresle,bouvaincourt sur bresle,50.034236083333,1.4925771666667
31827,80,80128,80200,Bouvincourt-en-Vermandois,bouvincourt en vermandois,49.89107825,3.0472775
31828,80,80129,80300,Bouzincourt,bouzincourt,50.022227555556,2.6090133333333
31829,80,80130,80540,Bovelles,bovelles,49.890670843373,2.1418585542169
31830,80,80131,80440,Boves,boves,49.838479075144,2.3817239884393
31831,80,80132,80110,Braches,braches,49.733510769231,2.5030983333333
31832,80,80133,80150,Brailly-Cornehotte,brailly cornehotte,50.22188556701,1.9555968041237
31833,80,80134,80160,Brassy,brassy,49.732752307692,2.0512041025641
31834,80,80135,80580,Bray-lès-Mareuil,bray les mareuil,50.051325,1.8500285135135
31835,80,80136,80340,Bray-sur-Somme,bray sur somme,49.949618629032,2.7188887903226
31836,80,80137,80470,Breilly,breilly,49.928831566265,2.165265060241
31837,80,80138,80300,Bresle,bresle,49.989180958904,2.5523793150685
31838,80,80139,80400,Breuil,breuil,49.736802916667,2.9487795833333
31839,80,80140,80600,Brévillers,brevillers,50.215611296296,2.3804444444444
31840,80,80141,80200,Brie,brie,49.880941827957,2.9398316129032
31841,80,80142,80540,Briquemesnil-Floxicourt,briquemesnil floxicourt,49.884121489362,2.0760076595745
31842,80,80143,80430,Brocourt,brocourt,49.850826078431,1.8207037254902
31843,80,80144,80400,Brouchy,brouchy,49.714481954023,3.0993152873563
31844,80,80145,80690,Brucamps,brucamps,50.070216382979,2.058924787234
31845,80,80146,80230,Brutelles,brutelles,50.135300779221,1.5162825974026
31846,80,80147,80132,Buigny-l'Abbé,buigny l abbe,50.103036619718,1.9425890140845
31847,80,80148,80220,Buigny-lès-Gamaches,buigny les gamaches,50.017067083333,1.5693579166667
31848,80,80149,80132,Buigny-Saint-Maclou,buigny saint maclou,50.1498,1.8189660344828
31849,80,80150,80200,Buire-Courcelles,buire courcelles,49.934770084746,3.0096894067797
31850,80,80151,80300,Buire-sur-l'Ancre,buire sur l ancre,49.973639680851,2.595050212766
31851,80,80152,80700,Bus-la-Mésière,bus la mesiere,49.63786989011,2.7135134065934
31852,80,80153,80560,Bus-lès-Artois,bus les artois,50.104889285714,2.5400878571429
31853,80,80154,80200,Bussu,bussu,49.947163717949,2.9792656410256
31854,80,80155,80135,Bussus-Bussuel,bussus bussuel,50.108646463415,2.0096452439024
31855,80,80156,80800,Bussy-lès-Daours,bussy les daours,49.911841463415,2.4173819512195
31856,80,80157,80290,Bussy-lès-Poix,bussy les poix,49.817002837838,2.0151510810811
31857,80,80158,80400,Buverchy,buverchy,49.72409375,2.9719767857143
31858,80,80159,80800,Cachy,cachy,49.858424482759,2.48077
31859,80,80160,80330,Cagny,cagny,49.852665915493,2.3399607042254
31860,80,80161,80132,Cahon,cahon,50.119991875,1.730825875
31861,80,80162,80170,Caix,caix,49.814570204082,2.6440360204082
31862,80,80163,80132,Cambron,cambron,50.105868630137,1.7638698630137
31863,80,80164,80450,Camon,camon,49.896273465347,2.3606298019802
31864,80,80165,80540,Camps-en-Amiénois,camps en amienois,49.88291862069,1.9651179310345
31865,80,80166,80670,Canaples,canaples,50.05858625,2.2261508653846
31866,80,80167,80150,Canchy,canchy,50.189120465116,1.8725718604651
31867,80,80168,80750,Candas,candas,50.104558235294,2.2794924836601
31868,80,80169,80140,Cannessières,cannessieres,49.935083529412,1.7655841176471
31869,80,80170,80500,Cantigny,cantigny,49.66464328125,2.4897178125
31870,80,80171,80132,Caours,caours,50.127792989691,1.8770349484536
31871,80,80172,80340,Cappy,cappy,49.92765047619,2.7607078571429
31872,80,80173,80260,Cardonnette,cardonnette,49.953861864407,2.3696091525424
31873,80,80174,80500,Le Cardonnois,le cardonnois,49.631101190476,2.4807421428571
31874,80,80175,80300,Carnoy,carnoy,49.986278888889,2.7543533333333
31875,80,80176,80700,Carrépuis,carrepuis,49.704656923077,2.8170905128205
31876,80,80177,80200,Cartigny,cartigny,49.908280645161,3.0136341290323
31877,80,80179,80290,Caulières,caulieres,49.785080740741,1.8971594444444
31878,80,80180,80310,Cavillon,cavillon,49.91785030303,2.0767157575758
31879,80,80181,80800,Cayeux-en-Santerre,cayeux en santerre,49.816791491228,2.6048147368421
31880,80,80182,80410,Cayeux-sur-Mer,cayeux sur mer,50.187062412451,1.5304350972763
31881,80,80183,80140,Cerisy-Buleux,cerisy buleux,49.97032625,1.735988
31882,80,80184,80800,Cerisy,cerisy,49.896079285714,2.619767755102
31883,80,80185,80700,Champien,champien,49.692409213483,2.8639856179775
