,,,,-GERS,,,
12469,32,32364,32700,Saint-Avit-Frandat,saint avit frandat,43.982767222222,0.65815361111111
12470,32,32365,32140,Saint-Blancard,saint blancard,43.349441707317,0.65133719512195
12471,32,32366,32120,Saint-Brès,saint bres,43.783958064516,0.76741430107527
12472,32,32367,32320,Saint-Christaud,saint christaud,43.526045826772,0.26316606299213
12473,32,32368,32390,Sainte-Christie,sainte christie,43.759269375,0.62723758928571
12474,32,32369,32370,Sainte-Christie-d'Armagnac,sainte christie d armagnac,43.79798866171,-0.00560765799256
12475,32,32370,32380,Saint-Clar,saint clar,43.897026108374,0.76362871921182
12476,32,32371,32380,Saint-Créac,saint creac,43.915637417219,0.78915768211921
12477,32,32372,32430,Saint-Cricq,saint cricq,43.697712830189,0.98800471698113
12478,32,32373,32170,Sainte-Dode,sainte dode,43.415256736402,0.37302163179916
12479,32,32374,32450,Saint-Élix-d'Astarac,saint elix d astarac,43.495339270833,0.77213854166667
12480,32,32375,32300,Saint-Élix-Theux,saint elix theux,43.429554513889,0.46720243055556
12481,32,32376,32120,Sainte-Gemme,sainte gemme,43.775379933333,0.79656746666667
12482,32,32377,32430,Saint-Georges,saint georges,43.737821609195,0.92849465517241
12483,32,32378,32400,Saint-Germé,saint germe,43.674160841121,-0.1478585046729
12484,32,32379,32200,Saint-Germier,saint germier,43.672395952381,0.9564475
12485,32,32380,32110,Saint-Griède,saint griede,43.725210380952,-0.09635647619048
12486,32,32381,32550,Saint-Jean-le-Comtal,saint jean le comtal,43.572530780142,0.51312120567376
12487,32,32382,32190,Saint-Jean-Poutge,saint jean poutge,43.73460772973,0.37841135135135
12488,32,32383,32230,Saint-Justin,saint justin,43.4868144,0.15197904
12489,32,32384,32360,Saint-Lary,saint lary,43.721104096386,0.50090915662651
12490,32,32385,32380,Saint-Léonard,saint leonard,43.858939064748,0.76816230215827
12491,32,32386,32220,Saint-Lizier-du-Planté,saint lizier du plante,43.408413265306,0.94757217687075
12492,32,32387,32220,Saint-Loube,saint loube,43.440838666667,1.0046847777778
12493,32,32388,32200,Sainte-Marie,sainte marie,43.672221229947,0.87013893048128
12494,32,32389,32300,Saint-Martin,saint martin,43.507710825688,0.37904073394495
12495,32,32390,32110,Saint-Martin-d'Armagnac,saint martin d armagnac,43.712053703704,-0.06444435185185
12496,32,32391,32480,Saint-Martin-de-Goyne,saint martin de goyne,44.0019975,0.57651266666667
12497,32,32392,32450,Saint-Martin-Gimois,saint martin gimois,43.522037840909,0.80997318181818
12498,32,32393,32300,Saint-Maur,saint maur,43.481375755396,0.34695856115108
12499,32,32394,32300,Saint-Médard,saint medard,43.484018545455,0.46060648484848
12500,32,32395,32700,Sainte-Mère,sainte mere,44.002388490566,0.68270179245283
12501,32,32396,32700,Saint-Mézard,saint mezard,44.032468881988,0.57401080745342
12502,32,32397,32300,Saint-Michel,saint michel,43.431278684211,0.40236592105263
12503,32,32398,32400,Saint-Mont,saint mont,43.643273492823,-0.14035708133971
12504,32,32399,32120,Saint-Orens,saint orens,43.710944133333,0.912066
12505,32,32400,32100,Saint-Orens-Pouy-Petit,saint orens pouy petit,43.911911907895,0.43521157894737
12506,32,32401,32300,Saint-Ost,saint ost,43.374626458333,0.462226875
12507,32,32402,32190,Saint-Paul-de-Baïse,saint paul de baise,43.780137232143,0.37666642857143
12508,32,32403,32290,Saint-Pierre-d'Aubézies,saint pierre d aubezies,43.649158901099,0.15971340659341
12509,32,32404,32310,Saint-Puy,saint puy,43.866539264069,0.45186025974026
12510,32,32405,32500,Sainte-Radegonde,sainte radegonde,43.842763956044,0.58326813186813
12511,32,32406,32270,Saint-Sauvy,saint sauvy,43.695788103448,0.81896318965517
12512,32,32407,32220,Saint-Soulan,saint soulan,43.5106029,0.8599412
12513,32,32408,32370,Salles-d'Armagnac,salles d armagnac,43.809707575758,-0.04594464646465
12514,32,32409,32140,Samaran,samaran,43.394920701754,0.52773394736842
12515,32,32410,32130,Samatan,samatan,43.495279067164,0.93522432835821
12516,32,32411,32260,Sansan,sansan,43.528252470588,0.61077941176471
12517,32,32412,32450,Saramon,saramon,43.5233806,0.7649861
12518,32,32413,32420,Sarcos,sarcos,43.372799166667,0.68115354166667
12519,32,32414,32400,Sarragachies,sarragachies,43.684170072464,-0.04997420289855
12520,32,32415,32170,Sarraguzan,sarraguzan,43.365417983871,0.34134209677419
12521,32,32416,32120,Sarrant,sarrant,43.769597294686,0.92231695652174
12522,32,32417,32500,La Sauvetat,la sauvetat,43.848607231638,0.53695683615819
12523,32,32418,32220,Sauveterre,sauveterre,43.450405974026,0.85012597402597
12524,32,32419,32300,Sauviac,sauviac,43.410490843373,0.45598120481928
12525,32,32420,32220,Sauvimont,sauvimont,43.450698985507,0.96882971014493
12526,32,32421,32130,Savignac-Mona,savignac mona,43.486871184211,1.0098315789474
12527,32,32422,32230,Scieurac-et-Flourès,scieurac et floures,43.556240666667,0.1977756
12528,32,32423,32190,Séailles,seailles,43.750459107143,0.10845830357143
12529,32,32424,32400,Ségos,segos,43.632240314465,-0.26298672955975
12530,32,32425,32600,Ségoufielle,segoufielle,43.631438125,1.1296445833333
12531,32,32426,32260,Seissan,seissan,43.498384029126,0.5699345631068
12532,32,32427,32230,Sembouès,semboues,43.464086904762,0.17241107142857
12533,32,32428,32450,Sémézies-Cachan,semezies cachan,43.502694315789,0.73505957894737
12534,32,32429,32700,Sempesserre,sempesserre,44.021134225941,0.63575652719665
12535,32,32430,32140,Sère,sere,43.404546283186,0.65062690265487
12536,32,32431,32120,Sérempuy,serempuy,43.76220275,0.819470875
12537,32,32432,32130,Seysses-Savès,seysses saves,43.511883678161,1.04831
12538,32,32433,32420,Simorre,simorre,43.463447522523,0.72848887387387
12539,32,32434,32110,Sion,sion,43.737983875969,0.00348341085271
12540,32,32435,32430,Sirac,sirac,43.702179873418,0.9568235443038
12541,32,32436,32120,Solomiac,solomiac,43.798188229167,0.88798880208333
12542,32,32437,32110,Sorbets,sorbets,43.714920628931,-0.01210735849057
12543,32,32438,32260,Tachoires,tachoires,43.47260402439,0.65384731707317
12544,32,32439,32400,Tarsac,tarsac,43.668014742268,-0.11604195876289
12545,32,32440,32160,Tasque,tasque,43.63604884058,0.01669579710145
12546,32,32441,32120,Taybosc,taybosc,43.787418,0.742095
12547,32,32442,32700,Terraube,terraube,43.906859857143,0.543027
12548,32,32443,32400,Termes-d'Armagnac,termes d armagnac,43.674029571429,-0.01247707142857
12549,32,32444,32430,Thoux,thoux,43.681293414634,0.99266317073171
12550,32,32445,32160,Tieste-Uragnoux,tieste uragnoux,43.555478152174,0.03559369565217
12551,32,32446,32170,Tillac,tillac,43.47757037037,0.26623851851852
12552,32,32447,32450,Tirent-Pontéjac,tirent pontejac,43.546121437908,0.79148281045752
12553,32,32448,32430,Touget,touget,43.683949548387,0.91434980645161
12554,32,32449,32240,Toujouse,toujouse,43.826353892216,-0.17711952095808
12555,32,32450,32230,Tourdun,tourdun,43.547040176991,0.15751743362832
12556,32,32451,32420,Tournan,tournan,43.423534864865,0.79587684684685
12557,32,32452,32380,Tournecoupe,tournecoupe,43.859856375839,0.82584489932886
12558,32,32453,32390,Tourrenquets,tourrenquets,43.7489656,0.7009465
12559,32,32454,32450,Traversères,traverseres,43.534580514706,0.64481
12560,32,32455,32230,Troncens,troncens,43.456930217391,0.22212833333333
12561,32,32456,32190,Tudelle,tudelle,43.684920196078,0.28733049019608
12562,32,32457,32500,Urdens,urdens,43.865361102362,0.70749937007874
12563,32,32458,32110,Urgosse,urgosse,43.740109487179,-0.01784179487179
12564,32,32459,32310,Valence-sur-Baïse,valence sur baise,43.87062847769,0.36450805774278
12565,32,32460,32720,Vergoignan,vergoignan,43.72359622449,-0.1908906122449
12566,32,32461,32400,Verlus,verlus,43.60296237037,-0.200348
12567,32,32462,32190,Vic-Fezensac,vic fezensac,43.770549495968,0.29678090725806
12568,32,32463,32400,Viella,viella,43.59939584,-0.14162052
12569,32,32464,32730,Villecomtal-sur-Arros,villecomtal sur arros,43.399116433121,0.20315802547771
12570,32,32465,32420,Villefranche,villefranche,43.418380231214,0.7280563583815
12571,32,32466,32300,Viozan,viozan,43.394488673469,0.46313663265306
12572,32,32467,32200,Saint-Caprais,saint caprais,43.59469,0.79647983471074
12573,32,32468,32140,Aussos,aussos,43.3736626,0.6440586
