id,department_code,insee_code,zip_code,-ARDECHE,slug,gps_lat,gps_lng
2144,7,7076,7350,Cruas,cruas,44.661341969697,4.7535766666667
2145,7,7077,7170,Darbres,darbres,44.657372041885,4.5160460732984
2146,7,7078,7430,Davézieux,davezieux,45.252690843374,4.6923708433735
2147,7,7079,7570,Désaignes,desaignes,44.996853097643,4.5013980808081
2148,7,7080,7320,Devesset,devesset,45.068787905138,4.3970438735178
2149,7,7081,7260,Dompnac,dompnac,44.558451223022,4.1100337410072
2150,7,7082,7160,Dornas,dornas,44.853823112583,4.3571853642384
2151,7,7083,7360,Dunière-sur-Eyrieux,duniere sur eyrieux,44.834849781022,4.648708540146
2152,7,7084,7370,Eclassan,eclassan,45.157271166667,4.7475699444444
2153,7,7085,7270,Empurany,empurany,45.027305818182,4.5971407878788
2154,7,7086,7300,Étables,etables,45.091997640449,4.7382269662921
2155,7,7087,7380,Fabras,fabras,44.648360909091,4.2822795867769
2156,7,7088,7230,Faugères,faugeres,44.480210247934,4.1383215702479
2157,7,7089,7340,Félines,felines,45.319661574803,4.7287093700787
2158,7,7090,7000,Flaviac,flaviac,44.752647916667,4.6592231944444
2159,7,7091,7200,Fons,fons,44.581386986301,4.3546097260274
2160,7,7092,7000,Freyssenet,freyssenet,44.691266170213,4.5499661702128
2161,7,7093,7530,Genestelle,genestelle,44.733057286245,4.3849206319703
2162,7,7094,7800,Gilhac-et-Bruzac,gilhac et bruzac,44.861772201835,4.7429227981651
2163,7,7095,7270,Gilhoc-sur-Ormèze,gilhoc sur ormeze,44.986524277778,4.6774433333333
2164,7,7096,7190,Gluiras,gluiras,44.84716354232,4.5230981504702
2165,7,7097,7300,Glun,glun,45.005188181818,4.82145875
2166,7,7098,7000,Gourdon,gourdon,44.726298742515,4.4531335329341
2167,7,7099,7700,Gras,gras,44.439514518072,4.5384147590361
2168,7,7100,7140,Gravières,gravieres,44.421906529412,4.073372
2169,7,7101,7120,Grospierres,grospierres,44.395637,4.2802052222222
2170,7,7102,7500,Guilherand-Granges,guilherand granges,44.932225142857,4.8598448571429
2171,7,7103,7310,Intres,intres,44.9827269,4.362598
2172,7,7103,7320,Intres,intres,44.9827269,4.362598
2173,7,7104,7190,Issamoulenc,issamoulenc,44.78719802139,4.4545704278075
2174,7,7105,7510,Issanlas,issanlas,44.765754,4.012147
2175,7,7105,7660,Issanlas,issanlas,44.765754,4.012147
2176,7,7106,7470,Issarlès,issarles,44.852328756219,4.0535917412935
2177,7,7107,7380,Jaujac,jaujac,44.631007345133,4.2398701769912
2178,7,7108,7160,Jaunac,jaunac,44.9204024,4.3964457333333
2179,7,7109,7110,Joannas,joannas,44.571445817308,4.2530799519231
2180,7,7110,7260,Joyeuse,joyeuse,44.473438222222,4.2437253333333
2181,7,7111,7600,Juvinas,juvinas,44.703316850394,4.3068657480315
2182,7,7112,7600,Labastide-sur-Bésorgues,labastide sur besorgues,44.745459069767,4.3009940310078
2183,7,7113,7150,Labastide-de-Virac,labastide de virac,44.360625873016,4.4202903174603
2184,7,7114,7570,Labatie-d'Andaure,labatie d andaure,45.032632166667,4.49341375
2185,7,7115,7120,Labeaume,labeaume,44.465270074074,4.3128376296296
2186,7,7116,7200,Labégude,labegude,44.639967708333,4.3603070833333
2187,7,7117,7230,Lablachère,lablachere,44.462078686869,4.2088080808081
2188,7,7118,7110,Laboule,laboule,44.591990746269,4.1739967164179
2189,7,7119,7470,Le Lac-d'Issarlès,le lac d issarles,44.825899529412,4.0742488235294
2190,7,7120,7530,Lachamp-Raphaël,lachamp raphael,44.80113738806,4.2844517910448
2191,7,7121,7470,Lachapelle-Graillouse,lachapelle graillouse,44.81214977591,4.0157332492997
2192,7,7122,7200,Lachapelle-sous-Aubenas,lachapelle sous aubenas,44.565250272727,4.3544542727273
2193,7,7123,7310,Lachapelle-sous-Chanéac,lachapelle sous chaneac,44.952796846847,4.3175603603604
2194,7,7124,7520,Lafarre,lafarre,45.075443,4.5116103076923
2195,7,7126,7150,Lagorce,lagorce,44.441296324324,4.4271378378378
2196,7,7127,7380,Lalevade-d'Ardèche,lalevade d ardeche,44.652161860465,4.3124876744186
2197,7,7128,7520,Lalouvesc,lalouvesc,45.113948730159,4.5212163492063
2198,7,7129,7270,Lamastre,lamastre,44.983244341637,4.5942376156584
2199,7,7130,7660,Lanarce,lanarce,44.721364857143,3.9954910952381
2200,7,7131,7200,Lanas,lanas,44.533438979592,4.3873651020408
2201,7,7132,7110,Largentière,largentiere,44.5354665625,4.299646015625
2202,7,7133,7220,Larnas,larnas,44.454669181818,4.5973106363636
2203,7,7134,7110,Laurac-en-Vivarais,laurac en vivarais,44.509447703704,4.2845273333333
2204,7,7135,7590,Laval-d'Aurelle,laval d aurelle,44.574967328767,3.9752101369863
2205,7,7136,48250,Laveyrune,laveyrune,44.618500176991,3.914987699115
2206,7,7137,7660,Lavillatte,lavillatte,44.743491878453,3.9552937569061
2207,7,7138,7170,Lavilledieu,lavilledieu,44.585344105263,4.4463325263158
2208,7,7139,7530,Laviolle,laviolle,44.760619,4.3364539090909
2209,7,7140,7610,Lemps,lemps,45.094008815166,4.7775811374408
2210,7,7141,7200,Lentillères,lentilleres,44.607198873239,4.3005661267606
2211,7,7142,7660,Lespéron,lesperon,44.732872966102,3.8887808474576
2212,7,7143,7340,Limony,limony,45.351391123596,4.7468262921348
2213,7,7144,7110,Loubaresse,loubaresse,44.589724087591,4.0509905839416
2214,7,7145,7170,Lussas,lussas,44.619795555556,4.4638275438596
2215,7,7146,7000,Lyas,lyas,44.750319323308,4.5996203759398
2216,7,7147,7140,Malarce-sur-la-Thines,malarce sur la thines,44.470022554745,4.0491027007299
2217,7,7148,7140,Malbosc,malbosc,44.34716734375,4.07085171875
2218,7,7149,7190,Marcols-les-Eaux,marcols les eaux,44.806152944785,4.3883801226994
2219,7,7150,7160,Mariac,mariac,44.887169908257,4.3530523394495
2220,7,7151,7320,Mars,mars,45.00759898374,4.3340820325203
2221,7,7152,7300,Mauves,mauves,45.030891340206,4.8185063917526
2222,7,7153,7330,Mayres,mayres,44.663682468354,4.1002685443038
2223,7,7154,7510,Mazan-l'Abbaye,mazan l abbaye,44.731773787234,4.0902641702128
2224,7,7155,7200,Mercuer,mercuer,44.628081709402,4.3506830769231
2225,7,7156,7380,Meyras,meyras,44.679069281046,4.2583997385621
2226,7,7157,7400,Meysse,meysse,44.617821206897,4.6994206896552
2227,7,7158,7530,Mézilhac,mezilhac,44.807036487805,4.3488586341463
