,,,,-MAINE-ET-LOIRE,,,
17982,49,49130,49460,Écuillé,ecuille,47.616676993007,-0.55930342657343
17983,49,49131,49260,Épieds,epieds,47.131455670732,-0.04396103658537
17984,49,49132,49330,Étriché,etriche,47.655843358779,-0.45195809160305
17985,49,49135,49460,Feneu,feneu,47.587306193548,-0.60068116129032
17986,49,49138,49250,Les Bois d'Anjou,les bois d anjou,47.465907263158,-0.17458526315789
17987,49,49140,49590,Fontevraud-l'Abbaye,fontevraud l abbaye,47.186128846154,0.02957538461538
17988,49,49155,49220,Grez-Neuville,grez neuville,47.595781729958,-0.69346957805907
17989,49,49159,49430,Huillé,huille,47.661004125874,-0.3117165034965
17990,49,49160,49123,Ingrandes-Le Fresne sur Loire,ingrandes le fresne sur loire,47.409866507937,-0.93072722222222
17991,49,49161,49220,La Jaille-Yvon,la jaille yvon,47.727752781065,-0.68956958579882
17992,49,49163,49140,Jarzé Villages,jarze villages,47.549514216867,-0.25211960843374
17993,49,49167,49320,Les Garennes sur Loire,les garennes sur loire,47.40787,-0.475903
17994,49,49167,49610,Les Garennes sur Loire,les garennes sur loire,47.40787,-0.475903
17995,49,49170,49330,Juvardeil,juvardeil,47.66056490566,-0.51595220125786
17996,49,49171,49150,La Lande-Chasles,la lande chasles,47.458954444444,-0.07351841269841
17997,49,49174,49430,Lézigné,lezigne,47.640899527559,-0.28158519685039
17998,49,49176,49220,Le Lion-d'Angers,le lion d angers,47.627515853081,-0.76354642180095
17999,49,49178,49440,Loiré,loire,47.628570893372,-0.94615121037464
18000,49,49180,49160,Longué-Jumelles,longue jumelles,47.399817507788,-0.10346598130841
18001,49,49182,49700,Louresse-Rochemenier,louresse rochemenier,47.241031609195,-0.31016712643678
18002,49,49183,49370,Val d'Erdre-Auxence,val d erdre auxence,47.5048162,-0.8430384
18003,49,49183,49440,Val d'Erdre-Auxence,val d erdre auxence,47.5622051,-1.032425
18004,49,49188,49140,Marcé,marce,47.582834202128,-0.29976984042553
18005,49,49192,49360,Maulévrier,maulevrier,47.021147410072,-0.78113788968825
18006,49,49193,49122,Le May-sur-Èvre,le may sur evre,47.128079822785,-0.8764146835443
18007,49,49194,49140,Mazé-Milon,maze milon,47.4562079,-0.271191
18008,49,49194,49630,Mazé-Milon,maze milon,47.4562079,-0.271191
18009,49,49195,49280,Mazières-en-Mauges,mazieres en mauges,47.054589325843,-0.79790191011236
18010,49,49200,49220,Longuenée-en-Anjou,longuenee en anjou,47.519368,-0.667988
18011,49,49200,49770,Longuenée-en-Anjou,longuenee en anjou,47.519368,-0.667988
18012,49,49201,49250,La Ménitré,la menitre,47.412385087719,-0.26049710526316
18013,49,49205,49330,Miré,mire,47.763027238806,-0.4955123880597
18014,49,49209,49430,Montigné-lès-Rairies,montigne les rairies,47.624063108108,-0.20795135135135
18015,49,49211,49310,Montilliers,montilliers,47.182283457944,-0.52201775700935
18016,49,49214,49460,Montreuil-Juigné,montreuil juigne,47.540105705128,-0.619115
18017,49,49215,49260,Montreuil-Bellay,montreuil bellay,47.132952513089,-0.12966890052356
18018,49,49216,49140,Montreuil-sur-Loir,montreuil sur loir,47.5969516,-0.39417573333333
18019,49,49217,49220,Montreuil-sur-Maine,montreuil sur maine,47.657588489209,-0.71064913669065
18020,49,49218,49110,Montrevault-sur-Èvre,montrevault sur evre,47.2684813,-1.0011745
18021,49,49218,49270,Montrevault-sur-Èvre,montrevault sur evre,47.2761491,-1.2191487
