,,,,-HAUTE-SAVOIE,,,
29693,74,74087,74130,Contamine-sur-Arve,contamine sur arve,46.13575625,6.3395881730769
29694,74,74088,74350,Copponex,copponex,46.042726065574,6.0702385245902
29695,74,74089,74700,Cordon,cordon,45.915546069364,6.5870271098266
29696,74,74090,74800,Cornier,cornier,46.089240783133,6.2937496987952
29697,74,74091,74110,La Côte-d'Arbroz,la cote d arbroz,46.178250681818,6.6328815151515
29698,74,74094,74380,Cranves-Sales,cranves sales,46.19300590604,6.2986753020134
29699,74,74095,74150,Crempigny-Bonneguête,crempigny bonneguete,45.948806966292,5.9011374157303
29700,74,74096,74350,Cruseilles,cruseilles,46.035162444444,6.1131019444444
29701,74,74097,74540,Cusy,cusy,45.758931666667,6.0383603645833
29702,74,74098,74350,Cuvat,cuvat,45.975087307692,6.1169347115385
29703,74,74099,74120,Demi-Quartier,demi quartier,45.873828055556,6.62952875
29704,74,74100,74270,Desingy,desingy,46.00017025,5.88488775
29705,74,74101,74520,Dingy-en-Vuache,dingy en vuache,46.088252033898,5.9493194915254
29706,74,74102,74230,Dingy-Saint-Clair,dingy saint clair,45.923822659574,6.2362653191489
29707,74,74103,74700,Domancy,domancy,45.906720980392,6.6582318627451
29708,74,74104,74210,Doussard,doussard,45.763582717391,6.2161473188406
29709,74,74105,74140,Douvaine,douvaine,46.303098085106,6.2980813829787
29710,74,74106,74550,Draillant,draillant,46.299046329114,6.4669415189873
29711,74,74107,74270,Droisy,droisy,45.964207758621,5.886390862069
29712,74,74108,74410,Duingt,duingt,45.81558525,6.191126
29713,74,74109,1200,Éloise,eloise,46.085625196078,5.8449912745098
29714,74,74110,74130,Entremont,entremont,45.948312312925,6.3751478231293
29715,74,74111,74410,Entrevernes,entrevernes,45.779839090909,6.1844343636364
29716,74,74112,74330,Epagny Metz-Tessy,epagny metz tessy,45.93813,6.090965
29717,74,74112,74370,Epagny Metz-Tessy,epagny metz tessy,45.9388861,6.1036278
29718,74,74114,74110,Essert-Romand,essert romand,46.205217731959,6.65971
29719,74,74116,74800,Etaux,etaux,46.060068831169,6.2705864935065
29720,74,74117,74150,Étercy,etercy,45.892645070423,6.006483943662
29721,74,74118,74100,Étrembières,etrembieres,46.170451234568,6.2112533333333
29722,74,74119,74500,Évian-les-Bains,evian les bains,46.39506384,6.58904944
29723,74,74121,74140,Excenevex,excenevex,46.343166505376,6.3422648924731
29724,74,74122,74130,Faucigny,faucigny,46.114499605263,6.3721260526316
29725,74,74123,74210,Faverges-Seythenex,faverges seythenex,45.735265154321,6.2776948148148
29726,74,74124,74160,Feigères,feigeres,46.112609608939,6.0738125139665
29727,74,74126,74890,Fessy,fessy,46.279214015152,6.4147648484848
29728,74,74127,74500,Féternes,feternes,46.351873218391,6.5643196551724
29729,74,74128,74250,Fillinges,fillinges,46.165988255814,6.3489375581395
29730,74,74129,74200,La Forclaz,la forclaz,46.315455873016,6.6154165079365
29731,74,74130,74910,Franclens,franclens,46.04410641791,5.8261734328358
29732,74,74131,74270,Frangy,frangy,46.019762888889,5.9219538888889
29733,74,74133,74240,Gaillard,gaillard,46.1853665,6.2046767
29734,74,74134,74260,Les Gets,les gets,46.153943061225,6.6569904081633
29735,74,74135,74210,Giez,giez,45.750009661017,6.2498900847458
29736,74,74136,74450,Le Grand-Bornand,le grand bornand,45.955178478261,6.4780910326087
29737,74,74137,74570,Groisy,groisy,46.018733444976,6.1765678947368
29738,74,74138,74540,Gruffy,gruffy,45.783107424242,6.0521325757576
29739,74,74139,74420,Habère-Lullin,habere lullin,46.238033209877,6.4564058024691
29740,74,74140,74420,Habère-Poche,habere poche,46.254555662651,6.4704396385542
29741,74,74141,74150,Hauteville-sur-Fier,hauteville sur fier,45.908196036036,5.9767074774775
29742,74,74142,74540,Héry-sur-Alby,hery sur alby,45.791325035461,6.0100382269504
29743,74,74143,74310,Les Houches,les houches,45.915682384615,6.795628
29744,74,74144,74520,Jonzier-Épagny,jonzier epagny,46.076015436893,5.9826509708738
29745,74,74145,74100,Juvigny,juvigny,46.216523333333,6.2927837254902
29746,74,74146,74500,Larringes,larringes,46.368824,6.5846625217391
29747,74,74147,74210,Lathuile,lathuile,45.770420965517,6.1968571724138
29748,74,74148,74320,Leschaux,leschaux,45.769168256881,6.1257943119266
29749,74,74150,74140,Loisin,loisin,46.279108067227,6.3032367226891
29750,74,74151,74150,Lornay,lornay,45.90866,5.9014316666667
29751,74,74152,74330,Lovagny,lovagny,45.903247608696,6.0334080434783
29752,74,74153,74380,Lucinges,lucinges,46.191922432432,6.3279072972973
29753,74,74154,74500,Lugrin,lugrin,46.398781213592,6.6728149514563
29754,74,74155,74470,Lullin,lullin,46.275673333333,6.5092027350427
29755,74,74156,74890,Lully,lully,46.295997647059,6.4035489705882
29756,74,74157,74200,Lyaud,lyaud,46.336870813953,6.5170473255814
29757,74,74158,74140,Machilly,machilly,46.255120963855,6.3198063253012
29758,74,74159,74300,Magland,magland,45.999608201754,6.6336514035088
29759,74,74160,74230,Manigod,manigod,45.843003772727,6.3973954545455
29760,74,74161,74150,Marcellaz-Albanais,marcellaz albanais,45.870031127451,5.9988251960784
29761,74,74162,74250,Marcellaz,marcellaz,46.145305697674,6.3569069767442
29762,74,74163,74200,Margencel,margencel,46.3324025,6.421796025641
29763,74,74164,74970,Marignier,marignier,46.10099990991,6.490844954955
29764,74,74165,74150,Marigny-Saint-Marcel,marigny saint marcel,45.829385454545,5.9884531818182
29765,74,74166,74200,Marin,marin,46.374607375,6.52573275
29766,74,74167,74210,Val de Chaise,val de chaise,45.768053296703,6.3465990659341
29767,74,74168,74270,Marlioz,marlioz,46.026342662722,6.009630887574
29768,74,74169,74460,Marnaz,marnaz,46.053316071429,6.5239302380952
29769,74,74170,74150,Massingy,massingy,45.826460406977,5.9135712790698
29770,74,74171,74140,Massongy,massongy,46.325504496644,6.3267155033557
29771,74,74172,74500,Maxilly-sur-Léman,maxilly sur leman,46.398996666667,6.6321745555556
29772,74,74173,74120,Megève,megeve,45.835016507937,6.6308402645503
29773,74,74174,74490,Mégevette,megevette,46.202681727273,6.5157626363636
29774,74,74175,74500,Meillerie,meillerie,46.401204105263,6.7298344210526
29775,74,74176,74290,Menthon-Saint-Bernard,menthon saint bernard,45.866169305556,6.2018827777778
29776,74,74177,74350,Menthonnex-en-Bornes,menthonnex en bornes,46.060249390244,6.1777528048781
29777,74,74178,74270,Menthonnex-sous-Clermont,menthonnex sous clermont,45.958904411765,5.9344563970588
29778,74,74179,74330,Mésigny,mesigny,45.98899462585,6.0092181632653
29779,74,74180,74140,Messery,messery,46.346668571429,6.302832406015
29780,74,74183,74440,Mieussy,mieussy,46.152704603175,6.5383866666667
29781,74,74184,74270,Minzier,minzier,46.056165583333,5.9881390833333
29782,74,74185,74560,Monnetier-Mornex,monnetier mornex,46.151520263158,6.2173225438596
29783,74,74186,74600,Montagny-les-Lanches,montagny les lanches,45.859858627451,6.0476597058824
29784,74,74188,74110,Montriond,montriond,46.207377678571,6.7351057738095
29785,74,74189,74130,Mont-Saxonnex,mont saxonnex,46.033688769231,6.4794355384615
29786,74,74190,74440,Morillon,morillon,46.060321698113,6.6770141509434
29787,74,74191,74110,Morzine,morzine,46.171149794872,6.7415782564103
29788,74,74192,74150,Moye,moye,45.867726585366,5.903954
29789,74,74193,74560,La Muraz,la muraz,46.120577518248,6.200424379562
29790,74,74194,74540,Mûres,mures,45.806930337079,6.0377742696629
29791,74,74195,74270,Musièges,musieges,46.014936533333,5.9521094666667
29792,74,74196,74300,Nancy-sur-Cluses,nancy sur cluses,46.025570380952,6.579284952381
29793,74,74197,74380,Nangy,nangy,46.149120918367,6.3076990816327
29794,74,74198,74370,Nâves-Parmelan,naves parmelan,45.935426904762,6.1923494047619
29795,74,74199,74140,Nernier,nernier,46.362198923077,6.3068695384615
29796,74,74200,74500,Neuvecelle,neuvecelle,46.393533194444,6.6085659722222
29797,74,74201,74160,Neydens,neydens,46.115931151079,6.104288705036
29798,74,74202,74330,Nonglard,nonglard,45.921259459459,6.0247183783784
29799,74,74203,74500,Novel,novel,46.36182009434,6.7690819811321
29800,74,74205,74490,Onnion,onnion,46.181755471698,6.4978278616352
29801,74,74206,74550,Orcier,orcier,46.31614125,6.4976145833333
29802,74,74208,74190,Passy,passy,45.9473788,6.677223
29803,74,74208,74480,Passy,passy,45.9485109,6.7392607
29804,74,74209,74250,Peillonnex,peillonnex,46.131347241379,6.3876982758621
29805,74,74210,74550,Perrignier,perrignier,46.307170347826,6.4399842608696
29806,74,74211,74930,Pers-Jussy,pers jussy,46.10147995,6.25858675
29807,74,74212,74130,Le Petit-Bornand-les-Glières,le petit bornand les glieres,45.996907869822,6.3981475147929
29808,74,74213,74330,Poisy,poisy,45.913524017094,6.0719525641026
29809,74,74215,74120,Praz-sur-Arly,praz sur arly,45.825584,6.583679862069
29810,74,74216,74160,Présilly,presilly,46.086370991736,6.0842410743802
29811,74,74218,74500,Publier,publier,46.391051024096,6.5412027108434
29812,74,74219,74600,Quintal,quintal,45.834811098901,6.0856247252747
29813,74,74220,74930,Reignier-Ésery,reignier esery,46.134431718062,6.254438061674
29814,74,74221,74950,Le Reposoir,le reposoir,45.995540979021,6.5204998601399
29815,74,74222,74200,Reyvroz,reyvroz,46.325828684211,6.5654847368421
29816,74,74223,74440,La Rivière-Enverse,la riviere enverse,46.090740568182,6.6192865909091
29817,74,74224,74800,La Roche-sur-Foron,la roche sur foron,46.044546753731,6.3002694776119
29818,74,74225,74150,Rumilly,rumilly,45.859340100503,5.9358294974874
29819,74,74226,74420,Saint-André-de-Boëge,saint andre de boege,46.195720814815,6.3844117037037
29820,74,74228,74350,Saint-Blaise,saint blaise,46.066568695652,6.0888152173913
29821,74,74229,74140,Saint-Cergues,saint cergues,46.231092315789,6.3233890526316
29822,74,74231,74150,Saint-Eusèbe,saint eusebe,45.926497279412,5.9604869852941
29823,74,74232,74410,Saint-Eustache,saint eustache,45.798386168224,6.149685046729
29824,74,74233,74540,Saint-Félix,saint felix,45.808631529412,5.9778847058824
