id,department_code,insee_code,zip_code,-YVELINES,slug,gps_lat,gps_lng
31317,78,78423,78180,Montigny-le-Bretonneux,montigny le bretonneux,48.7756929,2.0284116
31318,78,78431,78630,Morainvilliers,morainvilliers,48.93202,1.947499009009
31319,78,78437,78270,Mousseaux-sur-Seine,mousseaux sur seine,49.047268965517,1.6542055172414
31320,78,78439,78790,Mulcent,mulcent,48.880236,1.6498352
31321,78,78440,78130,Les Mureaux,les mureaux,48.98262483871,1.9132362903226
31322,78,78442,78640,Neauphle-le-Château,neauphle le chateau,48.811129767442,1.9032769767442
31323,78,78443,78640,Neauphle-le-Vieux,neauphle le vieux,48.81590016,1.86145336
31324,78,78444,78980,Neauphlette,neauphlette,48.9353086,1.5411889
31325,78,78451,78410,Nézel,nezel,48.942194107143,1.8387360714286
31326,78,78455,78590,Noisy-le-Roi,noisy le roi,48.84277875,2.054449375
31327,78,78460,78250,Oinville-sur-Montcient,oinville sur montcient,49.023759607843,1.8473231372549
31328,78,78464,78125,Orcemont,orcemont,48.597368396226,1.8061764150943
31329,78,78465,78910,Orgerus,orgerus,48.836828531469,1.6986262937063
31330,78,78466,78630,Orgeval,orgeval,48.920167647059,1.9669958823529
31331,78,78470,78125,Orphin,orphin,48.578732828283,1.7854361616162
31332,78,78472,78660,Orsonville,orsonville,48.476829508197,1.8240057377049
31333,78,78474,78910,Orvilliers,orvilliers,48.855343676471,1.6436389705882
31334,78,78475,78910,Osmoy,osmoy,48.864589411765,1.7198023529412
31335,78,78478,78660,Paray-Douaville,paray douaville,48.457540701754,1.8608692982456
31336,78,78481,78230,Le Pecq,le pecq,48.892384776119,2.1022552238806
31337,78,78484,78200,Perdreauville,perdreauville,48.97210968254,1.6142291269841
31338,78,78486,78610,Le Perray-en-Yvelines,le perray en yvelines,48.6917794,1.8431076
31339,78,78490,78370,Plaisir,plaisir,48.810735981308,1.9518996261682
31340,78,78497,78125,Poigny-la-Forêt,poigny la foret,48.677365949367,1.7606929113924
31341,78,78498,78300,Poissy,poissy,48.923165259259,2.027114
31342,78,78499,78730,Ponthévrard,ponthevrard,48.548683809524,1.9121282539683
31343,78,78501,78440,Porcheville,porcheville,48.97429575,1.766519
31344,78,78502,78560,Le Port-Marly,le port marly,48.878673333333,2.1078656666667
31345,78,78503,78270,Port-Villez,port villez,49.069677066667,1.5134421333333
31346,78,78505,78910,Prunay-le-Temple,prunay le temple,48.860246190476,1.6726166666667
31347,78,78506,78660,Prunay-en-Yvelines,prunay en yvelines,48.521777610619,1.808075840708
31348,78,78513,78940,La Queue-les-Yvelines,la queue les yvelines,48.803523766234,1.7710167532468
31349,78,78516,78125,Raizeux,raizeux,48.634200632911,1.6847487341772
31350,78,78517,78120,Rambouillet,rambouillet,48.65014738806,1.8355123880597
31351,78,78518,78590,Rennemoulin,rennemoulin,48.834266111111,2.0430819444444
31352,78,78520,78550,Richebourg,richebourg,48.826126354167,1.63544375
31353,78,78522,78730,Rochefort-en-Yvelines,rochefort en yvelines,48.595501732283,1.9895144094488
31354,78,78524,78150,Rocquencourt,rocquencourt,48.83433097561,2.1087048780488
31355,78,78528,78270,Rolleboise,rolleboise,49.019280217391,1.5994045652174
31356,78,78530,78790,Rosay,rosay,48.912367654321,1.6837366666667
31357,78,78531,78710,Rosny-sur-Seine,rosny sur seine,48.997320762712,1.5987566101695
31358,78,78536,78440,Sailly,sailly,49.044956551724,1.7969020689655
31359,78,78537,78730,Saint-Arnoult-en-Yvelines,saint arnoult en yvelines,48.572828503937,1.9343361417323
31360,78,78545,78210,Saint-Cyr-l'École,saint cyr l ecole,48.808598292683,2.065842195122
31361,78,78548,78720,Saint-Forget,saint forget,48.713897083333,1.9947866666667
31362,78,78550,78640,Saint-Germain-de-la-Grange,saint germain de la grange,48.835241710526,1.9043490789474
31363,78,78551,78100,Saint-Germain-en-Laye,saint germain en laye,48.927477134831,2.0932128651685
31364,78,78557,78125,Saint-Hilarion,saint hilarion,48.61935789916,1.7155281512605
31365,78,78558,78980,Saint-Illiers-la-Ville,saint illiers la ville,48.979555409836,1.5464686885246
31366,78,78559,78980,Saint-Illiers-le-Bois,saint illiers le bois,48.96175,1.5093594
31367,78,78561,78470,Saint-Lambert,saint lambert,48.73293,2.0119994736842
31368,78,78562,78610,Saint-Léger-en-Yvelines,saint leger en yvelines,48.740682727273,1.7764946590909
