,,,,-EURE-ET-LOIRE,,,
10209,28,28085,28000,Chartres,chartres,48.448704146341,1.4996895121951
10210,28,28086,28480,Chassant,chassant,48.29295483871,1.0670198924731
10211,28,28087,28270,Châtaincourt,chataincourt,48.694675934066,1.2379617582418
10212,28,28088,28200,Châteaudun,chateaudun,48.07892275,1.3171736875
10213,28,28089,28170,Châteauneuf-en-Thymerais,chateauneuf en thymerais,48.584746774194,1.2427077419355
10214,28,28090,28270,Les Châtelets,les chatelets,48.657450434783,1.017597826087
10215,28,28091,28120,Les Châtelliers-Notre-Dame,les chatelliers notre dame,48.348659809524,1.2106128571429
10216,28,28092,28700,Châtenay,chatenay,48.355839761905,1.8888573809524
10217,28,28094,28210,Chaudon,chaudon,48.659016226415,1.4969745283019
10218,28,28095,28120,Chauffours,chauffours,48.394759310345,1.3374793103448
10219,28,28096,28260,La Chaussée-d'Ivry,la chaussee d ivry,48.891433176471,1.4807555294118
10220,28,28098,28500,Cherisy,cherisy,48.75687164557,1.4233043037975
10221,28,28099,28190,Chuisnes,chuisnes,48.438813716814,1.1907174336283
10222,28,28100,28300,Cintray,cintray,48.445180222222,1.3655793333333
10223,28,28102,28300,Clévilliers,clevilliers,48.550273513514,1.383082027027
10224,28,28103,28220,Cloyes-les-Trois-Rivières,cloyes les trois rivieres,48.00319475162,1.2966255291577
10225,28,28104,28300,Coltainville,coltainville,48.497106470588,1.5959208823529
10226,28,28105,28480,Combres,combres,48.334972565445,1.0621267539267
10227,28,28106,28200,Conie-Molitard,conie molitard,48.115039052632,1.4424137894737
10228,28,28107,28630,Corancez,corancez,48.368822682927,1.5112465853658
10229,28,28108,28140,Cormainville,cormainville,48.129113222222,1.5956041111111
10230,28,28109,28240,Les Corvées-les-Yys,les corvees les yys,48.366392822581,1.1522414516129
10231,28,28110,28630,Le Coudray,le coudray,48.419403793103,1.5006982758621
10232,28,28111,28330,Coudray-au-Perche,coudray au perche,48.237391393939,0.85935933333333
10233,28,28112,28400,Coudreceau,coudreceau,48.348829794872,0.92282753846154
10234,28,28113,28210,Coulombs,coulombs,48.655316441718,1.5474721472393
10235,28,28114,28140,Courbehaye,courbehaye,48.146553149606,1.6097945669291
10236,28,28116,28190,Courville-sur-Eure,courville sur eure,48.452611428571,1.2484622077922
10237,28,28117,28500,Crécy-Couvé,crecy couve,48.674563728814,1.2842671186441
10238,28,28118,28210,Croisilles,croisilles,48.68878877193,1.5031231578947
10239,28,28119,28480,La Croix-du-Perche,la croix du perche,48.280227864078,1.0443184466019
10240,28,28120,28270,Crucey-Villages,crucey villages,48.66915203125,1.1090128125
10241,28,28121,28140,Dambron,dambron,48.11807452381,1.865814047619
10242,28,28122,28360,Dammarie,dammarie,48.336449389313,1.5001501526718
10243,28,28123,28160,Dampierre-sous-Brou,dampierre sous brou,48.22367,1.1155162857143
10244,28,28124,28350,Dampierre-sur-Avre,dampierre sur avre,48.758733121019,1.1403478343949
10245,28,28126,28800,Dancy,dancy,48.15565125,1.4612885416667
10246,28,28127,28160,Dangeau,dangeau,48.213931660377,1.2712237358491
10247,28,28128,28190,Dangers,dangers,48.506555373134,1.3517488059701
10248,28,28129,28700,Denonville,denonville,48.392139444444,1.8011172222222
10249,28,28130,28250,Digny,digny,48.53047299435,1.1352380225989
10250,28,28132,28200,Donnemain-Saint-Mamès,donnemain saint mames,48.101340485437,1.3680749514563
10251,28,28134,28100,Dreux,dreux,48.748427352941,1.3584160588235
10252,28,28135,28230,Droue-sur-Drouette,droue sur drouette,48.605879268293,1.700535
10253,28,28136,28500,Écluzelles,ecluzelles,48.708144193548,1.4249837096774
10254,28,28137,28320,Écrosnes,ecrosnes,48.555427674419,1.7354415116279
