,,,,-EURE-ET-LOIRE,,,
10473,28,28386,28170,Thimert-Gâtelles,thimert gatelles,48.554547351351,1.2614944864865
10474,28,28387,28480,Thiron-Gardais,thiron gardais,48.303408203125,1.0163640625
10475,28,28388,28630,Thivars,thivars,48.382867910448,1.4469402985075
10476,28,28389,28200,Thiville,thiville,48.010315304348,1.3623886086957
10477,28,28390,28140,Tillay-le-Péneux,tillay le peneux,48.156726,1.7633059
10478,28,28391,28310,Toury,toury,48.192472359551,1.9480268539326
10479,28,28392,28310,Trancrainville,trancrainville,48.238518194444,1.8628688888889
10480,28,28393,28170,Tremblay-les-Villages,tremblay les villages,48.58598922179,1.3822146303502
10481,28,28394,28500,Tréon,treon,48.67876,1.3256892592593
10482,28,28395,28400,Trizay-Coutretot-Saint-Serge,trizay coutretot saint serge,48.289798675497,0.87822264900662
10483,28,28396,28800,Trizay-lès-Bonneval,trizay les bonneval,48.202211428571,1.3310419047619
10484,28,28397,28700,Umpeau,umpeau,48.46843875,1.6694051785714
10485,28,28398,28160,Unverre,unverre,48.192962807571,1.0607593690852
10486,28,28400,28140,Varize,varize,48.080027564103,1.5227976923077
10487,28,28401,28240,Vaupillon,vaupillon,48.460882735043,0.96917854700855
10488,28,28403,28630,Ver-lès-Chartres,ver les chartres,48.382016329114,1.482512278481
10489,28,28404,28500,Vernouillet,vernouillet,48.721053858268,1.3487799212598
10490,28,28405,28500,Vert-en-Drouais,vert en drouais,48.751088295455,1.2974530681818
10491,28,28406,28140,Eole-en-Beauce,eole en beauce,48.1277426,1.6757036
10492,28,28406,28150,Eole-en-Beauce,eole en beauce,48.2671969,1.6622143
10493,28,28407,28480,Vichères,vicheres,48.265433580247,0.90785469135802
10494,28,28408,28700,Vierville,vierville,48.384556176471,1.9054444117647
10495,28,28409,28120,Vieuvicq,vieuvicq,48.263320762712,1.2120373728814
10496,28,28410,28200,Villampuy,villampuy,48.040557246377,1.5138756521739
10497,28,28411,28150,Villars,villars,48.230849736842,1.5453936842105
10498,28,28412,28150,Villeau,villeau,48.240862244898,1.5919967346939
10499,28,28414,28190,Villebon,villebon,48.387305483871,1.194255483871
10500,28,28415,28210,Villemeux-sur-Eure,villemeux sur eure,48.672379568966,1.4656314655172
10501,28,28417,28130,Villiers-le-Morhier,villiers le morhier,48.621637419355,1.5733868817204
10502,28,28418,28800,Villiers-Saint-Orien,villiers saint orien,48.137015773196,1.4863142268041
10503,28,28419,28360,Vitray-en-Beauce,vitray en beauce,48.275438588235,1.4213131764706
10504,28,28421,28700,Voise,voise,48.404585454545,1.7078694545455
10505,28,28422,28150,Les Villages Vovéens,les villages voveens,48.272579870968,1.5799648387097
10506,28,28423,28130,Yermenonville,yermenonville,48.552832,1.6229169
10507,28,28424,28160,Yèvres,yevres,48.187710982906,1.1959403846154
10508,28,28425,28320,Ymeray,ymeray,48.510593372093,1.7064769767442
10509,28,28426,28150,Ymonville,ymonville,48.243012884615,1.7422646153846
