,,,,-HAUTE-LOIRE,,,
16384,43,43082,43300,Cronce,cronce,45.079396534954,3.3572100911854
16385,43,43083,43170,Cubelles,cubelles,44.997053396226,3.5636098113208
16386,43,43084,43370,Cussac-sur-Loire,cussac sur loire,44.982882228916,3.8782972891566
16387,43,43085,43300,Desges,desges,45.022337397959,3.4475901020408
16388,43,43086,43230,Domeyrat,domeyrat,45.246760523256,3.5037527325581
16389,43,43087,43220,Dunières,dunieres,45.21484101083,4.3479239711191
16390,43,43088,43450,Espalem,espalem,45.298830168067,3.2341686134454
16391,43,43089,43000,Espaly-Saint-Marcel,espaly saint marcel,45.047429438202,3.8568084269663
16392,43,43090,43170,Esplantas-Vazeilles,esplantas vazeilles,44.89734,3.588247
16393,43,43090,43580,Esplantas-Vazeilles,esplantas vazeilles,44.89734,3.588247
16394,43,43091,43150,Les Estables,les estables,44.907419553571,4.1306822767857
16395,43,43092,43430,Fay-sur-Lignon,fay sur lignon,44.982838452381,4.2126170238095
16396,43,43093,43160,Félines,felines,45.258711218638,3.7562550537634
16397,43,43094,43300,Ferrussac,ferrussac,45.083973535354,3.4068509427609
16398,43,43095,43320,Fix-Saint-Geneys,fix saint geneys,45.141678489209,3.6630560431655
16399,43,43096,43100,Fontannes,fontannes,45.290408467153,3.4340532846715
16400,43,43097,43150,Freycenet-la-Cuche,freycenet la cuche,44.89782811828,4.0869181182796
16401,43,43098,43150,Freycenet-la-Tour,freycenet la tour,44.937899550562,4.0672941011236
16402,43,43099,43250,Frugerès-les-Mines,frugeres les mines,45.387227,3.3108855
16403,43,43100,43230,Frugières-le-Pin,frugieres le pin,45.270724913793,3.4993461206896
16404,43,43101,43150,Goudet,goudet,44.892164439024,3.9219878536585
16405,43,43102,43200,Grazac,grazac,45.191343733766,4.1834069480519
16406,43,43103,43450,Grenier-Montgon,grenier montgon,45.286062535211,3.2104827230047
16407,43,43104,43170,Grèzes,grezes,44.929193917526,3.4756843298969
16408,43,43105,43100,Javaugues,javaugues,45.292517560976,3.4922349593496
16409,43,43106,43230,Jax,jax,45.170310569948,3.6165783419689
16410,43,43107,43230,Josat,josat,45.21509012931,3.6095688362069
16411,43,43108,43500,Jullianges,jullianges,45.308079709544,3.7895820746888
16412,43,43109,43490,Lafarre,lafarre,44.834628069498,3.9952588030888
16413,43,43110,43100,Lamothe,lamothe,45.316991052632,3.4333213875598
16414,43,43111,43340,Landos,landos,44.853063322684,3.8492727476038
16415,43,43112,43300,Langeac,langeac,45.075057702128,3.4752447021277
16416,43,43113,43260,Lantriac,lantriac,44.985331735537,4.0043331129477
16417,43,43114,43200,Lapte,lapte,45.180832572347,4.2357992926045
16418,43,43115,43150,Laussonne,laussonne,44.965924648526,4.0495862811791
16419,43,43116,43440,Laval-sur-Doulon,laval sur doulon,45.351770419162,3.5636994610778
16420,43,43117,43100,Lavaudieu,lavaudieu,45.265455454545,3.4587182424242
16421,43,43118,43380,Lavoûte-Chilhac,lavoute chilhac,45.156057608696,3.4091393478261
16422,43,43119,43800,Lavoûte-sur-Loire,lavoute sur loire,45.118467244094,3.9084320472441
16423,43,43120,43410,Lempdes-sur-Allagnon,lempdes sur allagnon,45.375390917431,3.2782579816514
16424,43,43121,43410,Léotoing,leotoing,45.352384144144,3.2400236486487
16425,43,43122,43350,Lissac,lissac,45.132547094972,3.7576016759777
16426,43,43123,43360,Lorlanges,lorlanges,45.326234972973,3.2598107567568
16427,43,43124,43320,Loudes,loudes,45.099610550847,3.7448296186441
16428,43,43125,43100,Lubilhac,lubilhac,45.241100670926,3.2547971565495
16429,43,43126,43800,Malrevers,malrevers,45.099888495146,3.9638329126214
16430,43,43127,43210,Malvalette,malvalette,45.359583320313,4.15085640625
16431,43,43128,43160,Malvières,malvieres,45.341363869347,3.7262629648241
16432,43,43129,43190,Le Mas-de-Tence,le mas de tence,45.119202025316,4.3669850632911
16433,43,43130,43520,Mazet-Saint-Voy,mazet saint voy,45.045509163987,4.2381688745981
16434,43,43131,43230,Mazerat-Aurouze,mazerat aurouze,45.190487526882,3.5691998924731
16435,43,43132,43300,Mazeyrat-d'Allier,mazeyrat d allier,45.126818647687,3.5325459786477
16436,43,43133,43100,Mercœur,mercoeur,45.187947823129,3.3090509750567
16437,43,43134,43800,Mézères,mezeres,45.169687204301,4.0101326344086
16438,43,43135,43150,Le Monastier-sur-Gazeille,le monastier sur gazeille,44.932930441459,4.0164761804223
16439,43,43136,43580,Monistrol-d'Allier,monistrol d allier,44.976263973941,3.6347932899023
16440,43,43137,43120,Monistrol-sur-Loire,monistrol sur loire,45.283664700315,4.1781586119874
16441,43,43138,43270,Monlet,monlet,45.22933106599,3.711157893401
16442,43,43139,43230,Montclard,montclard,45.261669432314,3.5686708733624
16443,43,43140,43700,Le Monteil,le monteil,45.066427142857,3.9136969642857
16444,43,43141,43290,Montfaucon-en-Velay,montfaucon en velay,45.184164862385,4.3235116513762
16445,43,43142,43290,Montregard,montregard,45.162567510204,4.3563883265306
16446,43,43143,43260,Montusclat,montusclat,45.007275185185,4.1107655555556
16447,43,43144,43150,Moudeyres,moudeyres,44.951342010309,4.1014242268041
16448,43,43145,43510,Ouides,ouides,44.903513984962,3.7391423308271
16449,43,43147,43100,Paulhac,paulhac,45.293177061856,3.3369521134021
16450,43,43148,43230,Paulhaguet,paulhaguet,45.22287308642,3.515447037037
16451,43,43149,43300,Pébrac,pebrac,45.02755556962,3.5193807594937
16452,43,43150,43200,Le Pertuis,le pertuis,45.104165895522,4.0687414179105
16453,43,43151,43300,Pinols,pinols,45.045374099723,3.3927243213296
16454,43,43152,43000,Polignac,polignac,45.078576625514,3.8553530864198
16455,43,43153,43330,Pont-Salomon,pont salomon,45.333838161765,4.2451258088235
16456,43,43154,43420,Pradelles,pradelles,44.759246688742,3.8667584768212
