id,department_code,insee_code,zip_code,-CHARENTE-MARITIME,slug,gps_lat,gps_lng
6129,17,17461,17640,Vaux-sur-Mer,vaux sur mer,45.641227363636,-1.0605929090909
6130,17,17462,17100,Vénérand,venerand,45.78489304878,-0.54431597560976
6131,17,17463,17300,Vergeroux,vergeroux,45.971105072464,-0.98407536231884
6132,17,17464,17330,Vergné,vergne,46.068504770642,-0.51551834862385
6133,17,17465,17400,La Vergne,la vergne,45.969792389381,-0.56368513274336
6134,17,17466,17540,Vérines,verines,46.195088113208,-0.96708141509434
6135,17,17467,17400,Vervant,vervant,45.970145909091,-0.44627333333333
6136,17,17468,17130,Vibrac,vibrac,45.354934916667,-0.3447945
6137,17,17469,17260,Villars-en-Pons,villars en pons,45.606022348485,-0.62690545454545
6138,17,17470,17770,Villars-les-Bois,villars les bois,45.7936532,-0.433896
6139,17,17471,17470,La Villedieu,la villedieu,46.064477634409,-0.31818892473118
6140,17,17472,17230,Villedoux,villedoux,46.250453708609,-1.0766109933775
6141,17,17473,17470,Villemorin,villemorin,45.994877522124,-0.30884504424779
6142,17,17474,17330,Villeneuve-la-Comtesse,villeneuve la comtesse,46.095235590551,-0.49222606299213
6143,17,17476,17500,Villexavier,villexavier,45.380324520548,-0.44289780821918
6144,17,17477,17510,Villiers-Couture,villiers couture,45.985487428571,-0.15077114285714
6145,17,17478,17510,Vinax,vinax,46.033271923077,-0.2121217948718
6146,17,17479,17260,Virollet,virollet,45.539470941176,-0.72210388235294
6147,17,17480,17290,Virson,virson,46.139079494949,-0.8890396969697
6148,17,17481,17400,Voissay,voissay,45.947309714286,-0.60589885714286
6149,17,17482,17700,Vouhé,vouhe,46.15363328125,-0.799937421875
6150,17,17483,17340,Yves,yves,46.036448928571,-1.036988
6151,17,17484,17730,Port-des-Barques,port des barques,45.951125837563,-1.09438035533
6152,17,17485,17370,Le Grand-Village-Plage,le grand village plage,45.865353418803,-1.2346088888889
6153,17,17486,17840,La Brée-les-Bains,la bree les bains,46.009148076923,-1.353072948718
