id,department_code,insee_code,zip_code,-ALPES-MARITIMES,slug,gps_lat,gps_lng
1976,6,6071,6470,Guillaumes,guillaumes,44.085552926209,6.8685332569975
1977,6,6072,6420,Ilonse,ilonse,44.037031827957,7.0911209677419
1978,6,6073,6420,Isola,isola,44.191416129032,7.0836268621701
1979,6,6074,6450,Lantosque,lantosque,43.967857032258,7.3020350322581
1980,6,6075,6670,Levens,levens,43.8435563,7.2404169
1981,6,6076,6260,Lieuche,lieuche,44.004628989899,7.0419481818182
1982,6,6077,6440,Lucéram,luceram,43.895858882682,7.3515306145251
1983,6,6078,6710,Malaussène,malaussene,43.917205808824,7.1405083088235
1984,6,6079,6210,Mandelieu-la-Napoule,mandelieu la napoule,43.530423219814,6.9291388235294
1985,6,6080,6420,Marie,marie,44.033700980392,7.1633589542484
1986,6,6081,6910,Le Mas,le mas,43.839484637681,6.861969468599
1987,6,6082,6710,Massoins,massoins,43.949688602151,7.1285670967742
1988,6,6083,6500,Menton,menton,43.794247360248,7.4936355590062
1989,6,6084,6370,Mouans-Sartoux,mouans sartoux,43.623828655462,6.9683179831933
1990,6,6085,6250,Mougins,mougins,43.5905203125,6.9991670625
1991,6,6086,6380,Moulinet,moulinet,43.943764018692,7.4098294392523
1992,6,6087,6910,Les Mujouls,les mujouls,43.871512604167,6.86143
1993,6,6088,6000,Nice,nice,43.6960355,7.2655896
1994,6,6088,6100,Nice,nice,43.7275796,7.2598913
1995,6,6088,6200,Nice,nice,43.6877482,7.2113605
1996,6,6088,6300,Nice,nice,43.706449,7.2922646
1997,6,6089,6650,Opio,opio,43.658327426471,7.00628125
1998,6,6090,6580,Pégomas,pegomas,43.587307372881,6.9203438983051
1999,6,6091,6440,Peille,peille,43.807169157895,7.4065191929825
2000,6,6092,6440,Peillon,peillon,43.771230129032,7.3669890322581
2001,6,6093,6260,La Penne,la penne,43.922089660194,6.9393190291262
2002,6,6094,6470,Péone,peone,44.129966694561,6.9227048117155
2003,6,6095,6530,Peymeinade,peymeinade,43.634244093567,6.879506374269
