,,,,-LOIRE,,,
16056,42,42085,42740,Doizieux,doizieux,45.423547764706,4.5860255294118
16057,42,42086,42670,Écoche,ecoche,46.152659074074,4.3064667592593
16058,42,42087,42600,Écotay-l'Olme,ecotay l olme,45.586788125,4.0465677083333
16059,42,42088,42110,Épercieux-Saint-Paul,epercieux saint paul,45.788766516854,4.2016450561798
16060,42,42089,42600,Essertines-en-Châtelneuf,essertines en chatelneuf,45.616842755906,3.9890673228347
16061,42,42090,42360,Essertines-en-Donzy,essertines en donzy,45.758544434783,4.3361596521739
16062,42,42091,42380,Estivareilles,estivareilles,45.433393763066,4.0119726132404
16063,42,42092,42580,L'Étrat,l etrat,45.494592384615,4.3750023076923
16064,42,42093,42320,Farnay,farnay,45.488933294118,4.600688
16065,42,42094,42110,Feurs,feurs,45.73916803653,4.227511826484
16066,42,42095,42700,Firminy,firminy,45.374619371728,4.2896732984293
16067,42,42096,42140,Fontanès,fontanes,45.542633291139,4.4282736708861
16068,42,42097,42480,La Fouillouse,la fouillouse,45.499019350649,4.3251816233766
16069,42,42098,42470,Fourneaux,fourneaux,45.941241549296,4.2660017840376
16070,42,42099,42490,Fraisses,fraisses,45.384302098765,4.2607385185185
16071,42,42100,42140,La Gimond,la gimond,45.553577058824,4.4110242647059
16072,42,42101,42220,Graix,graix,45.357810597015,4.5632710447761
16073,42,42102,42140,Grammond,grammond,45.57561706422,4.4425151376147
16074,42,42103,42320,La Grand-Croix,la grand croix,45.503442967033,4.5576072527472
16075,42,42104,42460,La Gresle,la gresle,46.069443361345,4.2718517647059
16076,42,42105,42600,Grézieux-le-Fromental,grezieux le fromental,45.615982264151,4.1576277358491
16077,42,42106,42260,Grézolles,grezolles,45.862732142857,3.9438574603175
16078,42,42107,42560,Gumières,gumieres,45.53019162963,3.9695454814815
16079,42,42108,42210,L'Hôpital-le-Grand,l hopital le grand,45.582378688525,4.1968409836066
16080,42,42109,42130,L'Hôpital-sous-Rochefort,l hopital sous rochefort,45.773393617021,3.9355240425532
16081,42,42110,42152,L'Horme,l horme,45.494564333333,4.5440336666667
16082,42,42112,42460,Jarnosse,jarnosse,46.100866979167,4.2430563541667
16083,42,42113,42110,Jas,jas,45.742315583333,4.3195774166667
16084,42,42115,42660,Jonzieux,jonzieux,45.319018809524,4.3645761111111
16085,42,42116,42430,Juré,jure,45.888103103448,3.8983231465517
16086,42,42117,42560,Lavieu,lavieu,45.542507788462,4.0410955769231
16087,42,42118,42470,Lay,lay,45.967614555556,4.2398298888889
16088,42,42119,42130,Leigneux,leigneux,45.743244827586,3.9845427586207
16089,42,42120,42155,Lentigny,lentigny,45.991176849315,3.9771879452055
16090,42,42121,42600,Lérigneux,lerigneux,45.596598264463,3.9540727272727
16091,42,42122,42600,Lézigneux,lezigneux,45.559826497175,4.0555374011299
16092,42,42123,42420,Lorette,lorette,45.510586853933,4.5808233707865
16093,42,42124,42520,Lupé,lupe,45.372811594203,4.704821884058
16094,42,42125,42260,Luré,lure,45.882696516854,3.9293121348315
16095,42,42126,42380,Luriecq,luriecq,45.45660622093,4.0691681686046
16096,42,42127,42300,Mably,mably,46.089636875,4.059644296875
16097,42,42128,42114,Machézal,machezal,45.930903313609,4.3115269230769
16098,42,42129,42520,Maclas,maclas,45.363847678571,4.697672797619
16099,42,42130,42600,Magneux-Haute-Rive,magneux haute rive,45.66779137931,4.1720909195402
16100,42,42131,42750,Maizilly,maizilly,46.178162717391,4.2412032608696
16101,42,42132,42520,Malleval,malleval,45.381817017544,4.7221333333333
16102,42,42133,42140,Marcenod,marcenod,45.57125416,4.4787404
16103,42,42134,42130,Marcilly-le-Châtel,marcilly le chatel,45.685741445783,4.0238043975904
16104,42,42135,42210,Marclopt,marclopt,45.665807954545,4.2241336363636
16105,42,42136,42130,Marcoux,marcoux,45.701653684211,3.9953759868421
16106,42,42137,42560,Margerie-Chantagret,margerie chantagret,45.525171294964,4.0518066906475
16107,42,42138,42140,Maringes,maringes,45.66049584507,4.353586971831
16108,42,42139,42660,Marlhes,marlhes,45.295933453815,4.3911413253012
16109,42,42140,42560,Marols,marols,45.471639479167,4.0459963541667
16110,42,42141,42750,Mars,mars,46.148656019417,4.2535984466019
16111,42,42142,42380,Merle-Leignec,merle leignec,45.371018436482,4.0250274267101
16112,42,42143,42110,Mizérieux,mizerieux,45.790548552632,4.1639914473684
16113,42,42145,42840,Montagny,montagny,46.032955110132,4.227162246696
16114,42,42146,42380,Montarcher,montarcher,45.457573629032,3.989194516129
16115,42,42147,42600,Montbrison,montbrison,45.604790052083,4.063243125
16116,42,42148,42360,Montchal,montchal,45.822966934307,4.3313104379562
16117,42,42149,42210,Montrond-les-Bains,montrond les bains,45.637344269663,4.2391561797753
16118,42,42150,42130,Montverdun,montverdun,45.716067004831,4.0755143961353
16119,42,42151,42600,Mornand-en-Forez,mornand en forez,45.678762857143,4.1169645454546
16120,42,42152,42720,Nandax,nandax,46.098258559322,4.1728288983051
16121,42,42153,42470,Neaux,neaux,45.960690703518,4.1687666331658
16122,42,42154,42510,Néronde,neronde,45.838202360248,4.2319601242236
