,,,,-TARN,,,
32559,81,81076,81470,Cuq-Toulza,cuq toulza,43.564273809524,1.8926664285714
32560,81,81077,81250,Curvalle,curvalle,43.907023429395,2.5072387608069
32561,81,81078,81220,Damiatte,damiatte,43.680958932039,1.9770778640777
32562,81,81079,81120,Dénat,denat,43.838163289474,2.205303881579
32563,81,81080,81170,Donnazac,donnazac,44.010412592593,1.9427075925926
32564,81,81081,81110,Dourgne,dourgne,43.472914114833,2.1475343062201
32565,81,81082,81340,Le Dourn,le dourn,44.013085080645,2.4745820967742
32566,81,81083,81540,Durfort,durfort,43.431484109589,2.0730726027397
32567,81,81084,81290,Escoussens,escoussens,43.481726135266,2.2261629951691
32568,81,81085,81530,Escroux,escroux,43.755546821705,2.6456602325581
32569,81,81086,81260,Espérausses,esperausses,43.70268557377,2.5246576229508
32570,81,81087,81150,Fayssac,fayssac,43.962255740741,1.9783191666667
32571,81,81088,81120,Fauch,fauch,43.840883314286,2.2555758285714
32572,81,81089,81340,Faussergues,faussergues,44.042101745283,2.4289754716981
32573,81,81090,81600,Fénols,fenols,43.849274054054,2.0547990540541
32574,81,81092,81500,Fiac,fiac,43.693374894737,1.9177659473684
32575,81,81093,81150,Florentin,florentin,43.879818636364,2.0271220454546
32576,81,81094,81340,Fraissines,fraissines,43.977164047619,2.5070222619048
32577,81,81095,81170,Frausseilles,frausseilles,44.03206325,1.92863675
32578,81,81096,81430,Le Fraysse,le fraysse,43.906701791444,2.4080309358289
32579,81,81097,81990,Fréjairolles,frejairolles,43.8751146875,2.2321995625
32580,81,81098,81570,Fréjeville,frejeville,43.610556507937,2.1500626984127
32581,81,81099,81600,Gaillac,gaillac,43.920261474359,1.893595
32582,81,81100,81700,Garrevaques,garrevaques,43.497778181818,1.9784882828283
32583,81,81101,81450,Le Garric,le garric,43.998758109756,2.1780886585366
32584,81,81102,81500,Garrigues,garrigues,43.704593275862,1.7016227586207
32585,81,81103,81530,Gijounet,gijounet,43.7079252,2.6089768571429
32586,81,81104,81500,Giroussens,giroussens,43.773298125,1.79907953125
