,,,,-CHER,,,
6236,18,18083,18270,Culan,culan,46.547930263158,2.3623603289474
6237,18,18084,18260,Dampierre-en-Crot,dampierre en crot,47.459576901408,2.5805819014085
6238,18,18085,18310,Dampierre-en-Graçay,dampierre en gracay,47.185557936508,1.9395253968254
6239,18,18086,18200,Drevant,drevant,46.695957866667,2.5239706666667
6240,18,18087,18130,Dun-sur-Auron,dun sur auron,46.878575862069,2.5754855665025
6241,18,18088,18380,Ennordres,ennordres,47.417125808081,2.4230613131313
6242,18,18089,18360,Épineuil-le-Fleuriel,epineuil le fleuriel,46.569445435897,2.5603437435897
6243,18,18090,18800,Étréchy,etrechy,47.15524808,2.71925808
6244,18,18091,18200,Farges-Allichamps,farges allichamps,46.756844952381,2.4105488571429
6245,18,18092,18800,Farges-en-Septaine,farges en septaine,47.057903924051,2.6443062658228
6246,18,18093,18360,Faverdines,faverdines,46.647246666667,2.4707908333333
6247,18,18094,18300,Feux,feux,47.229854705882,2.8750478151261
6248,18,18095,18350,Flavigny,flavigny,46.96412426087,2.8019246086956
6249,18,18096,18500,Foëcy,foecy,47.185050736842,2.152998368421
6250,18,18097,18110,Fussy,fussy,47.144525425532,2.4253509574468
6251,18,18098,18300,Gardefort,gardefort,47.259314150943,2.8200552830189
6252,18,18099,18140,Garigny,garigny,47.085593939394,2.8834164393939
6253,18,18100,18310,Genouilly,genouilly,47.19085021978,1.8897326373626
6254,18,18101,18150,Germigny-l'Exempt,germigny l exempt,46.911497527473,2.8842075274725
6255,18,18102,18600,Givardon,givardon,46.839641458333,2.792524375
6256,18,18103,18310,Graçay,gracay,47.14456,1.8541902877698
6257,18,18104,18140,Groises,groises,47.204783768116,2.8128595652174
6258,18,18105,18800,Gron,gron,47.122715462185,2.7384924369748
6259,18,18106,18600,Grossouvre,grossouvre,46.874345277778,2.9311275694444
6260,18,18107,18200,La Groutte,la groutte,46.6902504,2.513518
6261,18,18108,18150,La Guerche-sur-l'Aubois,la guerche sur l aubois,46.954047714286,2.9405117619048
6262,18,18109,18250,Henrichemont,henrichemont,47.295008979592,2.5428652380952
6263,18,18110,18140,Herry,herry,47.22858936,2.925354
6264,18,18111,18250,Humbligny,humbligny,47.26343141844,2.6457984397163
6265,18,18112,18170,Ids-Saint-Roch,ids saint roch,46.7124813125,2.257417375
6266,18,18113,18350,Ignol,ignol,46.961057534247,2.8620419863014
6267,18,18114,18160,Ineuil,ineuil,46.763671801802,2.2629365765766
6268,18,18115,18380,Ivoy-le-Pré,ivoy le pre,47.356503535912,2.5057737845304
6269,18,18116,18300,Jalognes,jalognes,47.231399550562,2.7705156179775
6270,18,18117,18260,Jars,jars,47.396620740741,2.6736606481482
6271,18,18118,18320,Jouet-sur-l'Aubois,jouet sur l aubois,47.044364083333,3.0007008333333
6272,18,18119,18130,Jussy-Champagne,jussy champagne,46.990363707865,2.6466074157303
6273,18,18120,18140,Jussy-le-Chaudrier,jussy le chaudrier,47.126010328947,2.9356786842105
6274,18,18121,18130,Lantan,lantan,46.90115868421,2.6679936842105
6275,18,18122,18340,Lapan,lapan,46.919386097561,2.29428
6276,18,18123,18800,Laverdines,laverdines,47.033286111111,2.7963838888889
6277,18,18124,18120,Lazenay,lazenay,47.071202821782,2.0712205445545
6278,18,18125,18240,Léré,lere,47.460019156627,2.8703614457831
6279,18,18126,18340,Levet,levet,46.921192264151,2.3901520754717
6280,18,18127,18160,Lignières,lignieres,46.757122592593,2.1986397530864
6281,18,18128,18120,Limeux,limeux,47.074784761905,2.1303842857143
6282,18,18129,18340,Lissay-Lochy,lissay lochy,46.973128888889,2.3912291358025
6283,18,18130,18170,Loye-sur-Arnon,loye sur arnon,46.636750967742,2.3801401075269
6284,18,18131,18350,Lugny-Bourbonnais,lugny bourbonnais,46.9325956,2.7088188
6285,18,18132,18140,Lugny-Champagne,lugny champagne,47.1731014,2.8320428
6286,18,18133,18400,Lunery,lunery,46.937157333333,2.2521505
6287,18,18134,18120,Lury-sur-Arnon,lury sur arnon,47.135715611511,2.0561048920863
6288,18,18135,18170,Maisonnais,maisonnais,46.637624914286,2.2141187428571
6289,18,18136,18170,Marçais,marcais,46.697191145038,2.3475536641221
6290,18,18137,18290,Mareuil-sur-Arnon,mareuil sur arnon,46.888689508197,2.1730703278688
6291,18,18138,18500,Marmagne,marmagne,47.099000720721,2.2857018018018
6292,18,18139,18320,Marseilles-lès-Aubigny,marseilles les aubigny,47.069324929577,2.9900335211268
6293,18,18140,18120,Massay,massay,47.154098650307,1.999336196319
6294,18,18141,18500,Mehun-sur-Yèvre,mehun sur yevre,47.138167826087,2.2311475543478
6295,18,18142,18200,Meillant,meillant,46.785272408377,2.5082766492147
6296,18,18143,18320,Menetou-Couture,menetou couture,47.042747487179,2.9384095897436
6297,18,18144,18300,Menetou-Râtel,menetou ratel,47.348948981481,2.7505639814815
6298,18,18145,18510,Menetou-Salon,menetou salon,47.241230534351,2.4851225954198
6299,18,18146,18300,Ménétréol-sous-Sancerre,menetreol sous sancerre,47.317945098039,2.8627194117647
6300,18,18147,18700,Ménétréol-sur-Sauldre,menetreol sur sauldre,47.454058783784,2.2828455405405
6301,18,18148,18120,Méreau,mereau,47.179539803922,2.0509698039216
6302,18,18149,18380,Méry-ès-Bois,mery es bois,47.3122175625,2.38153475
6303,18,18150,18100,Méry-sur-Cher,mery sur cher,47.241090787402,1.9886500787402
6304,18,18151,18250,Montigny,montigny,47.235989879518,2.6976686746988
6305,18,18152,18160,Montlouis,montlouis,46.798554939759,2.2399102409639
6306,18,18153,18170,Morlac,morlac,46.720656393443,2.3169263114754
6307,18,18154,18350,Mornay-Berry,mornay berry,47.056197087379,2.8658824271845
6308,18,18155,18600,Mornay-sur-Allier,mornay sur allier,46.819474848485,3.0099762626263
6309,18,18156,18220,Morogues,morogues,47.255663899371,2.5881019496855
6310,18,18157,18570,Morthomiers,morthomiers,47.045784642857,2.2787010714286
6311,18,18158,18390,Moulins-sur-Yèvre,moulins sur yevre,47.085490731707,2.5268412195122
6312,18,18159,18330,Nançay,nancay,47.347993913043,2.1799750543478
6313,18,18160,18350,Nérondes,nerondes,47.001556019417,2.8269830582524
6314,18,18161,18600,Neuilly-en-Dun,neuilly en dun,46.808204017857,2.7766202678571
6315,18,18162,18250,Neuilly-en-Sancerre,neuilly en sancerre,47.309015844156,2.6504699350649
6316,18,18163,18250,Neuvy-Deux-Clochers,neuvy deux clochers,47.283156971831,2.6812364788732
6317,18,18164,18600,Neuvy-le-Barrois,neuvy le barrois,46.859844142857,3.017822
